# b0b41445-8d47-4cce-8f3c-485bb0c7215b
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.8026508; -0.9053707; -2.2257001; -0.0000186; 26.0236444; 1.8994056
1.9994013; -1.2169335; -2.1232012; -2.2257357; -0.0000170; 26.1691692; 1.8986361
3.9988027; 0.3687407; -3.3410844; -2.2257682; -0.0000157; 26.3138307; 1.8976668
5.9982040; 1.9543772; -4.5590177; -2.2257984; -0.0000146; 26.4576280; 1.8856251
7.9976054; 3.5399788; -5.7769979; -2.2258267; -0.0000137; 26.5997429; 1.8847556
9.9970067; 5.1255466; -6.9950209; -2.2258531; -0.0000128; 26.7410376; 1.8836886
11.9964080; 6.7110830; -8.2130842; -2.2258778; -0.0000119; 26.8815102; 1.8719416
13.9958094; 8.2965910; -9.4311860; -2.2259009; -0.0000112; 27.0203833; 1.8709789
15.9952107; 9.8820714; -10.6493230; -2.2259226; -0.0000105; 27.1584755; 1.8698209
17.9946121; 11.4675258; -11.8674929; -2.2259429; -0.0000098; 27.2957842; 1.8583504
19.9940134; 13.0529571; -13.0856947; -2.2259619; -0.0000092; 27.4315696; 1.8573028
21.9934148; 14.6383655; -14.3039253; -2.2259797; -0.0000086; 27.5666102; 1.8560614
23.9928161; 16.2237524; -15.5221830; -2.2259965; -0.0000081; 27.7009029; 1.8448517
25.9922174; 17.8091205; -16.7404670; -2.2260122; -0.0000076; 27.8337425; 1.8437264
27.9916188; 19.3944695; -17.9587749; -2.2260269; -0.0000071; 27.9658706; 1.8424086
29.9910201; 20.9798008; -19.1771051; -2.2260408; -0.0000067; 28.0972836; 1.8314455
31.9904215; 22.5651165; -20.3954571; -2.2260538; -0.0000063; 28.2273083; 1.8302491
33.9898228; 24.1504165; -21.6138289; -2.2260660; -0.0000059; 28.3566525; 1.8288613
35.9892241; 25.7357016; -22.8322191; -2.2260775; -0.0000056; 28.4853119; 1.8181316
37.9886255; 27.3209740; -24.0506276; -2.2260883; -0.0000052; 28.6126431; 1.8168700
39.9880268; 28.9062332; -25.2690524; -2.2260984; -0.0000049; 28.7393223; 1.8154180
41.9874282; 30.4914800; -26.4874925; -2.2261080; -0.0000046; 28.8653451; 1.8049098
43.9868295; 32.0767163; -27.7059480; -2.2261170; -0.0000044; 28.9900953; 1.8035886
45.9862308; 33.6619415; -28.9244169; -2.2261255; -0.0000041; 29.1142202; 1.8020775
47.9856322; 35.2471564; -30.1428986; -2.2261334; -0.0000039; 29.2377149; 1.7917801
49.9850335; 36.8323625; -31.3613932; -2.2261410; -0.0000037; 29.3599889; 1.7904039
51.9844349; 38.4175594; -32.5798991; -2.2261480; -0.0000034; 29.4816624; 1.7888388
53.9838362; 40.0027476; -33.7984156; -2.2261547; -0.0000032; 29.6027302; 1.7787420
55.9832376; 41.5879285; -35.0169429; -2.2261610; -0.0000031; 29.7226256; 1.7773155
57.9826389; 43.1731016; -36.2354796; -2.2261670; -0.0000029; 29.8419437; 1.7757005
59.9820402; 44.7582674; -37.4540253; -2.2261726; -0.0000027; 29.9606789; 1.7657952
61.9814416; 46.3434272; -38.6725801; -2.2261779; -0.0000026; 30.0782870; 1.7643225
63.9808429; 47.9285804; -39.8911428; -2.2261829; -0.0000024; 30.1953395; 1.7626618
65.9802443; 49.5137273; -41.1097130; -2.2261876; -0.0000023; 30.3118304; 1.7529394
67.9796456; 51.0988693; -42.3282910; -2.2261921; -0.0000022; 30.4272365; 1.7514242
69.9790469; 52.6840056; -43.5468756; -2.2261963; -0.0000021; 30.5421073; 1.7497215
71.9784483; 54.2691366; -44.7654665; -2.2262003; -0.0000019; 30.6564367; 1.7401742
73.9778496; 55.8542636; -45.9840640; -2.2262041; -0.0000018; 30.7697209; 1.7386200
75.9772510; 57.4393857; -47.2026671; -2.2262077; -0.0000017; 30.8824889; 1.7368786
77.9766523; 59.0245033; -48.4212755; -2.2262111; -0.0000016; 30.9947344; 1.7274991
79.9760537; 60.6096174; -49.6398897; -2.2262143; -0.0000016; 31.1059719; 1.7259091
81.9754550; 62.1947274; -50.8585085; -2.2262173; -0.0000015; 31.2167112; 1.7241322
83.9748563; 63.7798336; -52.0771318; -2.2262202; -0.0000014; 31.3269456; 1.7149138
85.9742577; 65.3649369; -53.2957600; -2.2262229; -0.0000013; 31.4362072; 1.7132909
87.9736590; 66.9500366; -54.5143922; -2.2262255; -0.0000013; 31.5449875; 1.7114814
89.9730604; 68.5351330; -55.7330282; -2.2262280; -0.0000012; 31.6532796; 1.7024178
91.9724617; 70.1202270; -56.9516685; -2.2262304; -0.0000011; 31.7606320; 1.7007646
93.9718630; 71.7053180; -58.1703122; -2.2262326; -0.0000011; 31.8675190; 1.6989253
95.9712644; 73.2904060; -59.3889591; -2.2262347; -0.0000010; 31.9739337; 1.6900105
97.9706657; 74.8754920; -60.6076097; -2.2262367; -0.0000010; 32.0794397; 1.6883297
99.9700671; 76.4605754; -61.8262632; -2.2262386; -0.0000009; 32.1844955; 1.6864628
101.9694684; 78.0456563; -63.0449195; -2.2262405; -0.0000009; 32.2890938; 1.6776916
103.9688697; 79.6307354; -64.2635790; -2.2262422; -0.0000009; 32.3928131; 1.6759853
105.9682711; 81.2158123; -65.4822410; -2.2262439; -0.0000008; 32.4960963; 1.6740933
107.9676724; 82.8008869; -66.7009054; -2.2262454; -0.0000008; 32.5989362; 1.6654603
109.9670738; 84.3859602; -67.9195726; -2.2262470; -0.0000007; 32.7009249; 1.6637307
111.9664751; 85.9710313; -69.1382420; -2.2262484; -0.0000007; 32.8024911; 1.6618157
113.9658765; 87.5561006; -70.3569134; -2.2262498; -0.0000007; 32.9036274; 1.6533162
115.9652778; 89.1411687; -71.5755873; -2.2262511; -0.0000006; 33.0039388; 1.6515653
117.9646791; 90.7262349; -72.7942631; -2.2262524; -0.0000006; 33.1038406; 1.6496293
119.9640805; 92.3112995; -74.0129406; -2.2262536; -0.0000006; 33.2033252; 1.6412586
121.9634818; 93.8963630; -75.2316204; -2.2262547; -0.0000006; 33.3020100; 1.6394882
123.9628832; 95.4814249; -76.4503018; -2.2262558; -0.0000005; 33.4002973; 1.6375329
125.9622845; 97.0664853; -77.6689848; -2.2262569; -0.0000005; 33.4981796; 1.6292868
127.9616858; 98.6515448; -78.8876698; -2.2262579; -0.0000005; 33.5952858; 1.6274986
129.9610872; 100.2366029; -80.1063562; -2.2262590; -0.0000005; 33.6920061; 1.6255257
131.9604885; 101.8216596; -81.3250441; -2.2262599; -0.0000005; 33.7883328; 1.6173998
133.9598899; 103.4067154; -82.5437337; -2.2262609; -0.0000005; 33.8839061; 1.6155952
