# 252cf090-4f00-4545-895e-3a3d2a5803a2
# a4a834fc2c8b7422de5261889f48e3ce8fe02560
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.2110529; 2.4855991; -1.1644085; 0.0011232; 38.0506546; -3.2594141
1.9998735; -0.3750061; 3.2781323; -1.1622209; 0.0010649; 37.8789583; -3.3497801
3.9997469; 1.4594702; 4.0746268; -1.1601484; 0.0010082; 37.7016871; -3.4364838
5.9996204; 3.2923103; 4.8748069; -1.1581881; 0.0009522; 37.5189571; -3.5207241
7.9994939; 5.1235669; 5.6784507; -1.1563402; 0.0008958; 37.3308202; -3.6040756
9.9993674; 6.9534258; 6.4853939; -1.1546049; 0.0008396; 37.1372420; -3.6858099
11.9992408; 8.7819389; 7.2954136; -1.1529821; 0.0007833; 36.9382246; -3.7659356
13.9991143; 10.6091458; 8.1082810; -1.1514719; 0.0007271; 36.7337672; -3.8444001
15.9989878; 12.4351940; 8.9238158; -1.1500739; 0.0006710; 36.5238692; -3.9210618
17.9988612; 14.2601345; 9.7417949; -1.1487881; 0.0006149; 36.3085357; -3.9958715
19.9987347; 16.0840831; 10.5620246; -1.1476145; 0.0005588; 36.0877721; -4.0690455
21.9986082; 17.9071145; 11.3842924; -1.1465528; 0.0005031; 35.8615691; -4.1398022
23.9984817; 19.7292710; 12.2083731; -1.1456018; 0.0004480; 35.6299590; -4.2080378
25.9983551; 21.5507685; 13.0341203; -1.1447637; 0.0003901; 35.3929780; -4.2777495
27.9982286; 23.3715943; 13.8612769; -1.1440392; 0.0003371; 35.1504335; -4.3395285
29.9981021; 25.1917729; 14.6896213; -1.1434125; 0.0002897; 34.9026641; -4.3925692
31.9979755; 27.0117014; 15.5190896; -1.1429306; 0.0001902; 34.6500620; -4.5064190
33.9978490; 28.8311843; 16.3491887; -1.1426578; 0.0000756; 34.3889846; -4.6341774
35.9977225; 30.6503656; 17.1794791; -1.1426368; -0.0000546; 34.1184221; -4.4958512
37.9975959; 32.4699625; 18.0097230; -1.1428707; -0.0001792; 33.8538692; -4.3468793
39.9974694; 34.2896690; 18.8392292; -1.1433539; -0.0003045; 33.5961016; -4.2010803
41.9973429; 36.1097482; 19.6675667; -1.1440892; -0.0004310; 33.3450863; -4.0594910
43.9972164; 37.9308596; 20.4944802; -1.1450776; -0.0005575; 33.1007227; -3.9213982
45.9970898; 39.7527035; 21.3192773; -1.1463194; -0.0006846; 32.8629464; -3.7865688
47.9969633; 41.5755447; 22.1415206; -1.1478160; -0.0008122; 32.6317013; -3.6557691
49.9968368; 43.4000321; 22.9609427; -1.1495678; -0.0009396; 32.4068786; -3.5266090
51.9967102; 45.2258615; 23.7768476; -1.1515751; -0.0010687; 32.1885109; -3.3988861
53.9965837; 47.0533246; 24.5888012; -1.1538431; -0.0011997; 31.9766407; -3.2836946
