# dd15db93-a4b4-472b-acee-0ab29a446c86
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.1001600; 2.2399560; -1.1637646; -0.0002134; 29.9999951; 0.0000271
1.9995618; -0.2639044; 3.0311825; -1.1640964; -0.0001185; 29.9999969; 0.0000137
3.9991237; 1.5726830; 3.8220334; -1.1642458; -0.0000383; 29.9999978; 0.0000000
5.9986855; 3.4093017; 4.6127286; -1.1642568; 0.0000272; 29.9999978; 0.0000000
7.9982473; 5.2458224; 5.4035059; -1.1641288; 0.0001009; 29.9999978; 0.0000000
9.9978092; 7.0822256; 6.1946731; -1.1638497; 0.0001822; 29.9999978; 0.0000000
11.9973710; 8.9183313; 6.9865069; -1.1633961; 0.0002715; 29.9999978; 0.0000000
13.9969328; 10.7540024; 7.7793436; -1.1627524; 0.0003725; 29.9999978; 0.0000000
15.9964947; 12.5890878; 8.5735504; -1.1619047; 0.0004771; 29.9999978; 0.0000000
17.9960565; 14.4233837; 9.3694945; -1.1608427; 0.0005852; 29.9999978; 0.0000000
19.9956183; 16.2567985; 10.1676071; -1.1595639; 0.0006940; 29.9999978; -0.0000000
21.9951801; 18.0890813; 10.9682526; -1.1580690; 0.0007996; 29.9999978; -0.0000000
23.9947420; 19.9200299; 11.7718031; -1.1563683; 0.0009016; 29.9999978; -0.0000000
25.9943038; 21.7496234; 12.5786881; -1.1544741; 0.0009925; 29.9999978; -0.0000000
27.9938656; 23.5775734; 13.3891826; -1.1524077; 0.0010643; 29.9999978; -0.0000000
29.9934275; 25.4037220; 14.2035286; -1.1502293; 0.0011148; 29.9999978; -0.0000000
31.9929893; 27.2282300; 15.0220250; -1.1479475; 0.0011675; 29.9999978; -0.0000000
33.9925511; 29.0507084; 15.8447252; -1.1455665; 0.0012062; 29.9999978; -0.0000000
35.9921130; 30.8710793; 16.6717610; -1.1431332; 0.0012279; 29.9999978; -0.0000000
37.9916748; 32.6896493; 17.5033345; -1.1407084; 0.0011951; 29.9999978; -0.0000000
39.9912366; 34.5061051; 18.3391915; -1.1383654; 0.0011348; 29.9999978; -0.0000000
41.9907985; 36.3205891; 19.1791291; -1.1361862; 0.0010448; 29.9999978; 0.0000000
43.9903603; 38.1335240; 20.0229056; -1.1342547; 0.0008841; 29.9999978; 0.0000001
45.9899221; 39.9448634; 20.8698323; -1.1326691; 0.0006803; 29.9999978; 0.0000001
47.9894840; 41.7549587; 21.7191693; -1.1315599; 0.0004292; 29.9999978; 0.0000003
49.9890458; 43.5645711; 22.5701221; -1.1310283; 0.0000991; 29.9999978; 0.0000003
51.9886076; 45.3738848; 23.4213692; -1.1311724; -0.0002529; 29.9999978; 0.0000003
53.9881694; 47.1835078; 24.2716399; -1.1320513; -0.0006264; 29.9999978; 0.0000001
55.9877313; 48.9944879; 25.1197937; -1.1336591; -0.0009811; 29.9999978; 0.0000000
57.9872931; 50.8069099; 25.9643008; -1.1359469; -0.0012742; 29.9999978; -0.0000001
59.9868549; 52.6213746; 26.8041549; -1.1387163; -0.0014959; 29.9999978; -0.0000003
61.9864168; 54.4383707; 27.6385728; -1.1419541; -0.0017432; 29.9999978; -0.0000003
63.9859786; 56.2582311; 28.4666430; -1.1456735; -0.0019644; 29.9999978; -0.0000003
65.9855404; 58.0817103; 29.2877352; -1.1497956; -0.0021579; 29.9999978; -0.0000004
67.9851023; 59.9082024; 30.1007847; -1.1542169; -0.0022628; 29.9999977; -0.0000008
69.9846641; 61.7386222; 30.9056821; -1.1588381; -0.0023525; 29.9999977; -0.0000012
71.9842259; 63.5730387; 31.7020628; -1.1636179; -0.0024276; 29.9999976; -0.0000017
73.9837878; 65.4107835; 32.4893253; -1.1685230; -0.0024787; 29.9999975; -0.0000014
75.9833496; 67.2526924; 33.2675920; -1.1735257; -0.0025203; 29.9999974; -0.0000011
77.9829114; 69.0987220; 34.0366602; -1.1785977; -0.0025521; 29.9999973; 0.0000020
79.9824733; 70.9481579; 34.7961089; -1.1837119; -0.0025633; 29.9999975; 0.0000074
81.9820351; 72.8017403; 35.5461829; -1.1888442; -0.0025656; 29.9999980; 0.0000135
83.9815969; 74.6593243; 36.2868103; -1.1939676; -0.0025584; 29.9999989; -0.0827690
85.9811587; 76.5202472; 37.0177955; -1.1990214; -0.0024950; 29.9944816; -0.5989950
87.9807206; 78.3850397; 37.7395868; -1.2039340; -0.0024051; 29.9545234; -1.2067895
89.9802824; 80.2533909; 38.4524487; -1.2086246; -0.0022863; 29.8738577; -2.3894844
91.9798442; 82.1246982; 39.1566300; -1.2131144; -0.0022068; 29.7134907; -2.6440610
93.9794061; 83.9992768; 39.8526104; -1.2174640; -0.0021611; 29.5350233; -2.8855962
95.9789679; 85.8768980; 40.5404938; -1.2217795; -0.0021552; 29.3390140; -2.8945026
97.9785297; 87.7572985; 41.2202033; -1.2261063; -0.0021744; 29.1410753; -2.8922664
99.9780916; 89.6407494; 41.8917709; -1.2304755; -0.0021959; 28.9419374; -2.8931838
101.9776534; 91.5271453; 42.5550670; -1.2348884; -0.0022180; 28.7413559; -2.9125149
103.9772152; 93.4163785; 43.2099620; -1.2393436; -0.0022382; 28.5380103; -2.9156821
105.9767771; 95.3085827; 43.8564157; -1.2438386; -0.0022569; 28.3329818; -2.9241971
107.9763389; 97.2036818; 44.4943230; -1.2483682; -0.0022736; 28.1258535; -2.9519882
109.9759007; 99.1016263; 45.1235984; -1.2529281; -0.0022870; 27.9151978; -2.9582871
111.9754626; 101.0024531; 45.7441960; -1.2575141; -0.0022997; 27.7024857; -2.9718533
113.9750244; 102.9061115; 46.3560456; -1.2621249; -0.0023121; 27.4871407; -3.0017367
