# 524e0c3e-7eb2-48fd-a47f-23ce4975739d
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -5.7169574; -3.8367232; 0.8800561; 0.0000034; 32.3838325; 1.5112023
1.9995466; -7.2581619; -2.5628012; 0.8800630; 0.0000036; 32.4770080; 1.5095385
3.9990932; -8.7993756; -1.2888900; 0.8800703; 0.0000036; 32.5698147; 1.5078150
5.9986397; -10.3405970; -0.0149912; 0.8800773; 0.0000035; 32.6622523; 1.5001801
7.9981863; -11.8818288; 1.2588985; 0.8800840; 0.0000033; 32.7539629; 1.4985003
9.9977329; -13.4230683; 2.5327774; 0.8800904; 0.0000031; 32.8453151; 1.4967552
11.9972795; -14.9643148; 3.8066462; 0.8800964; 0.0000029; 32.9363081; 1.4892337
13.9968261; -16.5055703; 5.0805073; 0.8801020; 0.0000028; 33.0265949; 1.4875407
15.9963726; -18.0468320; 6.3543593; 0.8801074; 0.0000026; 33.1165334; 1.4857773
17.9959192; -19.5880995; 7.6282026; 0.8801124; 0.0000025; 33.2061222; 1.4783658
19.9954658; -21.1293749; 8.9020396; 0.8801172; 0.0000023; 33.2950247; 1.4766609
21.9950124; -22.6706555; 10.1758688; 0.8801218; 0.0000022; 33.3835884; 1.4748808
23.9945590; -24.2119409; 11.4496906; 0.8801260; 0.0000021; 33.4718115; 1.4675758
25.9941055; -25.7532331; 12.7235072; 0.8801301; 0.0000020; 33.5593673; 1.4658601
27.9936521; -27.2945296; 13.9973171; 0.8801340; 0.0000019; 33.6465934; 1.4640647
29.9931987; -28.8358302; 15.2711205; 0.8801377; 0.0000018; 33.7334875; 1.4568630
31.9927453; -30.3771368; 16.5449196; 0.8801412; 0.0000017; 33.8197325; 1.4551374
33.9922919; -31.9184471; 17.8187129; 0.8801445; 0.0000016; 33.9056564; 1.4533282
35.9918384; -33.4597607; 19.0925004; 0.8801477; 0.0000016; 33.9912567; 1.4462262
37.9913850; -35.0010799; 20.3662844; 0.8801508; 0.0000015; 34.0762252; 1.4444916
39.9909316; -36.5424021; 21.6400632; 0.8801537; 0.0000014; 34.1608809; 1.4426697
41.9904782; -38.0837273; 22.9138369; 0.8801565; 0.0000014; 34.2452209; 1.4356637
43.9900247; -39.6250575; 24.1876076; 0.8801592; 0.0000013; 34.3289456; 1.4339204
45.9895713; -41.1663903; 25.4613735; 0.8801619; 0.0000013; 34.4123653; 1.4320863
47.9891179; -42.7077256; 26.7351349; 0.8801644; 0.0000012; 34.4954770; 1.4251709
49.9886645; -44.2490656; 28.0088937; 0.8801668; 0.0000012; 34.5779890; 1.4234168
51.9882111; -45.7904078; 29.2826482; 0.8801691; 0.0000011; 34.6602034; 1.4215685
53.9877576; -47.3317522; 30.5563987; 0.8801713; 0.0000011; 34.7421169; 1.4146983
55.9873042; -48.8731007; 31.8301471; 0.8801734; 0.0000010; 34.8234432; 1.2802510
57.9868508; -50.4144511; 33.1038917; 0.8801753; 0.0000010; 34.8968772; 1.1417074
59.9863974; -51.9558032; 34.3776328; 0.8801772; 0.0000009; 34.9622344; 0.4399200
61.9859440; -53.4971591; 35.6513725; 0.8801789; 0.0000008; 34.9873851; 0.2207100
63.9854905; -55.0385163; 36.9251089; 0.8801805; 0.0000008; 34.9999965; 0.0000301
65.9850371; -56.5798747; 38.1988422; 0.8801820; 0.0000008; 34.9999982; -0.0000163
67.9845837; -58.1212366; 39.4725746; 0.8801835; 0.0000007; 34.9999973; -0.0000084
69.9841303; -59.6625996; 40.7463040; 0.8801849; 0.0000007; 34.9999968; -0.0000000
71.9836769; -61.2039635; 42.0200307; 0.8801862; 0.0000006; 34.9999968; 0.0000000
73.9832234; -62.7453307; 43.2937567; 0.8801875; 0.0000006; 34.9999968; 0.0000000
75.9827700; -64.2866985; 44.5674802; 0.8801887; 0.0000006; 34.9999968; -0.0000000
77.9823166; -65.8280672; 45.8412013; 0.8801898; 0.0000005; 34.9999968; -0.0000000
79.9818632; -67.3694387; 47.1149220; 0.8801908; 0.0000005; 34.9999968; -0.0000000
81.9814098; -68.9108106; 48.3886405; 0.8801918; 0.0000005; 34.9999968; -0.0000000
83.9809563; -70.4521831; 49.6623570; 0.8801927; 0.0000004; 34.9999968; -0.0000000
85.9805029; -71.9935581; 50.9360734; 0.8801935; 0.0000004; 34.9999968; -0.0000000
87.9800495; -73.5349334; 52.2097879; 0.8801943; 0.0000004; 34.9999968; -0.0000000
89.9795961; -75.0763089; 53.4835007; 0.8801950; 0.0000003; 34.9999968; -0.0000000
91.9791427; -76.6176867; 54.7572137; 0.8801957; 0.0000003; 34.9999968; -0.0000000
93.9786892; -78.1590647; 56.0309250; 0.8801963; 0.0000003; 34.9999968; -0.0000000
95.9782358; -79.7004426; 57.3046348; 0.8801969; 0.0000003; 34.9999968; -0.0000000
97.9777824; -81.2418229; 58.5783449; 0.8801975; 0.0000003; 34.9999968; -0.0000000
99.9773290; -82.7832031; 59.8520535; 0.8801980; 0.0000003; 34.9999968; -0.0000000
101.9768756; -84.3245832; 61.1257606; 0.8801986; 0.0000003; 34.9999968; -0.0000000
103.9764221; -85.8659656; 62.3994682; 0.8801991; 0.0000003; 34.9999968; -0.0000000
105.9759687; -87.4073478; 63.6731743; 0.8801997; 0.0000003; 34.9999968; -0.0000000
