# 0e5ccd27-065b-4814-9746-cb7a71756bf0
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.5204241; -1.8267704; 2.5686109; 0.0000044; 34.9999931; 0.0000433
1.9992073; 2.4365814; -3.5066854; 2.5686198; 0.0000044; 34.9999956; 0.0000217
3.9984146; 1.3527533; -5.1866103; 2.5686286; 0.0000043; 34.9999968; 0.0000000
5.9976220; 0.2689401; -6.8665443; 2.5686371; 0.0000042; 34.9999968; -0.0000000
7.9968293; -0.8148593; -8.5464875; 2.5686452; 0.0000040; 34.9999968; -0.0000000
9.9960366; -1.8986452; -10.2264393; 2.5686530; 0.0000038; 34.9999968; -0.0000000
11.9952439; -2.9824183; -11.9063992; 2.5686605; 0.0000036; 34.9999968; -0.0000000
13.9944513; -4.0661793; -13.5863672; 2.5686676; 0.0000035; 34.9999968; -0.0000000
15.9936586; -5.1499285; -15.2663427; 2.5686744; 0.0000033; 34.9999968; -0.0000000
17.9928659; -6.2336665; -16.9463253; 2.5686810; 0.0000032; 34.9999968; -0.0000000
19.9920732; -7.3173938; -18.6263150; 2.5686873; 0.0000031; 34.9999968; -0.0000000
21.9912806; -8.4011106; -20.3063114; 2.5686933; 0.0000030; 34.9999968; -0.0000000
23.9904879; -9.4848174; -21.9863141; 2.5686992; 0.0000029; 34.9999968; -0.0000000
25.9896952; -10.5685145; -23.6663233; 2.5687049; 0.0000028; 34.9999968; -0.0000000
27.9889025; -11.6522022; -25.3463384; 2.5687104; 0.0000027; 34.9999968; -0.0000000
29.9881099; -12.7358806; -27.0263595; 2.5687158; 0.0000027; 34.9999968; -0.0000000
31.9873172; -13.8195501; -28.7063865; 2.5687211; 0.0000026; 34.9999968; -0.0000000
33.9865245; -14.9032108; -30.3864190; 2.5687263; 0.0000026; 34.9999968; -0.0000000
35.9857318; -15.9868627; -32.0664572; 2.5687315; 0.0000025; 34.9999968; -0.0000000
37.9849392; -17.0705062; -33.7465009; 2.5687365; 0.0000025; 34.9999968; -0.0000000
39.9841465; -18.1541412; -35.4265501; 2.5687415; 0.0000025; 34.9999968; -0.0000000
41.9833538; -19.2377678; -37.1066045; 2.5687464; 0.0000025; 34.9999968; -0.0000000
43.9825611; -20.3213863; -38.7866644; 2.5687513; 0.0000024; 34.9999968; -0.0000000
45.9817685; -21.4049965; -40.4667295; 2.5687562; 0.0000024; 34.9999968; -0.0000000
47.9809758; -22.4885986; -42.1467998; 2.5687610; 0.0000024; 34.9999968; -0.0000000
49.9801831; -23.5721927; -43.8268754; 2.5687658; 0.0000024; 34.9999968; -0.0000000
51.9793904; -24.6557788; -45.5069561; 2.5687705; 0.0000024; 34.9999968; -0.0000000
53.9785978; -25.7393570; -47.1870418; 2.5687752; 0.0000023; 34.9999968; -0.0000000
55.9778051; -26.8229274; -48.8671327; 2.5687798; 0.0000023; 34.9999968; -0.0000000
57.9770124; -27.9064900; -50.5472285; 2.5687844; 0.0000023; 34.9999968; -0.0000000
59.9762197; -28.9900448; -52.2273293; 2.5687890; 0.0000023; 34.9999968; -0.0000000
61.9754271; -30.0735922; -53.9074350; 2.5687935; 0.0000022; 34.9999968; -0.0000000
63.9746344; -31.1571319; -55.5875456; 2.5687979; 0.0000022; 34.9999968; -0.0000000
65.9738417; -32.2406642; -57.2676609; 2.5688023; 0.0000022; 34.9999968; -0.0000000
67.9730490; -33.3241893; -58.9477810; 2.5688067; 0.0000022; 34.9999968; -0.0000000
69.9722564; -34.4077071; -60.6279058; 2.5688109; 0.0000021; 34.9999968; -0.0000000
71.9714637; -35.4912176; -62.3080351; 2.5688151; 0.0000021; 34.9999968; -0.0000000
73.9706710; -36.5747213; -63.9881690; 2.5688193; 0.0000021; 34.9999968; -0.0000000
75.9698783; -37.6582180; -65.6683073; 2.5688234; 0.0000020; 34.9999968; -0.0000000
77.9690856; -38.7417078; -67.3484500; 2.5688274; 0.0000020; 34.9999968; -0.0000000
79.9682930; -39.8251911; -69.0285971; 2.5688313; 0.0000020; 34.9999968; -0.0000000
81.9675003; -40.9086677; -70.7087484; 2.5688352; 0.0000019; 34.9999968; -0.0000000
83.9667076; -41.9921377; -72.3889038; 2.5688391; 0.0000019; 34.9999968; -0.0000000
85.9659149; -43.0756015; -74.0690635; 2.5688428; 0.0000019; 34.9999968; -0.0000000
87.9651223; -44.1590590; -75.7492271; 2.5688465; 0.0000018; 34.9999968; -0.0000000
89.9643296; -45.2425102; -77.4293947; 2.5688502; 0.0000018; 34.9999968; -0.0000000
91.9635369; -46.3259555; -79.1095663; 2.5688538; 0.0000018; 34.9999968; -0.0000000
93.9627442; -47.4093947; -80.7897417; 2.5688573; 0.0000018; 34.9999968; -0.0000000
95.9619516; -48.4928279; -82.4699209; 2.5688608; 0.0000017; 34.9999968; -0.0000000
97.9611589; -49.5762554; -84.1501039; 2.5688643; 0.0000017; 34.9999968; -0.0000000
99.9603662; -50.6596771; -85.8302906; 2.5688677; 0.0000017; 34.9999968; -0.0000000
101.9595735; -51.7430931; -87.5104809; 2.5688710; 0.0000017; 34.9999968; -0.0000000
103.9587809; -52.8265036; -89.1906749; 2.5688743; 0.0000017; 34.9999968; -0.0000000
105.9579882; -53.9099085; -90.8708725; 2.5688776; 0.0000016; 34.9999968; -0.0000000
107.9571955; -54.9933078; -92.5510735; 2.5688809; 0.0000016; 34.9999968; -0.0000000
109.9564028; -56.0767018; -94.2312782; 2.5688841; 0.0000016; 34.9999968; -0.0000000
111.9556102; -57.1600903; -95.9114863; 2.5688873; 0.0000016; 34.9999968; -0.0000000
113.9548175; -58.2434735; -97.5916977; 2.5688905; 0.0000016; 34.9999968; -0.0000000
115.9540248; -59.3268514; -99.2719128; 2.5688936; 0.0000016; 34.9999968; -0.0000000
117.9532321; -60.4102240; -100.9521311; 2.5688968; 0.0000016; 34.9999968; -0.0000000
119.9524395; -61.4935913; -102.6323528; 2.5688999; 0.0000016; 34.9999968; -0.0000000
121.9516468; -62.5769535; -104.3125780; 2.5689030; 0.0000015; 34.9999968; -0.0000000
