# x_m;y_m
-83.6000;63.8000
-83.6000;64.6000
-83.6000;65.4000
-83.6000;66.2000
-83.6000;67.0000
-83.6000;67.8000
-83.6000;68.6000
-83.6000;69.4000
-83.6000;70.2000
-83.6000;71.0000
-83.6000;71.8000
-83.6000;72.6000
-83.6000;73.4000
-83.6000;74.2000
-83.6000;75.0000
-83.6000;75.8000
-83.6000;76.6000
-82.8000;57.4000
-82.8000;58.2000
-82.8000;59.0000
-82.8000;59.8000
-82.8000;60.6000
-82.8000;61.4000
-82.8000;62.2000
-82.8000;63.0000
-82.8000;63.8000
-82.8000;64.6000
-82.8000;65.4000
-82.8000;66.2000
-82.8000;67.0000
-82.8000;67.8000
-82.8000;68.6000
-82.8000;69.4000
-82.8000;70.2000
-82.8000;71.0000
-82.8000;71.8000
-82.8000;72.6000
-82.8000;73.4000
-82.8000;74.2000
-82.8000;75.0000
-82.8000;75.8000
-82.8000;76.6000
-82.8000;77.4000
-82.8000;78.2000
-82.8000;79.0000
-82.8000;79.8000
-82.8000;80.6000
-82.8000;81.4000
-82.8000;82.2000
-82.0000;54.2000
-82.0000;55.0000
-82.0000;55.8000
-82.0000;56.6000
-82.0000;57.4000
-82.0000;58.2000
-82.0000;59.0000
-82.0000;59.8000
-82.0000;60.6000
-82.0000;61.4000
-82.0000;62.2000
-82.0000;63.0000
-82.0000;63.8000
-82.0000;64.6000
-82.0000;65.4000
-82.0000;66.2000
-82.0000;67.0000
-82.0000;67.8000
-82.0000;68.6000
-82.0000;69.4000
-82.0000;70.2000
-82.0000;71.0000
-82.0000;71.8000
-82.0000;72.6000
-82.0000;73.4000
-82.0000;74.2000
-82.0000;75.0000
-82.0000;75.8000
-82.0000;76.6000
-82.0000;77.4000
-82.0000;78.2000
-82.0000;79.0000
-82.0000;79.8000
-82.0000;80.6000
-82.0000;81.4000
-82.0000;82.2000
-82.0000;83.0000
-82.0000;83.8000
-82.0000;84.6000
-82.0000;85.4000
-82.0000;86.2000
-81.2000;51.0000
-81.2000;51.8000
-81.2000;52.6000
-81.2000;53.4000
-81.2000;54.2000
-81.2000;55.0000
-81.2000;55.8000
-81.2000;56.6000
-81.2000;57.4000
-81.2000;58.2000
-81.2000;59.0000
-81.2000;59.8000
-81.2000;60.6000
-81.2000;61.4000
-81.2000;62.2000
-81.2000;63.0000
-81.2000;63.8000
-81.2000;64.6000
-81.2000;65.4000
-81.2000;66.2000
-81.2000;67.0000
-81.2000;67.8000
-81.2000;68.6000
-81.2000;69.4000
-81.2000;70.2000
-81.2000;71.0000
-81.2000;71.8000
-81.2000;72.6000
-81.2000;73.4000
-81.2000;74.2000
-81.2000;75.0000
-81.2000;75.8000
-81.2000;76.6000
-81.2000;77.4000
-81.2000;78.2000
-81.2000;79.0000
-81.2000;79.8000
-81.2000;80.6000
-81.2000;81.4000
-81.2000;82.2000
-81.2000;83.0000
