# fc1288a7-b8bd-4bc2-9f6d-bebdbf4a9a11
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -12.4328124; 139.7665256; -1.5295601; -0.0119364; 18.4911158; 1.8673362
1.9993759; -10.4351540; 139.8267405; -1.5509376; -0.0094523; 18.6919335; -0.2564900
3.9987517; -8.4361795; 139.8492486; -1.5672353; -0.0067503; 18.6644780; -2.3315576
5.9981276; -6.4358115; 139.8447915; -1.5778544; -0.0038545; 18.4130231; -3.4616286
7.9975034; -4.4373226; 139.8266179; -1.5801136; 0.0015843; 18.0332256; -3.0324606
9.9968793; -2.4377220; 139.8144405; -1.5724814; 0.0051266; 17.6938172; -2.6304579
11.9962552; -0.4378200; 139.8224668; -1.5605123; 0.0068439; 17.3940398; -2.4323918
13.9956310; 1.5617762; 139.8571165; -1.5462243; 0.0074536; 17.1121620; -2.3875672
15.9950069; 3.5611152; 139.9215865; -1.5307222; 0.0079836; 16.8308883; -2.3430073
17.9943827; 5.5566380; 140.0178242; -1.5143473; 0.0084166; 16.5502174; -2.3372018
19.9937586; 7.5536912; 140.1482782; -1.4964172; 0.0095115; 16.2654175; -1.8278752
21.9931345; 9.5447303; 140.3166124; -1.4757460; 0.0117280; 16.0391580; -1.3452862
23.9925103; 11.5315767; 140.5317405; -1.4490637; 0.0148547; 15.8705741; -2.1783235
25.9918862; 13.5109913; 140.8008915; -1.4236655; 0.0105653; 15.5937342; -2.8217133
27.9912620; 15.4858653; 141.1122122; -1.4062966; 0.0073121; 15.2276465; -3.3637830
29.9906379; 17.4578143; 141.4528793; -1.3939047; 0.0049003; 14.7793871; -3.5122698
31.9900138; 19.4252238; 141.8080417; -1.3936742; -0.0046607; 14.2963488; -2.8475700
33.9893896; 21.3967970; 142.1454925; -1.4111761; -0.0115878; 13.8924031; -2.2728090
35.9887655; 23.3740999; 142.4372873; -1.4389184; -0.0161039; 13.5613592; -1.9177456
37.9881413; 25.3615880; 142.6677249; -1.4721666; -0.0171534; 13.2756121; -0.1631587
39.9875172; 27.3551053; 142.8298145; -1.5074112; -0.0178976; 13.2510168; 1.3987886
41.9868930; 29.3501655; 142.9204001; -1.5435781; -0.0183058; 13.4604180; 1.4408745
43.9862689; 31.3510929; 142.9383685; -1.5799720; -0.0180570; 13.6727668; 1.4903235
45.9856448; 33.3472852; 142.8838097; -1.6168776; -0.0197538; 13.8889879; 1.5475628
47.9850206; 35.3413339; 142.7503924; -1.6592150; -0.0219399; 14.1100073; 1.6964885
49.9843965; 37.3260465; 142.5333283; -1.6988576; -0.0177652; 14.3483846; 1.9137822
51.9837723; 39.3042522; 142.2457526; -1.7298741; -0.0130823; 14.6126275; 1.4414314
53.9831482; 41.2782205; 141.9057212; -1.7512377; -0.0075694; 14.8085383; -3.4478888
55.9825241; 43.2437574; 141.5398027; -1.7545427; 0.0042387; 14.3354650; -2.6381813
57.9818999; 45.2143671; 141.1894445; -1.7361618; 0.0128805; 13.9626690; -1.8362812
59.9812758; 47.1900414; 140.8903037; -1.7037863; 0.0188790; 13.6972001; 0.8813797
61.9806516; 49.1778445; 140.6616905; -1.6672195; 0.0176699; 13.8252562; 1.1985055
63.9800275; 51.1713761; 140.5036398; -1.6328893; 0.0167918; 13.9975082; 1.4267447
65.9794034; 53.1664193; 140.4127047; -1.6000196; 0.0161921; 14.1998392; 1.4625951
67.9787792; 55.1664207; 140.3866490; -1.5676324; 0.0161766; 14.4043045; 1.5076177
69.9781551; 57.1633437; 140.4255871; -1.5344548; 0.0175567; 14.6120696; 1.5614522
71.9775309; 59.1585714; 140.5345222; -1.4975326; 0.0186770; 14.8241842; 1.6768391
73.9769068; 61.1482103; 140.7159213; -1.4632272; 0.0156517; 15.0486445; 1.9226767
75.9762827; 63.1313909; 140.9593700; -1.4351887; 0.0123513; 15.3019609; 1.0477290
77.9756585; 65.1123941; 141.2524550; -1.4138360; 0.0083472; 15.4382517; -3.2405431
79.9750344; 67.0851564; 141.5765871; -1.4044971; 0.0010278; 15.0127109; -2.8460340
81.9744102; 69.0589036; 141.9050158; -1.4097989; -0.0063877; 14.6287698; -2.5554629
83.9737861; 71.0356586; 142.2080297; -1.4299379; -0.0127810; 14.2752318; -2.1179917
85.9731620; 73.0198020; 142.4632100; -1.4560209; -0.0133258; 13.9754399; -1.6060039
87.9725378; 75.0114340; 142.6652626; -1.4838673; -0.0147635; 13.7437589; -0.8753289
89.9719137; 77.0028598; 142.8079835; -1.5153039; -0.0168025; 13.6158249; 1.4447578
91.9712895; 79.0015911; 142.8837614; -1.5512905; -0.0191752; 13.8263486; 1.4891303
93.9706654; 80.9977057; 142.8832183; -1.5912821; -0.0205609; 14.0400348; 1.5364461
95.9700413; 82.9927681; 142.8010406; -1.6325754; -0.0200072; 14.2571541; 1.6083304
97.9694171; 84.9852579; 142.6401871; -1.6689084; -0.0163499; 14.4809446; 1.7972391
99.9687930; 86.9699411; 142.4139947; -1.6989203; -0.0140351; 14.7269980; 1.1858782
101.9681688; 88.9528379; 142.1313602; -1.7250257; -0.0111737; 14.8871254; -0.7374768
103.9675447; 90.9259773; 141.8060982; -1.7413128; -0.0051533; 14.7877488; -2.3990888
105.9669206; 92.8970415; 141.4615702; -1.7430959; 0.0042310; 14.4597426; -2.6916830
107.9662964; 94.8699598; 141.1339003; -1.7245420; 0.0127543; 14.0826412; -2.0575658
109.9656723; 96.8499859; 140.8542205; -1.6970082; 0.0148160; 13.7874250; 0.2933289
111.9650481; 98.8396353; 140.6328075; -1.6658683; 0.0160488; 13.8298965; 1.2071923
113.9644240; 100.8308288; 140.4757430; -1.6328177; 0.0170658; 14.0033318; 1.4194251
115.9637998; 102.8278297; 140.3865840; -1.5976675; 0.0180891; 14.2045496; 1.4651794
117.9631757; 104.8248791; 140.3696507; -1.5605756; 0.0189906; 14.4093066; 1.5119310
119.9625516; 106.8203250; 140.4281481; -1.5225301; 0.0183563; 14.6175906; 1.5750244
121.9619274; 108.8162205; 140.5592738; -1.4888815; 0.0152816; 14.8314560; 1.7435964
123.9613033; 110.8033954; 140.7515841; -1.4602451; 0.0136721; 15.0646704; 1.2598344
125.9606791; 112.7901614; 140.9988412; -1.4342948; 0.0117742; 15.2309573; 0.2103317
127.9600550; 114.7689696; 141.2922405; -1.4139634; 0.0085872; 15.2585427; -3.1785848
129.9594309; 116.7424575; 141.6174550; -1.4037430; 0.0008369; 14.8361974; -3.3675239
131.9588067; 118.7164048; 141.9462020; -1.4104061; -0.0066916; 14.3752169; -2.4056858
133.9581826; 120.6925731; 142.2489804; -1.4288116; -0.0117670; 14.0366350; -2.0988547
135.9575584; 122.6792750; 142.5069836; -1.4550304; -0.0137708; 13.7344211; -1.5421187
137.9569343; 124.6666918; 142.7094689; -1.4841993; -0.0161450; 13.5080632; -0.4865157
139.9563102; 126.6595634; 142.8469861; -1.5211861; -0.0208973; 13.4358594; 1.1475312
141.9556860; 128.6561678; 142.9033818; -1.5637238; -0.0207862; 13.6055507; 1.5047765
143.9550619; 130.6517216; 142.8771785; -1.6035265; -0.0189834; 13.8249136; 1.5277732
145.9544377; 132.6503852; 142.7751002; -1.6394188; -0.0168705; 14.0441241; 1.6166470
147.9538136; 134.6387073; 142.6055337; -1.6720584; -0.0159763; 14.2724207; 1.8001876
149.9531895; 136.6258586; 142.3720097; -1.7030819; -0.0146736; 14.5224136; 2.0474556
151.9525653; 138.6062836; 142.0802419; -1.7303749; -0.0126254; 14.8016135; -1.6347379
153.9519412; 140.5761297; 141.7432079; -1.7467781; -0.0031411; 14.5791238; -2.1323676
155.9513170; 142.5475493; 141.3929782; -1.7434275; 0.0057735; 14.2836985; -2.3327625
157.9506929; 144.5195468; 141.0656764; -1.7247048; 0.0130163; 13.9533474; -1.2030826
159.9500688; 146.5047072; 140.7864748; -1.6958075; 0.0151556; 13.7798794; -0.1416161
161.9494446; 148.4916827; 140.5684610; -1.6635411; 0.0177311; 13.7593164; 1.4201197
163.9488205; 150.4817755; 140.4216467; -1.6239015; 0.0220231; 13.9641503; 1.4547415
165.9481963; 152.4789477; 140.3593595; -1.5807597; 0.0203542; 14.1709084; 1.4927560
167.9475722; 154.4731074; 140.3779493; -1.5431282; 0.0175929; 14.3799793; 1.5342177
169.9469481; 156.4740700; 140.4671025; -1.5101827; 0.0152895; 14.5917361; 1.6348804
171.9463239; 158.4630124; 140.6179703; -1.4800833; 0.0149672; 14.8140556; 1.7886153
173.9456998; 160.4529510; 140.8287635; -1.4508901; 0.0135939; 15.0535202; 1.9539235
175.9450756; 162.4378024; 141.0936581; -1.4261759; 0.0111309; 15.3108369; -1.9092896
177.9444515; 164.4128919; 141.4001499; -1.4093562; 0.0056646; 15.0594472; -2.4269102
179.9438274; 166.3869217; 141.7292176; -1.4041938; -0.0013424; 14.7337144; -2.9018652
181.9432032; 168.3591292; 142.0521747; -1.4157357; -0.0102439; 14.3345213; -2.2263764
183.9425791; 170.3409518; 142.3392557; -1.4387898; -0.0124801; 14.0205483; -1.9774757
185.9419549; 172.3263649; 142.5762216; -1.4661882; -0.0154313; 13.7356594; -1.7313831
187.9413308; 174.3147749; 142.7513270; -1.5011101; -0.0195730; 13.4812821; 1.3109241
189.9407066; 176.3127621; 142.8519329; -1.5394378; -0.0184916; 13.6743200; 1.4653561
191.9400825; 178.3099388; 142.8786126; -1.5750517; -0.0173371; 13.8869228; 1.4979929
193.9394584; 180.3089365; 142.8360210; -1.6088517; -0.0164649; 14.1009477; 1.5692783
195.9388342; 182.3035037; 142.7271986; -1.6417471; -0.0164510; 14.3217275; 1.6863742
197.9382101; 184.2937527; 142.5527737; -1.6748640; -0.0169846; 14.5552489; 1.7541594
199.9375859; 186.2810208; 142.3103206; -1.7098340; -0.0175123; 14.7942461; 1.0335082
201.9369618; 188.2543482; 142.0038866; -1.7374435; -0.0102089; 14.9332669; -1.2852831
203.9363377; 190.2254608; 141.6568286; -1.7495999; -0.0009506; 14.7601807; -3.0929439
205.9357135; 192.1949066; 141.3064059; -1.7405068; 0.0097780; 14.3350975; -2.1535723
207.9350894; 194.1718024; 140.9898908; -1.7174158; 0.0133455; 14.0315152; -1.0252782
209.9344652; 196.1551683; 140.7266228; -1.6867396; 0.0174413; 13.8846529; 0.0043175
211.9338411; 198.1408385; 140.5332262; -1.6475814; 0.0215330; 13.8852746; 1.4158800
213.9332170; 200.1378012; 140.4206742; -1.6077127; 0.0182448; 14.0876755; 1.4430684
215.9325928; 202.1344431; 140.3813116; -1.5739109; 0.0163277; 14.2910138; 1.4725390
217.9319687; 204.1341634; 140.4072817; -1.5419390; 0.0156823; 14.4955646; 1.5297053
219.9313445; 206.1301713; 140.4961329; -1.5107257; 0.0155556; 14.7050435; 1.6336859
221.9307204; 208.1230043; 140.6471851; -1.4793552; 0.0161129; 14.9255153; 1.7089254
223.9300963; 210.1125220; 140.8626819; -1.4461937; 0.0163671; 15.1527086; 1.7149505
225.9294721; 212.0915508; 141.1399131; -1.4188011; 0.0110829; 15.3773287; -1.9339343
227.9288480; 214.0662547; 141.4608858; -1.4029021; 0.0041184; 15.1237864; -3.9616976
229.9282238; 216.0378841; 141.7979705; -1.4027032; -0.0038361; 14.5906501; -2.5508476
231.9275997; 218.0123952; 142.1203727; -1.4176013; -0.0110943; 14.2368137; -2.2554338
233.9269756; 219.9930881; 142.3995624; -1.4451763; -0.0151202; 13.9164631; -1.9281352
235.9263514; 221.9781769; 142.6186626; -1.4771384; -0.0167348; 13.6366348; -0.8665098
237.9257273; 223.9724562; 142.7722572; -1.5107725; -0.0168847; 13.5089915; 0.5843669
239.9251031; 225.9696336; 142.8583811; -1.5447018; -0.0170968; 13.5952047; 1.4766826
241.9244790; 227.9676518; 142.8762153; -1.5791446; -0.0175090; 13.8106654; 1.5043514
243.9238549; 229.9659451; 142.8236931; -1.6154172; -0.0187512; 14.0267603; 1.5754163
245.9232307; 231.9584935; 142.6967515; -1.6535561; -0.0192211; 14.2495510; 1.6855797
247.9226066; 233.9483836; 142.4931446; -1.6917855; -0.0182249; 14.4841265; 1.9784447
249.9219824; 235.9281732; 142.2189915; -1.7234357; -0.0135018; 14.7547019; 0.2592219
251.9213583; 237.9015011; 141.8921057; -1.7438832; -0.0060738; 14.7897868; -0.8843181
253.9207341; 239.8719548; 141.5410539; -1.7474597; 0.0025837; 14.6697520; -2.4980164
255.9201100; 241.8428093; 141.2006824; -1.7330831; 0.0118309; 14.3252461; -2.0413199
257.9194859; 243.8218558; 140.9055154; -1.7032772; 0.0164169; 14.0374480; -1.2320944
259.9188617; 245.8061164; 140.6757041; -1.6682340; 0.0181381; 13.8608479; 1.4124986
261.9182376; 247.7994544; 140.5164597; -1.6332220; 0.0168623; 14.0631197; 1.4317481
263.9176134; 249.7967799; 140.4246590; -1.6004876; 0.0160275; 14.2652214; 1.4590687
265.9169893; 251.7945426; 140.3969128; -1.5690251; 0.0157686; 14.4682755; 1.5070455
267.9163652; 253.7932841; 140.4326998; -1.5364041; 0.0168417; 14.6750570; 1.5847754
269.9157410; 255.7874598; 140.5354313; -1.5020608; 0.0174378; 14.8894063; 1.6865779
271.9151169; 257.7793739; 140.7076378; -1.4672419; 0.0164565; 15.1141863; 1.8797877
273.9144927; 259.7649327; 140.9441167; -1.4387171; 0.0121106; 15.3608408; -0.9710457
275.9138686; 261.7436535; 141.2288611; -1.4181577; 0.0086483; 15.2339246; -2.2728680
277.9132445; 263.7196160; 141.5481758; -1.4044130; 0.0038188; 14.9326429; -3.4996588
279.9126203; 265.6914091; 141.8805386; -1.4064142; -0.0058243; 14.4564712; -2.5961369
281.9119962; 267.6686014; 142.1919937; -1.4241183; -0.0106937; 14.0928440; -2.2077894
283.9113720; 269.6494557; 142.4607402; -1.4489238; -0.0141043; 13.7760608; -1.9511838
285.9107479; 271.6373523; 142.6735903; -1.4804549; -0.0174630; 13.4899055; 0.1482003
287.9101238; 273.6320706; 142.8178755; -1.5169277; -0.0183871; 13.5118528; 0.9984610
289.9094996; 275.6277786; 142.8887422; -1.5537296; -0.0186321; 13.6587981; 1.4780174
291.9088755; 277.6266428; 142.8851100; -1.5917398; -0.0193590; 13.8734635; 1.5171130
293.9082513; 279.6216084; 142.8049791; -1.6297753; -0.0184230; 14.0904062; 1.5810484
295.9076272; 281.6149371; 142.6513431; -1.6652474; -0.0172557; 14.3129930; 1.6807743
297.9070031; 283.6030561; 142.4286550; -1.6992752; -0.0167784; 14.5458849; 1.9891587
299.9063789; 285.5806494; 142.1414492; -1.7292486; -0.0126548; 14.8167783; 0.1390214
301.9057548; 287.5533455; 141.8039190; -1.7490293; -0.0053776; 14.8355260; -3.5767018
303.9051306; 289.5209312; 141.4469327; -1.7474014; 0.0070025; 14.3453995; -2.4276135
305.9045065; 291.4944842; 141.1141455; -1.7267274; 0.0124918; 14.0029663; -1.3620533
