# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.00000;-12.43982;139.99862;0.00605;-0.01485;10.00000;0.00000
0.45194;-11.98788;140.00002;0.00072;-0.00725;10.00000;0.00000
0.90388;-11.53594;139.99999;-0.00015;0.00149;10.00000;0.00000
1.35582;-11.08400;140.00001;0.00004;-0.00062;10.00000;0.00000
1.80776;-10.63206;140.00000;-0.00001;0.00025;10.00000;0.00000
2.25970;-10.18012;140.00000;0.00000;-0.00010;10.00000;0.00000
2.71164;-9.72819;140.00000;0.00000;0.00004;10.00000;0.00000
3.16358;-9.27625;140.00000;-0.00000;-0.00001;10.00000;0.00000
3.61552;-8.82431;140.00000;0.00000;0.00000;10.00000;0.00000
4.06746;-8.37237;140.00000;-0.00000;-0.00000;10.00000;0.00000
4.51939;-7.92043;140.00000;0.00000;0.00000;10.00000;0.00000
4.97133;-7.46849;140.00000;-0.00000;0.00000;10.00000;0.00000
5.42327;-7.01655;140.00000;0.00000;-0.00000;10.00000;0.00000
5.87521;-6.56461;140.00000;-0.00000;0.00000;10.00000;0.00000
6.32715;-6.11267;140.00000;0.00000;-0.00000;10.00000;0.00000
6.77909;-5.66073;140.00000;-0.00000;0.00000;10.00000;0.00000
7.23103;-5.20879;140.00000;0.00000;-0.00000;10.00000;0.00000
7.68297;-4.75685;140.00000;-0.00000;0.00000;10.00000;0.00000
8.13491;-4.30491;140.00000;-0.00000;-0.00000;10.00000;0.00000
8.58685;-3.85297;140.00000;0.00000;0.00000;10.00000;0.00000
9.03879;-3.40103;140.00000;-0.00000;-0.00000;10.00000;0.00000
9.49073;-2.94909;140.00000;0.00000;0.00000;10.00000;0.00000
9.94267;-2.49715;140.00000;-0.00000;-0.00000;10.00000;0.00000
10.39461;-2.04521;140.00000;0.00000;-0.00000;10.00000;0.00000
10.84655;-1.59327;140.00000;-0.00000;0.00000;10.00000;0.00000
11.29849;-1.14134;140.00000;0.00000;-0.00000;10.00000;0.00000
11.75043;-0.68940;140.00000;0.00000;0.00000;10.00000;0.00000
12.20237;-0.23746;140.00000;0.00000;-0.00000;10.00000;0.00000
12.65431;0.21448;140.00000;-0.00000;0.00000;10.00000;0.00000
13.10624;0.66642;140.00000;0.00000;-0.00000;10.00000;0.00000
13.55818;1.11836;140.00000;-0.00000;0.00000;10.00000;0.00000
14.01012;1.57030;140.00000;0.00000;-0.00000;10.00000;0.00000
14.46206;2.02224;140.00000;0.00000;0.00000;10.00000;0.00000
14.91400;2.47418;140.00000;-0.00000;-0.00000;10.00000;0.00000
15.36594;2.92612;140.00000;0.00000;0.00000;10.00000;0.00000
15.81788;3.37806;140.00000;-0.00000;-0.00000;10.00000;0.00000
16.26982;3.83000;140.00000;0.00000;0.00000;10.00000;0.00000
16.72176;4.28194;140.00000;-0.00000;-0.00000;10.00000;0.00000
17.17370;4.73388;140.00000;0.00000;0.00000;10.00000;0.00000
17.62564;5.18582;140.00000;-0.00000;0.00000;10.00000;0.00000
18.07758;5.63776;140.00000;0.00000;-0.00000;10.00000;0.00000
18.52952;6.08970;140.00000;0.00000;0.00000;10.00000;0.00000
18.98146;6.54164;140.00000;0.00000;0.00000;10.00000;0.00000
19.43340;6.99358;140.00000;0.00000;0.00001;10.00000;0.00000
