# 382f7713-a98d-4f20-980d-62a291634f74
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.8908437; -4.5256964; 0.4462067; -0.0000025; 34.2171393; 1.4365258
1.9996641; -4.7538060; -2.7217947; 0.4462126; 0.0000084; 34.3009877; 1.4348363
3.9993282; -5.6167941; -0.9179148; 0.4462378; 0.0000145; 34.3845334; 1.4330485
5.9989923; -6.4798064; 0.8858829; 0.4462682; 0.0000159; 34.4677729; 1.4261220
7.9986565; -7.3429106; 2.6897288; 0.4462994; 0.0000152; 34.5504110; 1.4243849
9.9983206; -8.2060535; 4.4935143; 0.4463291; 0.0000143; 34.6327516; 1.4225017
11.9979847; -9.0692315; 6.2972406; 0.4463565; 0.0000132; 34.7147884; 1.4156816
13.9976488; -9.9324893; 8.1010128; 0.4463810; 0.0000114; 34.7962399; 1.3574164
15.9973129; -10.7957713; 9.9047303; 0.4464018; 0.0000092; 34.8741604; 1.2956662
17.9969770; -11.6590712; 11.7083999; 0.4464178; 0.0000068; 34.9483742; 0.5987016
19.9966411; -12.5224272; 13.5121247; 0.4464284; 0.0000038; 34.9826137; 0.3040990
21.9963053; -13.3857801; 15.3158081; 0.4464329; 0.0000006; 34.9999922; 0.0001081
23.9959694; -14.2491200; 17.1194591; 0.4464305; -0.0000029; 34.9999984; -0.0000174
25.9956335; -15.1124810; 18.9231817; 0.4464207; -0.0000069; 34.9999974; -0.0000103
27.9952976; -15.9758001; 20.7268812; 0.4464027; -0.0000112; 34.9999968; -0.0000000
29.9949617; -16.8390637; 22.5305685; 0.4463758; -0.0000157; 34.9999968; -0.0000000
31.9946258; -17.7023025; 24.3343503; 0.4463395; -0.0000205; 34.9999968; -0.0000000
33.9942900; -18.5654502; 26.1381318; 0.4462937; -0.0000253; 34.9999968; -0.0000000
35.9939541; -19.4284912; 27.9419249; 0.4462383; -0.0000300; 34.9999968; -0.0000000
37.9936182; -20.2914570; 29.7458384; 0.4461740; -0.0000343; 34.9999968; -0.0000000
39.9932823; -21.1542815; 31.5497744; 0.4461012; -0.0000382; 34.9999968; -0.0000000
41.9929464; -22.0169526; 33.3537434; 0.4460215; -0.0000416; 34.9999968; -0.0000000
43.9926105; -22.8795083; 35.1578543; 0.4459363; -0.0000436; 34.9999968; -0.0000000
45.9922746; -23.7418888; 36.9620024; 0.4458476; -0.0000447; 34.9999968; -0.0000000
47.9919388; -24.6040922; 38.7661938; 0.4457582; -0.0000448; 34.9999968; -0.0000000
49.9916029; -25.4661701; 40.5705342; 0.4456709; -0.0000425; 34.9999968; -0.0000000
51.9912670; -26.3280762; 42.3749088; 0.4455890; -0.0000388; 34.9999968; -0.0000000
53.9909311; -27.1898263; 44.1793157; 0.4455166; -0.0000336; 34.9999968; -0.0000000
55.9905952; -28.0514924; 45.9838538; 0.4454577; -0.0000252; 34.9999968; -0.0000000
57.9902593; -28.9130486; 47.7883953; 0.4454165; -0.0000151; 34.9999968; -0.0000000
59.9899234; -29.7745340; 49.5929277; 0.4453983; -0.0000031; 34.9999968; -0.0000000
61.9895876; -30.6360462; 51.3975399; 0.4454075; 0.0000124; 34.9999968; -0.0000000
63.9892517; -31.4975840; 53.2020903; 0.4454486; 0.0000296; 34.9999968; -0.0000000
65.9889158; -32.3592119; 55.0065537; 0.4455269; 0.0000487; 34.9999968; -0.0000000
67.9885799; -33.2210539; 56.8110090; 0.4456464; 0.0000709; 34.9999968; -0.0000000
69.9882440; -34.0831323; 58.6153012; 0.4458110; 0.0000943; 34.9999968; -0.0000000
71.9879081; -34.9455338; 60.4193943; 0.4460243; 0.0001191; 34.9999968; -0.0000000
73.9875723; -35.8084030; 62.2233591; 0.4462889; 0.0001455; 34.9999968; -0.0000000
75.9872364; -36.6717774; 64.0270316; 0.4466064; 0.0001721; 34.9999968; -0.0000000
77.9869005; -37.5357549; 65.8303697; 0.4469775; 0.0001990; 34.9999968; -0.0000000
