# 0bb565b9-a995-41b0-a817-02b532269424
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.7707297; -0.0733079; -3.1197006; -0.0000007; 34.9999931; 0.0000433
1.9994426; -3.7269630; -2.0722711; -3.1197024; -0.0000011; 34.9999956; 0.0000217
3.9988851; -3.6832008; -4.0712348; -3.1197051; -0.0000015; 34.9999968; 0.0000000
5.9983277; -3.6394447; -6.0701986; -3.1197085; -0.0000019; 34.9999968; -0.0000000
7.9977702; -3.5956962; -8.0691624; -3.1197127; -0.0000022; 34.9999968; -0.0000000
9.9972128; -3.5519566; -10.0681265; -3.1197175; -0.0000026; 34.9999968; -0.0000000
11.9966553; -3.5082273; -12.0670909; -3.1197229; -0.0000029; 34.9999968; -0.0000000
13.9960979; -3.4645094; -14.0660554; -3.1197289; -0.0000031; 34.9999968; -0.0000000
15.9955404; -3.4208040; -16.0650202; -3.1197354; -0.0000033; 34.9999968; -0.0000000
17.9949830; -3.3771118; -18.0639854; -3.1197422; -0.0000035; 34.9999968; -0.0000000
19.9944255; -3.3334336; -20.0629507; -3.1197492; -0.0000035; 34.9999968; -0.0000000
21.9938681; -3.2897694; -22.0619165; -3.1197562; -0.0000035; 34.9999968; -0.0000000
23.9933106; -3.2461191; -24.0608825; -3.1197631; -0.0000034; 34.9999968; -0.0000000
25.9927532; -3.2024820; -26.0598488; -3.1197695; -0.0000030; 34.9999968; -0.0000000
27.9921957; -3.1588572; -28.0588154; -3.1197752; -0.0000026; 34.9999968; -0.0000000
29.9916383; -3.1152428; -30.0577822; -3.1197800; -0.0000021; 34.9999968; -0.0000000
31.9910808; -3.0716368; -32.0567493; -3.1197835; -0.0000014; 34.9999968; -0.0000000
33.9905234; -3.0280364; -34.0557164; -3.1197855; -0.0000006; 34.9999968; -0.0000000
35.9899659; -2.9844383; -36.0546835; -3.1197857; 0.0000004; 34.9999968; -0.0000000
37.9894085; -2.9408385; -38.0536507; -3.1197838; 0.0000015; 34.9999968; -0.0000000
39.9888510; -2.8972325; -40.0526177; -3.1197796; 0.0000028; 34.9999968; -0.0000000
41.9882936; -2.8536156; -42.0515844; -3.1197727; 0.0000041; 34.9999968; -0.0000000
43.9877362; -2.8099823; -44.0505509; -3.1197632; 0.0000055; 34.9999968; -0.0000000
45.9871787; -2.7663271; -46.0495168; -3.1197508; 0.0000069; 34.9999968; -0.0000000
47.9866213; -2.7226442; -48.0484820; -3.1197354; 0.0000084; 34.9999968; -0.0000000
49.9860638; -2.6789277; -50.0474467; -3.1197172; 0.0000098; 34.9999968; -0.0000000
51.9855064; -2.6351720; -52.0464104; -3.1196962; 0.0000111; 34.9999968; -0.0000000
53.9849489; -2.5913717; -54.0453730; -3.1196727; 0.0000124; 34.9999968; -0.0000000
55.9843915; -2.5475222; -56.0443349; -3.1196470; 0.0000134; 34.9999968; -0.0000000
57.9838340; -2.5036193; -58.0432954; -3.1196194; 0.0000141; 34.9999968; -0.0000000
59.9832766; -2.4596601; -60.0422545; -3.1195907; 0.0000146; 34.9999968; -0.0000000
61.9827191; -2.4156428; -62.0412126; -3.1195615; 0.0000146; 34.9999968; -0.0000000
63.9821617; -2.3715672; -64.0401693; -3.1195325; 0.0000142; 34.9999968; -0.0000000
65.9816042; -2.3274349; -66.0391246; -3.1195048; 0.0000135; 34.9999968; -0.0000000
