# ae22221d-ec96-4df0-b81b-42bad1a8cde7
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.4795062; -4.9154929; 0.8064647; 0.0000004; 34.9999931; 0.0000433
1.9994058; -5.9227690; -3.5317947; 0.8064659; 0.0000007; 34.9999956; 0.0000217
3.9988115; -7.3660334; -2.1480991; 0.8064676; 0.0000009; 34.9999968; 0.0000000
5.9982173; -8.8092986; -0.7644076; 0.8064694; 0.0000009; 34.9999968; -0.0000000
7.9976231; -10.2525687; 0.6192834; 0.8064713; 0.0000009; 34.9999968; -0.0000000
9.9970289; -11.6958403; 2.0029708; 0.8064731; 0.0000009; 34.9999968; -0.0000000
11.9964346; -13.1391132; 3.3866545; 0.8064748; 0.0000009; 34.9999968; -0.0000000
13.9958404; -14.5823907; 4.7703379; 0.8064765; 0.0000008; 34.9999968; -0.0000000
15.9952462; -16.0256693; 6.1540179; 0.8064780; 0.0000007; 34.9999968; -0.0000000
17.9946520; -17.4689489; 7.5376946; 0.8064795; 0.0000007; 34.9999968; -0.0000000
19.9940577; -18.9122325; 8.9213716; 0.8064807; 0.0000006; 34.9999968; -0.0000000
21.9934635; -20.3555167; 10.3050458; 0.8064818; 0.0000005; 34.9999968; -0.0000000
23.9928693; -21.7988010; 11.6887175; 0.8064827; 0.0000004; 34.9999968; -0.0000000
25.9922751; -23.2420887; 13.0723903; 0.8064834; 0.0000003; 34.9999968; -0.0000000
27.9916808; -24.6853761; 14.4560612; 0.8064838; 0.0000002; 34.9999968; -0.0000000
29.9910866; -26.1286627; 15.8397305; 0.8064840; 0.0000000; 34.9999968; -0.0000000
31.9904924; -27.5719518; 17.2234019; 0.8064840; -0.0000001; 34.9999968; -0.0000000
33.9898982; -29.0152395; 18.6070724; 0.8064837; -0.0000002; 34.9999968; -0.0000000
35.9893039; -30.4585256; 19.9907423; 0.8064832; -0.0000003; 34.9999968; -0.0000000
37.9887097; -31.9018131; 21.3744153; 0.8064826; -0.0000004; 34.9999968; -0.0000000
39.9881155; -33.3450984; 22.7580883; 0.8064817; -0.0000005; 34.9999968; -0.0000000
41.9875213; -34.7883814; 24.1417615; 0.8064807; -0.0000005; 34.9999968; -0.0000000
43.9869270; -36.2316652; 25.5254384; 0.8064797; -0.0000005; 34.9999968; -0.0000000
45.9863328; -37.6749463; 26.9091157; 0.8064785; -0.0000005; 34.9999968; -0.0000000
47.9857386; -39.1182247; 28.2927935; 0.8064775; -0.0000005; 34.9999968; -0.0000000
49.9851444; -40.5615041; 29.6764751; 0.8064765; -0.0000004; 34.9999968; -0.0000000
51.9845501; -42.0047811; 31.0601567; 0.8064758; -0.0000003; 34.9999968; -0.0000000
53.9839559; -43.4480561; 32.4438381; 0.8064753; -0.0000002; 34.9999968; -0.0000000
55.9833617; -44.8913331; 33.8275222; 0.8064752; 0.0000001; 34.9999968; -0.0000000
57.9827675; -46.3346090; 35.2112050; 0.8064756; 0.0000003; 34.9999968; -0.0000000
59.9821732; -47.7778846; 36.5948858; 0.8064765; 0.0000006; 34.9999968; -0.0000000
61.9815790; -49.2211644; 37.9785669; 0.8064781; 0.0000010; 34.9999968; -0.0000000
63.9809848; -50.6644456; 39.3622441; 0.8064805; 0.0000014; 34.9999968; -0.0000000
65.9803906; -52.1077296; 40.7459162; 0.8064836; 0.0000018; 34.9999968; -0.0000000
67.9797963; -53.5510209; 42.1295853; 0.8064877; 0.0000023; 34.9999968; -0.0000000
69.9792021; -54.9943173; 43.5132467; 0.8064927; 0.0000028; 34.9999968; -0.0000000
71.9786079; -56.4376202; 44.8968991; 0.8064987; 0.0000032; 34.9999968; -0.0000000
73.9780137; -57.8809344; 46.2805444; 0.8065057; 0.0000037; 34.9999968; -0.0000000
75.9774194; -59.3242576; 47.6641777; 0.8065136; 0.0000042; 34.9999968; -0.0000000
77.9768252; -60.7675913; 49.0477979; 0.8065224; 0.0000046; 34.9999968; -0.0000000
79.9762310; -62.2109401; 50.4314070; 0.8065320; 0.0000050; 34.9999968; -0.0000000
81.9756368; -63.6543015; 51.8150006; 0.8065423; 0.0000053; 34.9999968; -0.0000000
83.9750425; -65.0976763; 53.1985780; 0.8065531; 0.0000055; 34.9999968; -0.0000000
85.9744483; -66.5410686; 54.5821418; 0.8065641; 0.0000056; 34.9999968; -0.0000000
87.9738541; -67.9844750; 55.9656884; 0.8065752; 0.0000055; 34.9999968; -0.0000000
89.9732599; -69.4278955; 57.3492180; 0.8065861; 0.0000053; 34.9999968; -0.0000000
91.9726656; -70.8713330; 58.7327347; 0.8065963; 0.0000049; 34.9999968; -0.0000000
