3# 1c666f46-b9c6-486c-b393-e6ae93e9e409
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -1.0911572; 8.7182545; -1.7183803; 0.0001709; 34.9999931; 0.0000433
1.9993704; 0.8865238; 8.4245872; -1.7180398; 0.0001698; 34.9999955; 0.0000217
3.9987408; 2.8643077; 8.1315910; -1.7177012; 0.0001689; 34.9999968; 0.0000000
5.9981112; 4.8421982; 7.8392614; -1.7173645; 0.0001680; 34.9999968; -0.0000000
7.9974816; 6.8201745; 7.5475976; -1.7170300; 0.0001665; 34.9999968; -0.0000000
9.9968520; 8.7982536; 7.2565914; -1.7166988; 0.0001646; 34.9999968; 0.0000000
11.9962224; 10.7764345; 6.9662354; -1.7163719; 0.0001623; 34.9999968; 0.0000000
13.9955928; 12.7546974; 6.6765227; -1.7160505; 0.0001591; 34.9999968; 0.0000000
15.9949632; 14.7330583; 6.3874385; -1.7157357; 0.0001556; 34.9999968; 0.0000000
17.9943336; 16.7115153; 6.0989687; -1.7154286; 0.0001516; 34.9999968; 0.0000000
19.9937040; 18.6900472; 5.8111001; -1.7151300; 0.0001471; 34.9999968; 0.0000000
21.9930744; 20.6686698; 5.5238123; -1.7148407; 0.0001423; 34.9999968; 0.0000000
23.9924448; 22.6473804; 5.2370866; -1.7145611; 0.0001374; 34.9999968; 0.0000000
25.9918152; 24.6261571; 4.9509060; -1.7142915; 0.0001323; 34.9999968; 0.0000000
27.9911856; 26.6050157; 4.6652481; -1.7140320; 0.0001273; 34.9999968; 0.0000000
29.9905560; 28.5839533; 4.3800928; -1.7137825; 0.0001223; 34.9999968; 0.0000000
31.9899264; 30.5629479; 4.0954235; -1.7135426; 0.0001176; 34.9999968; 0.0000000
33.9892968; 32.5420157; 3.8112189; -1.7133119; 0.0001132; 34.9999968; 0.0000000
35.9886672; 34.5211543; 3.5274611; -1.7130900; 0.0001089; 34.9999968; 0.0000000
37.9880376; 36.5003418; 3.2441362; -1.7128762; 0.0001050; 34.9999968; 0.0000000
39.9874080; 38.4795950; 2.9612260; -1.7126700; 0.0001014; 34.9999968; 0.0000000
41.9867784; 40.4589122; 2.6787161; -1.7124707; 0.0000979; 34.9999968; 0.0000000
43.9861488; 42.4382717; 2.3965958; -1.7122780; 0.0000948; 34.9999968; 0.0000000
45.9855192; 44.4176910; 2.1148500; -1.7120914; 0.0000918; 34.9999968; 0.0000000
47.9848896; 46.3971687; 1.8334667; -1.7119107; 0.0000890; 34.9999968; 0.0000000
49.9842600; 48.3766834; 1.5524374; -1.7117356; 0.0000862; 34.9999968; 0.0000000
51.9836304; 50.3562528; 1.2717485; -1.7115659; 0.0000835; 34.9999968; 0.0000000
53.9830008; 52.3358758; 0.9913890; -1.7114018; 0.0000807; 34.9999968; 0.0000000
55.9823712; 54.3155309; 0.7113506; -1.7112433; 0.0000779; 34.9999968; 0.0000000
57.9817416; 56.2952359; 0.4316195; -1.7110905; 0.0000750; 34.9999968; 0.0000000
59.9811120; 58.2749896; 0.1521841; -1.7109437; 0.0000720; 34.9999968; 0.0000000
61.9804824; 60.2547703; -0.1269646; -1.7108029; 0.0000688; 34.9999968; 0.0000000
63.9798528; 62.2345958; -0.4058419; -1.7106685; 0.0000656; 34.9999968; 0.0000000
65.9792232; 64.2144646; -0.6844605; -1.7105406; 0.0000623; 34.9999968; 0.0000000
67.9785936; 66.1943549; -0.9628307; -1.7104196; 0.0000588; 34.9999968; 0.0000000
69.9779640; 68.1742844; -1.2409689; -1.7103054; 0.0000553; 34.9999968; 0.0000000
71.9773344; 70.1542513; -1.5188890; -1.7101983; 0.0000518; 34.9999968; 0.0000000
73.9767048; 72.1342339; -1.7966021; -1.7100982; 0.0000483; 34.9999968; 0.0000000
75.9760752; 74.1142497; -2.0741251; -1.7100053; 0.0000447; 34.9999968; 0.0000000
77.9754456; 76.0942971; -2.3514720; -1.7099194; 0.0000412; 34.9999968; 0.0000000
79.9748160; 78.0743541; -2.6286539; -1.7098405; 0.0000378; 34.9999968; 0.0000000
81.9741864; 80.0544385; -2.9056872; -1.7097683; 0.0000344; 34.9999968; 0.0000000
83.9735568; 82.0345487; -3.1825852; -1.7097028; 0.0000311; 34.9999968; 0.0000000
85.9729272; 84.0146629; -3.4593579; -1.7096436; 0.0000281; 34.9999968; 0.0000000
87.9722977; 85.9947992; -3.7360203; -1.7095905; 0.0000251; 34.9999968; 0.0000000
89.9716681; 87.9749561; -4.0125841; -1.7095430; 0.0000223; 34.9999968; 0.0000000
91.9710385; 89.9551121; -4.2890576; -1.7095010; 0.0000198; 34.9999968; 0.0000000
93.9704089; 91.9352856; -4.5654537; -1.7094640; 0.0000173; 34.9999968; 0.0000000
95.9697793; 93.9154753; -4.8417820; -1.7094315; 0.0000151; 34.9999968; 0.0000000
97.9691497; 95.8956602; -5.1180486; -1.7094033; 0.0000131; 34.9999968; 0.0000000
99.9685201; 97.8758589; -5.3942642; -1.7093790; 0.0000113; 34.9999968; 0.0000000
101.9678905; 99.8560705; -5.6704359; -1.7093581; 0.0000096; 34.9999968; 0.0000000
103.9672609; 101.8362742; -5.9465675; -1.7093402; 0.0000082; 34.9999968; 0.0000000
105.9666313; 103.8164891; -6.2226673; -1.7093251; 0.0000070; 34.9999968; 0.0000000
107.9660017; 105.7967144; -6.4987404; -1.7093122; 0.0000059; 34.9999968; 0.0000000
109.9653721; 107.7769298; -6.7747883; -1.7093014; 0.0000050; 34.9999968; 0.0000000
111.9647425; 109.7571546; -7.0508173; -1.7092922; 0.0000042; 34.9999968; 0.0000000
113.9641129; 111.7373881; -7.3268305; -1.7092844; 0.0000036; 34.9999968; 0.0000000
115.9634833; 113.7176107; -7.6028276; -1.7092778; 0.0000031; 34.9999968; 0.0000000
117.9628537; 115.6978415; -7.8788134; -1.7092720; 0.0000027; 34.9999968; 0.0000000
119.9622241; 117.6780802; -8.1547894; -1.7092669; 0.0000024; 34.9999968; 0.0000000
121.9615945; 119.6583074; -8.4307540; -1.7092623; 0.0000022; 34.9999968; 0.0000000
123.9609649; 121.6385422; -8.7067108; -1.7092581; 0.0000021; 34.9999968; 0.0000000
125.9603353; 123.6187845; -8.9826603; -1.7092541; 0.0000020; 34.9999968; 0.0000000
127.9597057; 125.5990153; -9.2586003; -1.7092502; 0.0000019; 34.9999968; 0.0000000
129.9590761; 127.5792531; -9.5345333; -1.7092463; 0.0000019; 34.9999968; 0.0000000
131.9584465; 129.5594987; -9.8104598; -1.7092426; 0.0000018; 34.9999968; 0.0000000
133.9578169; 131.5397341; -10.0863779; -1.7092396; 0.0000012; 34.9999968; 0.0000000
135.9571873; 133.5199785; -10.3622923; -1.7092375; 0.0000013; 34.9999968; 0.0000000
137.9565577; 135.5002211; -10.6382013; -1.7092342; 0.0000020; 34.9999968; 0.0000000
139.9559281; 137.4804641; -10.9141027; -1.7092301; 0.0000021; 34.9999968; 0.0000000
141.9552985; 139.4607074; -11.1899955; -1.7092257; 0.0000022; 34.9999968; 0.0000000
143.9546689; 141.4409523; -11.4658795; -1.7092212; 0.0000023; 34.9999968; 0.0000000
145.9540393; 143.4211987; -11.7417545; -1.7092166; 0.0000023; 34.9999968; 0.0000000
147.9534097; 145.4014461; -12.0176204; -1.7092120; 0.0000023; 34.9999968; 0.0000000
149.9527801; 147.3816947; -12.2934772; -1.7092074; 0.0000023; 34.9999968; 0.0000000
151.9521505; 149.3619448; -12.5693248; -1.7092028; 0.0000023; 34.9999968; 0.0000000
153.9515209; 151.3421961; -12.8451634; -1.7091982; 0.0000023; 34.9999968; 0.0000000
155.9508913; 153.3224485; -13.1209931; -1.7091938; 0.0000022; 34.9999968; 0.0000000
157.9502617; 155.3027023; -13.3968141; -1.7091894; 0.0000021; 34.9999968; 0.0000000
159.9496321; 157.2829572; -13.6726265; -1.7091852; 0.0000021; 34.9999968; 0.0000000
161.9490025; 159.2632132; -13.9484308; -1.7091811; 0.0000020; 34.9999968; 0.0000000
163.9483729; 161.2434704; -14.2242271; -1.7091772; 0.0000019; 34.9999968; 0.0000000
165.9477433; 163.2237286; -14.5000159; -1.7091735; 0.0000018; 34.9999968; 0.0000000
167.9471137; 165.2039877; -14.7757975; -1.7091700; 0.0000017; 34.9999968; 0.0000000
169.9464841; 167.1842479; -15.0515722; -1.7091666; 0.0000016; 34.9999968; 0.0000000
171.9458545; 169.1645090; -15.3273406; -1.7091635; 0.0000015; 34.9999968; 0.0000000
173.9452249; 171.1447708; -15.6031028; -1.7091605; 0.0000014; 34.9999968; 0.0000000
175.9445953; 173.1250335; -15.8788594; -1.7091577; 0.0000013; 34.9999968; 0.0000000
177.9439657; 175.1052969; -16.1546107; -1.7091551; 0.0000013; 34.9999968; 0.0000000
179.9433361; 177.0855610; -16.4303569; -1.7091527; 0.0000012; 34.9999968; 0.0000000
181.9427065; 179.0658258; -16.7060985; -1.7091504; 0.0000011; 34.9999968; 0.0000000
183.9420769; 181.0460912; -16.9818358; -1.7091483; 0.0000010; 34.9999968; 0.0000000
185.9414473; 183.0263571; -17.2575690; -1.7091463; 0.0000010; 34.9999968; 0.0000000
187.9408177; 185.0066236; -17.5332983; -1.7091444; 0.0000009; 34.9999968; 0.0000000
189.9401881; 186.9868906; -17.8090240; -1.7091426; 0.0000009; 34.9999968; 0.0000000
191.9395585; 188.9671581; -18.0847463; -1.7091409; 0.0000008; 34.9999968; 0.0000000
193.9389289; 190.9474259; -18.3604653; -1.7091393; 0.0000008; 34.9999968; 0.0000000
