# 57d94fb4-7fd7-4289-8963-a779a5757b66
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -3.0706407; -1.4684319; -2.9109899; -0.0011317; 34.9999931; 0.0000428
1.9998551; -2.6158325; -3.4161018; -2.9134567; -0.0013353; 34.9999956; 0.0000212
3.9997101; -2.1662591; -5.3648212; -2.9163169; -0.0015103; 34.9999968; -0.0000002
5.9995652; -1.7226380; -7.3145830; -2.9194825; -0.0016558; 34.9999968; -0.0000002
7.9994203; -1.2853462; -9.2662944; -2.9229112; -0.0017728; 34.9999968; -0.0000002
9.9992753; -0.8550263; -11.2193138; -2.9265687; -0.0018798; 34.9999968; -0.0000002
11.9991304; -0.4321051; -13.1736805; -2.9304248; -0.0019769; 34.9999968; -0.0000002
13.9989855; -0.0167987; -15.1301916; -2.9344587; -0.0020569; 34.9999967; -0.0000001
15.9988405; 0.3904089; -17.0881644; -2.9386486; -0.0021297; 34.9999967; -0.0000001
17.9986956; 0.7892214; -19.0475888; -2.9429731; -0.0021955; 34.9999967; -0.0000001
19.9985507; 1.1795322; -21.0092370; -2.9474187; -0.0022499; 34.9999967; -0.0000001
21.9984057; 1.5609700; -22.9724011; -2.9519702; -0.0022994; 34.9999967; -0.0000001
23.9982608; 1.9333251; -24.9370228; -2.9566132; -0.0023443; 34.9999967; -0.0000001
25.9981159; 2.2965590; -26.9038505; -2.9613400; -0.0023823; 34.9999967; -0.0000001
27.9979709; 2.6503830; -28.8721887; -2.9661399; -0.0024158; 34.9999967; -0.0000001
29.9978260; 2.9946455; -30.8419350; -2.9710006; -0.0024467; 34.9999967; -0.0000001
31.9976811; 3.3293344; -32.8137949; -2.9759392; -0.0024917; 34.9999967; -0.0000001
33.9975361; 3.6541537; -34.7870526; -2.9809640; -0.0025313; 34.9999967; -0.0000001
35.9973912; 3.9689570; -36.7617757; -2.9860600; -0.0025614; 34.9999967; -0.0000002
37.9972463; 4.2737015; -38.7383308; -2.9911713; -0.0025500; 34.9999967; -0.0000002
39.9971013; 4.5683529; -40.7163809; -2.9962704; -0.0025567; 34.9999966; -0.0000002
41.9969564; 4.8528727; -42.6958248; -3.0014024; -0.0025753; 34.9999966; -0.0000002
43.9968115; 5.1272142; -44.6768320; -3.0065660; -0.0025885; 34.9999966; -0.0000002
45.9966665; 5.3912943; -46.6592130; -3.0117557; -0.0026012; 34.9999966; -0.0000002
47.9965216; 5.6450427; -48.6428174; -3.0169700; -0.0026134; 34.9999966; -0.0000002
49.9963767; 5.8884380; -50.6278546; -3.0222067; -0.0026236; 34.9999966; -0.0000002
51.9962317; 6.1214153; -52.6141444; -3.0274631; -0.0026327; 34.9999966; -0.0000002
53.9960868; 6.3439160; -54.6014929; -3.0327365; -0.0026410; 34.9999966; -0.0000002
55.9959419; 6.5559304; -56.5901078; -3.0380253; -0.0026481; 34.9999966; -0.0000002
57.9957969; 6.7574139; -58.5798497; -3.0433276; -0.0026541; 34.9999966; -0.0000002
59.9956520; 6.9483195; -60.5704848; -3.0486406; -0.0026594; 34.9999965; -0.0000002
61.9955071; 7.1286444; -62.5621972; -3.0539633; -0.0026636; 34.9999965; -0.0000002
63.9953621; 7.2983628; -64.5549221; -3.0592966; -0.0026706; 34.9999965; -0.0000002
65.9952172; 7.4574200; -66.5483339; -3.0646479; -0.0026875; 34.9999965; -0.0000002
67.9950723; 7.6057592; -68.5426433; -3.0700613; -0.0027259; 34.9999965; -0.0000002
69.9949273; 7.7432416; -70.5376224; -3.0755039; -0.0027049; 34.9999965; -0.0000002
71.9947824; 7.8699387; -72.5334296; -3.0808778; -0.0026760; 34.9999965; -0.0000002
73.9946375; 7.9859505; -74.5299669; -3.0862226; -0.0026691; 34.9999965; -0.0000001
75.9944925; 8.0912940; -76.5269283; -3.0915552; -0.0026645; 34.9999965; -0.0000001
77.9943476; 8.1860027; -78.5245768; -3.0968792; -0.0026592; 34.9999964; -0.0000001
79.9942027; 8.2700884; -80.5227445; -3.1021906; -0.0026523; 34.9999964; -0.0000000
81.9940577; 8.3435679; -82.5211033; -3.1074842; -0.0026416; 34.9999964; 0.0000001
83.9939128; 8.4064958; -84.5200071; -3.1127551; -0.0026282; 34.9999964; 0.0000002
85.9937679; 8.4589192; -86.5192899; -3.1179943; -0.0026111; 34.9999965; 0.0000069
87.9936229; 8.5009016; -88.5185459; -3.1231900; -0.0025845; 34.9999968; 0.0000132
89.9934780; 8.5325541; -90.5181821; -3.1283287; -0.0025510; 34.9999976; 0.0000208
91.9933331; 8.5540072; -92.5180602; -3.1333891; -0.0025094; 34.9999988; -0.1055294
93.9931881; 8.5654506; -94.5177257; -3.1383200; -0.0024191; 34.9939685; -0.6208586
95.9930432; 8.5672236; -96.5175987; 3.1401320; -0.0023009; 34.9584693; -1.2413014
97.9928983; 8.5597993; -98.5175891; 3.1356785; -0.0021525; 34.8873864; -2.6560331
99.9927533; 8.5437769; -100.5172401; 3.1315362; -0.0019901; 34.7348005; -3.2359650
101.9926084; 8.5197869; -102.5170334; 3.1276980; -0.0018708; 34.5479875; -3.8064557
103.9924635; 8.4883060; -104.5167128; 3.1240277; -0.0017998; 34.3269388; -3.9156775
105.9923185; 8.4495930; -106.5161828; 3.1204439; -0.0017849; 34.0980520; -3.9542682
107.9921736; 8.4037431; -108.5155080; 3.1168894; -0.0017689; 33.8653395; -3.9912211
109.9920287; 8.3508208; -110.5146752; 3.1133699; -0.0017510; 33.6288194; -4.0706587
111.9918837; 8.2908947; -112.5136147; 3.1098792; -0.0017400; 33.3858659; -4.0807491
113.9917388; 8.2240110; -114.5123501; 3.1064052; -0.0017391; 33.1405224; -4.0872971
115.9915939; 8.1501743; -116.5108559; 3.1029191; -0.0017469; 32.8929510; -4.0846281
117.9914489; 8.0693644; -118.5090623; 3.0994289; -0.0017436; 32.6436655; -4.0699610
119.9913040; 7.9815881; -120.5069883; 3.0959485; -0.0017345; 32.3933671; -4.0539361
121.9911591; 7.8868819; -122.5046130; 3.0924935; -0.0017220; 32.1421166; -4.0518912
123.9910141; 7.7852860; -124.5018742; 3.0890415; -0.0017303; 31.8890149; -4.0387677
125.9908692; 7.6767773; -126.4987808; 3.0855682; -0.0017466; 31.6347178; -4.0233109
127.9907243; 7.5612928; -128.4953097; 3.0820531; -0.0017690; 31.3793450; -4.0217254
129.9905793; 7.4387451; -130.4913998; 3.0784901; -0.0017942; 31.1219787; -4.0094518
131.9904344; 7.3090342; -132.4870461; 3.0748738; -0.0018241; 30.8632615; -3.9938759
133.9902895; 7.1720442; -134.4821969; 3.0711928; -0.0018570; 30.6033751; -3.9920249
135.9901445; 7.0276495; -136.4767940; 3.0674488; -0.0018871; 30.3413847; -3.9803462
137.9899996; 6.8757354; -138.4707884; 3.0636534; -0.0019038; 30.0778888; -3.9643258
139.9898547; 6.7162187; -140.4643486; 3.0598370; -0.0019146; 29.8131387; -3.9616537
141.9897097; 6.5490736; -142.4571421; 3.0559817; -0.0019411; 29.5461972; -3.9507775
143.9895648; 6.3741927; -144.4492928; 3.0520741; -0.0019664; 29.2775649; -3.9344413
145.9894199; 6.1914664; -146.4408751; 3.0481166; -0.0019925; 29.0075711; -3.9315003
147.9892749; 6.0008160; -148.4315616; 3.0440972; -0.0020273; 28.7352453; -3.9213678
149.9891300; 5.8021019; -150.4214621; 3.0400210; -0.0020427; 28.4610257; -3.9044047
151.9889851; 5.5952453; -152.4106910; 3.0359319; -0.0020396; 28.1853419; -3.9000649
153.9888401; 5.3803119; -154.3989080; 3.0318973; -0.0019953; 27.9072458; -3.8888427
155.9886952; 5.1574608; -156.3862410; 3.0279799; -0.0019090; 27.6271628; -3.8699331
157.9885503; 4.9270064; -158.3728804; 3.0242727; -0.0017792; 27.3455941; -3.8625419
159.9884053; 4.6895480; -160.3585418; 3.0209478; -0.0015460; 27.0616420; -3.8493248
161.9882604; 4.4460009; -162.3434476; 3.0181921; -0.0011638; 26.7756659; -3.8287008
163.9881155; 4.1978183; -164.3279537; 3.0163217; -0.0006719; 26.4881595; -3.8208482
165.9879705; 3.9470625; -166.3119941; 3.0156468; -0.0000033; 26.1980974; -3.8130622
167.9878256; 3.6962931; -168.2960122; 3.0163019; 0.0006559; 25.9053887; -3.7962048
169.9876807; 3.4481073; -170.2804960; 3.0182596; 0.0012677; 25.6106510; -3.7969345
171.9875357; 3.2048973; -172.2654794; 3.0212392; 0.0017120; 25.3124240; -3.7942172
173.9873908; 2.9684486; -174.2512309; 3.0250180; 0.0020306; 25.0108584; -3.7784084
175.9872459; 2.7400438; -176.2380822; 3.0293395; 0.0022684; 24.7068917; -3.7790173
177.9871009; 2.5206231; -178.2258314; 3.0340066; 0.0023990; 24.3990886; -3.7741077
179.9869560; 2.3107482; -180.2145431; 3.0389344; 0.0025295; 24.0877601; -3.7557290
