# 90f791ae-5c77-4e83-8df1-fef030ee00a3
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.9071370; 0.6767945; -0.0849236; 0.0001249; 34.9999931; 0.0000433
1.9993913; 4.0764873; 2.6689839; -0.0846873; 0.0001115; 34.9999955; 0.0000217
3.9987825; 4.2453962; 4.6612544; -0.0844752; 0.0001030; 34.9999968; 0.0000000
5.9981738; 4.4138907; 6.6535235; -0.0842728; 0.0000993; 34.9999968; -0.0000000
7.9975651; 4.5819911; 8.6458364; -0.0840789; 0.0000946; 34.9999968; -0.0000000
9.9969564; 4.7497148; 10.6381822; -0.0838952; 0.0000885; 34.9999968; 0.0000000
11.9963476; 4.9170858; 12.6305531; -0.0837257; 0.0000810; 34.9999968; -0.0000000
13.9957389; 5.0841358; 14.6229557; -0.0835730; 0.0000718; 34.9999968; -0.0000000
15.9951302; 5.2508996; 16.6153804; -0.0834389; 0.0000622; 34.9999968; -0.0000000
17.9945214; 5.4174158; 18.6078232; -0.0833246; 0.0000521; 34.9999968; -0.0000000
19.9939127; 5.5837247; 20.6002881; -0.0832305; 0.0000420; 34.9999968; -0.0000000
21.9933040; 5.7498659; 22.5927647; -0.0831564; 0.0000322; 34.9999968; -0.0000000
23.9926952; 5.9158785; 24.5852494; -0.0831015; 0.0000227; 34.9999968; -0.0000000
25.9920865; 6.0818005; 26.5777468; -0.0830647; 0.0000141; 34.9999968; -0.0000000
27.9914778; 6.2476660; 28.5702463; -0.0830448; 0.0000062; 34.9999968; -0.0000000
29.9908691; 6.4135065; 30.5627452; -0.0830397; -0.0000011; 34.9999968; -0.0000000
31.9902603; 6.5793509; 32.5552491; -0.0830477; -0.0000069; 34.9999968; -0.0000000
33.9896516; 6.7452225; 34.5477480; -0.0830670; -0.0000120; 34.9999968; -0.0000000
35.9890429; 6.9111417; 36.5402404; -0.0830954; -0.0000164; 34.9999968; -0.0000000
37.9884341; 7.0771256; 38.5327327; -0.0831310; -0.0000192; 34.9999968; -0.0000000
39.9878254; 7.2431858; 40.5252158; -0.0831720; -0.0000215; 34.9999968; -0.0000000
41.9872167; 7.4093312; 42.5176894; -0.0832165; -0.0000230; 34.9999968; -0.0000000
43.9866080; 7.5755678; 44.5101604; -0.0832628; -0.0000234; 34.9999968; -0.0000000
45.9859992; 7.7418972; 46.5026211; -0.0833097; -0.0000233; 34.9999968; -0.0000000
47.9853905; 7.9083191; 48.4950717; -0.0833556; -0.0000227; 34.9999968; -0.0000000
