# 3f1eb4c5-d60e-4a96-b9ed-9859d5479568
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 6.2396453; -0.7205552; -0.1083806; -0.0000213; 23.9138724; 1.8000679
1.9991818; 6.4559350; 1.2668895; -0.1084218; -0.0000199; 24.0638862; 1.7996686
3.9983636; 6.6723039; 3.2543280; -0.1084600; -0.0000185; 24.2129377; 1.7990140
5.9975454; 6.8887465; 5.2417613; -0.1084957; -0.0000172; 24.3610234; 1.7870517
7.9967272; 7.1052570; 7.2291818; -0.1085289; -0.0000160; 24.5072386; 1.7865293
9.9959090; 7.3218315; 9.2165981; -0.1085599; -0.0000150; 24.6525442; 1.7857313
11.9950907; 7.5384658; 11.2040104; -0.1085888; -0.0000139; 24.7969341; 1.7741197
13.9942725; 7.7551550; 13.1914115; -0.1086158; -0.0000130; 24.9395573; 1.7734857
15.9934543; 7.9718963; 15.1788096; -0.1086410; -0.0000122; 25.0813189; 1.7725555
17.9926361; 8.1886862; 17.1662050; -0.1086645; -0.0000114; 25.2222100; 1.7612723
19.9918179; 8.4055208; 19.1535901; -0.1086865; -0.0000106; 25.3614291; 1.7605368
21.9909997; 8.6223980; 21.1409734; -0.1087070; -0.0000099; 25.4998304; 1.7594845
23.9901815; 8.8393149; 23.1283550; -0.1087262; -0.0000093; 25.6374026; 1.7485100
25.9893633; 9.0562682; 25.1157272; -0.1087442; -0.0000087; 25.7733892; 1.7476821
27.9885451; 9.2732563; 27.1030983; -0.1087610; -0.0000081; 25.9085981; 1.7465166
29.9877269; 9.4902770; 29.0904686; -0.1087768; -0.0000076; 26.0430157; 1.7358329
31.9869087; 9.7073275; 31.0778301; -0.1087915; -0.0000071; 26.1759270; 1.7349208
33.9860904; 9.9244065; 33.0651914; -0.1088053; -0.0000067; 26.3080976; 1.7336502
35.9852722; 10.1415123; 35.0525523; -0.1088182; -0.0000062; 26.4395114; 1.7232413
37.9844540; 10.3586423; 37.0399052; -0.1088302; -0.0000058; 26.5694921; 1.7222523
39.9836358; 10.5757959; 39.0272583; -0.1088415; -0.0000055; 26.6987659; 1.7208839
