# d0951efe-13ff-48f4-9ef6-a22716015638
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;5.128962999999999717e+00;-6.431496000000000102e+00;-2.376476232577141801e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.999529387819043880e+00;3.686698999999999948e+00;-7.816412000000000582e+00;-2.376431669176806150e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
3.999058384659049281e+00;2.244496999999999964e+00;-9.201392000000000237e+00;-2.376387091478410429e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
5.998588408416131834e+00;8.023560000000000692e-01;-1.058643700000000010e+01;-2.376341113815910955e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
7.998117992155767908e+00;-6.397209999999999841e-01;-1.197154800000000030e+01;-2.376294775460343622e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
9.997647832856577210e+00;-2.081733999999999973e+00;-1.335672600000000187e+01;-2.376246676380583622e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.199717715695387454e+01;-3.523680000000000145e+00;-1.474197299999999977e+01;-2.376198923768197080e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.399670669018312985e+01;-4.965559999999999974e+00;-1.612728900000000110e+01;-2.376148703259012507e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.599623563137002868e+01;-6.407370000000000232e+00;-1.751267700000000005e+01;-2.376098108038911416e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.799576609238456371e+01;-7.849110999999999727e+00;-1.889813900000000046e+01;-2.376046833843115991e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.999529522240142754e+01;-9.290779999999999816e+00;-2.028367400000000131e+01;-2.375994131306068180e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
2.199482438461362221e+01;-1.073237599999999858e+01;-2.166928500000000213e+01;-2.375940361085363772e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
2.399435424965815500e+01;-1.217389800000000122e+01;-2.305497400000000141e+01;-2.375885537162122141e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
2.599388407457700367e+01;-1.361534400000000034e+01;-2.444074200000000019e+01;-2.375829298963380687e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
2.799341380984602523e+01;-1.505671200000000098e+01;-2.582659100000000052e+01;-2.375772714114122497e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
2.999294274097480439e+01;-1.649800099999999858e+01;-2.721252100000000240e+01;-2.375713993998036955e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
3.199247220549614923e+01;-1.793920900000000174e+01;-2.859853600000000284e+01;-2.375654927225430146e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
3.399200148957177703e+01;-1.938033499999999876e+01;-2.998463600000000184e+01;-2.375594085731844274e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
3.599153123856477521e+01;-2.082137700000000180e+01;-3.137082400000000248e+01;-2.375532190393852883e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
3.799106071188218436e+01;-2.226233300000000170e+01;-3.275710099999999869e+01;-2.375468880755231993e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
3.999058986266943805e+01;-2.370320099999999996e+01;-3.414346899999999607e+01;-2.375404850367399678e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
4.199012008572709931e+01;-2.514398100000000369e+01;-3.552993000000000023e+01;-2.375338365356913783e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
4.398964917356377669e+01;-2.658466799999999708e+01;-3.691648599999999902e+01;-2.375271506460943538e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
4.598917924246347155e+01;-2.802526299999999893e+01;-3.830313900000000160e+01;-2.375203246784765021e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
4.798870883364260465e+01;-2.946576299999999904e+01;-3.968988999999999834e+01;-2.375133572783368674e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
4.998823790285115365e+01;-3.090616600000000247e+01;-4.107674099999999839e+01;-2.375061763959540162e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
