# d0951efe-13ff-48f4-9ef6-a22716015638
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;-2.377450801370619260e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
4.337740964213494976e+00;-3.131746565710451513e+00;-3.001359711993318413e+00;-2.377328222034646998e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
8.675478630721388029e+00;-6.263122822627105180e+00;-6.003101006818704732e+00;-2.377199140914614706e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
1.301321247214486654e+01;-9.394108824374558964e+00;-9.005243830851561881e+00;-2.377063257565196874e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
1.735094562499337911e+01;-1.252468635904500971e+01;-1.200781159940197185e+01;-2.376920722405446273e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
2.168867941122772081e+01;-1.565483634749676867e+01;-1.501082599331259360e+01;-2.376771673997823076e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
2.602641579086132140e+01;-1.878454057782185771e+01;-1.801430869342625485e+01;-2.376615962552515615e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
3.036415856331553442e+01;-2.191378170534635572e+01;-2.101828311505304114e+01;-2.376453611415693334e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
3.470190663670485520e+01;-2.504253891646115093e+01;-2.402276920456817422e+01;-2.376284597766022522e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
3.903966383799679818e+01;-2.817079486649180708e+01;-2.702779037728192080e+01;-2.376108933349455832e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
4.337743155639228121e+01;-3.129853047629715235e+01;-3.003336831403710505e+01;-2.375926895482434631e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
4.771521244670974227e+01;-3.442572840120257638e+01;-3.303952469567637706e+01;-2.375737642029826180e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
5.205300788074439566e+01;-3.755236782759930492e+01;-3.604628293750983659e+01;-2.375542442575147462e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
5.639081996794725171e+01;-4.067843227804679884e+01;-3.905366298591269469e+01;-2.375340022687564279e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
6.072865134032750234e+01;-4.380390180616981155e+01;-4.206168912342893407e+01;-2.375131518907311889e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
6.506650351557550493e+01;-4.692875906729409508e+01;-4.507038129643412105e+01;-2.374915939499828266e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
