# 43084298-f8ff-4182-9135-602571ebc692
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.4008147; -5.6299669; 2.3365338; -0.0000155; 34.9999931; 0.0000433
1.9996004; 3.9593395; -7.0158053; 2.3365040; -0.0000144; 34.9999956; 0.0000216
3.9992007; 2.5178247; -8.4016022; 2.3364767; -0.0000125; 34.9999968; 0.0000000
5.9988011; 1.0762735; -9.7873650; 2.3364543; -0.0000099; 34.9999968; -0.0000000
7.9984015; -0.3653023; -11.1730977; 2.3364384; -0.0000060; 34.9999968; -0.0000000
9.9980019; -1.8068957; -12.5588140; 2.3364306; -0.0000015; 34.9999968; 0.0000000
11.9976022; -3.2484943; -13.9445272; 2.3364327; 0.0000036; 34.9999968; 0.0000000
13.9972026; -4.6900801; -15.3302493; 2.3364464; 0.0000100; 34.9999968; 0.0000000
15.9968030; -6.1316391; -16.7160015; 2.3364731; 0.0000170; 34.9999968; 0.0000000
17.9964033; -7.5731520; -18.1018040; 2.3365147; 0.0000246; 34.9999968; 0.0000000
19.9960037; -9.0145940; -19.4876756; 2.3365725; 0.0000332; 34.9999968; 0.0000000
21.9956041; -10.4559452; -20.8736439; 2.3366475; 0.0000421; 34.9999968; 0.0000000
23.9952044; -11.8971809; -22.2597348; 2.3367410; 0.0000514; 34.9999968; 0.0000000
25.9948048; -13.3382715; -23.6459718; 2.3368536; 0.0000612; 34.9999968; 0.0000000
27.9944052; -14.7791937; -25.0323861; 2.3369856; 0.0000709; 34.9999968; 0.0000000
29.9940056; -16.2199206; -26.4190058; 2.3371371; 0.0000806; 34.9999968; 0.0000000
31.9936059; -17.6604217; -27.8058553; 2.3373076; 0.0000899; 34.9999968; -0.0000000
33.9932063; -19.1006746; -29.1929648; 2.3374965; 0.0000987; 34.9999968; -0.0000000
35.9928067; -20.5406551; -30.5803599; 2.3377023; 0.0001071; 34.9999968; -0.0000000
37.9924070; -21.9803365; -31.9680600; 2.3379233; 0.0001140; 34.9999968; -0.0000000
39.9920074; -23.4197030; -33.3560894; 2.3381576; 0.0001200; 34.9999968; -0.0000000
41.9916078; -24.8587380; -34.7444652; 2.3384025; 0.0001250; 34.9999968; 0.0000000
43.9912081; -26.2974242; -36.1331970; 2.3386554; 0.0001279; 34.9999968; 0.0000000
45.9908085; -27.7357567; -37.5222978; 2.3389134; 0.0001296; 34.9999968; 0.0000000
47.9904089; -29.1737307; -38.9117726; 2.3391732; 0.0001302; 34.9999968; 0.0000000
49.9900093; -30.6113412; -40.3016178; 2.3394316; 0.0001284; 34.9999968; 0.0000000
51.9896096; -32.0485964; -41.6918332; 2.3396860; 0.0001255; 34.9999968; 0.0000000
53.9892100; -33.4855044; -43.0824105; 2.3399330; 0.0001215; 34.9999968; 0.0000000
55.9888104; -34.9220723; -44.4733333; 2.3401701; 0.0001156; 34.9999968; 0.0000000
57.9884107; -36.3583200; -45.8645895; 2.3403951; 0.0001089; 34.9999968; 0.0000000
59.9880111; -37.7942663; -47.2561599; 2.3406054; 0.0001014; 34.9999968; 0.0000000
61.9876115; -39.2299281; -48.6480179; 2.3407993; 0.0000926; 34.9999968; 0.0000000
63.9872118; -40.6653337; -50.0401430; 2.3409753; 0.0000832; 34.9999968; 0.0000000
65.9868122; -42.1005091; -51.4325085; 2.3411320; 0.0000734; 34.9999968; 0.0000000
67.9864126; -43.5354775; -52.8250813; 2.3412682; 0.0000628; 34.9999968; 0.0000000
69.9860130; -44.9702724; -54.2178359; 2.3413831; 0.0000520; 34.9999968; 0.0000000
71.9856133; -46.4049241; -55.6107409; 2.3414759; 0.0000408; 34.9999968; 0.0000000
73.9852137; -47.8394593; -57.0037600; 2.3415460; 0.0000294; 34.9999968; 0.0000000
