# 75ed36f0-f406-4240-a1bb-96537f76ed21
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 2.2594636; -1.0499268; 1.2699400; 0.0000000; 34.9999931; 0.0000433
1.9989764; 0.3502748; -0.4575536; 1.2699400; -0.0000000; 34.9999956; 0.0000217
3.9979527; -1.5589137; 0.1348195; 1.2699399; -0.0000000; 34.9999968; 0.0000000
5.9969291; -3.4681017; 0.7271927; 1.2699398; -0.0000000; 34.9999968; -0.0000000
7.9959054; -5.3772904; 1.3195662; 1.2699398; -0.0000000; 34.9999968; -0.0000000
9.9948818; -7.2864788; 1.9119396; 1.2699398; 0.0000000; 34.9999968; -0.0000000
11.9938581; -9.1956668; 2.5043128; 1.2699399; 0.0000001; 34.9999968; -0.0000000
13.9928345; -11.1048556; 3.0966861; 1.2699400; 0.0000001; 34.9999968; -0.0000000
15.9918108; -13.0140441; 3.6890589; 1.2699402; 0.0000001; 34.9999968; -0.0000000
17.9907872; -14.9232325; 4.2814311; 1.2699405; 0.0000002; 34.9999968; -0.0000000
19.9897635; -16.8324217; 4.8738030; 1.2699408; 0.0000002; 34.9999968; -0.0000000
21.9887399; -18.7416108; 5.4661741; 1.2699412; 0.0000002; 34.9999968; -0.0000000
23.9877162; -20.6507998; 6.0585442; 1.2699417; 0.0000002; 34.9999968; -0.0000000
25.9866926; -22.5599897; 6.6509136; 1.2699422; 0.0000003; 34.9999968; -0.0000000
27.9856689; -24.4691797; 7.2432819; 1.2699428; 0.0000003; 34.9999968; -0.0000000
29.9846453; -26.3783697; 7.8356490; 1.2699434; 0.0000003; 34.9999968; -0.0000000
31.9836216; -28.2875606; 8.4280151; 1.2699440; 0.0000003; 34.9999968; -0.0000000
33.9825980; -30.1967517; 9.0203799; 1.2699446; 0.0000003; 34.9999968; -0.0000000
35.9815743; -32.1059427; 9.6127434; 1.2699452; 0.0000003; 34.9999968; -0.0000000
