# fde20c9f-097c-40ea-b0d0-9ad9a005c784
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -6.1266541; -1.3456908; -0.0438203; 0.0000009; 34.9999931; 0.0000433
1.9998428; -6.0390498; 0.6522327; -0.0438189; 0.0000005; 34.9999956; 0.0000216
3.9996856; -5.9514478; 2.6501553; -0.0438181; 0.0000003; 34.9999968; 0.0000000
5.9995283; -5.8638471; 4.6480787; -0.0438175; 0.0000003; 34.9999968; -0.0000000
7.9993711; -5.7762477; 6.6460020; -0.0438169; 0.0000003; 34.9999968; -0.0000000
9.9992139; -5.6886495; 8.6439253; -0.0438163; 0.0000003; 34.9999968; 0.0000000
11.9990567; -5.6010525; 10.6418487; -0.0438157; 0.0000003; 34.9999968; 0.0000000
13.9988995; -5.5134566; 12.6397721; -0.0438151; 0.0000003; 34.9999968; 0.0000000
15.9987423; -5.4258620; 14.6376956; -0.0438145; 0.0000003; 34.9999968; 0.0000000
17.9985850; -5.3382685; 16.6356192; -0.0438139; 0.0000003; 34.9999968; 0.0000000
19.9984278; -5.2506762; 18.6335428; -0.0438133; 0.0000003; 34.9999968; 0.0000000
21.9982706; -5.1630851; 20.6314664; -0.0438127; 0.0000003; 34.9999968; 0.0000000
23.9981134; -5.0754951; 22.6293902; -0.0438121; 0.0000003; 34.9999968; 0.0000000
25.9979562; -4.9879063; 24.6273139; -0.0438116; 0.0000003; 34.9999968; 0.0000000
27.9977989; -4.9003187; 26.6252377; -0.0438110; 0.0000003; 34.9999968; 0.0000000
29.9976417; -4.8127322; 28.6231616; -0.0438104; 0.0000003; 34.9999968; 0.0000000
31.9974845; -4.7251469; 30.6210855; -0.0438098; 0.0000003; 34.9999968; 0.0000000
33.9973273; -4.6375627; 32.6190094; -0.0438093; 0.0000003; 34.9999968; 0.0000000
35.9971701; -4.5499797; 34.6169335; -0.0438087; 0.0000003; 34.9999968; 0.0000000
37.9970128; -4.4623978; 36.6148575; -0.0438081; 0.0000003; 34.9999968; 0.0000000
39.9968556; -4.3748171; 38.6127816; -0.0438075; 0.0000003; 34.9999968; 0.0000000
41.9966984; -4.2872375; 40.6107059; -0.0438069; 0.0000003; 34.9999968; 0.0000000
43.9965412; -4.1996591; 42.6086300; -0.0438064; 0.0000003; 34.9999968; 0.0000000
45.9963840; -4.1120818; 44.6065542; -0.0438058; 0.0000003; 34.9999968; 0.0000000
47.9962268; -4.0245057; 46.6044787; -0.0438052; 0.0000003; 34.9999968; 0.0000000
49.9960695; -3.9369308; 48.6024029; -0.0438046; 0.0000003; 34.9999968; 0.0000000
51.9959123; -3.8493570; 50.6003273; -0.0438040; 0.0000003; 34.9999968; 0.0000000
53.9957551; -3.7617844; 52.5982519; -0.0438035; 0.0000003; 34.9999968; 0.0000000
55.9955979; -3.6742130; 54.5961763; -0.0438029; 0.0000003; 34.9999968; 0.0000000
57.9954407; -3.5866427; 56.5941009; -0.0438023; 0.0000003; 34.9999968; 0.0000000
59.9952834; -3.4990736; 58.5920256; -0.0438017; 0.0000003; 34.9999968; 0.0000000
61.9951262; -3.4115058; 60.5899502; -0.0438011; 0.0000003; 34.9999968; 0.0000000
63.9949690; -3.3239391; 62.5878749; -0.0438005; 0.0000003; 34.9999968; 0.0000000
65.9948118; -3.2363736; 64.5857998; -0.0437999; 0.0000003; 34.9999968; 0.0000000
67.9946546; -3.1488093; 66.5837245; -0.0437993; 0.0000003; 34.9999968; 0.0000000
69.9944974; -3.0612463; 68.5816494; -0.0437987; 0.0000003; 34.9999968; 0.0000000
71.9943401; -2.9736844; 70.5795745; -0.0437981; 0.0000003; 34.9999968; 0.0000000
73.9941829; -2.8861238; 72.5774993; -0.0437974; 0.0000003; 34.9999968; 0.0000000
75.9940257; -2.7985644; 74.5754243; -0.0437968; 0.0000003; 34.9999968; 0.0000000
77.9938685; -2.7110062; 76.5733496; -0.0437962; 0.0000003; 34.9999968; 0.0000000
79.9937113; -2.6234493; 78.5712746; -0.0437956; 0.0000003; 34.9999968; 0.0000000
81.9935540; -2.5358936; 80.5691998; -0.0437950; 0.0000003; 34.9999968; 0.0000000
83.9933968; -2.4483391; 82.5671253; -0.0437944; 0.0000003; 34.9999968; 0.0000000
85.9932396; -2.3607860; 84.5650504; -0.0437937; 0.0000003; 34.9999968; 0.0000000
87.9930824; -2.2732340; 86.5629757; -0.0437931; 0.0000003; 34.9999968; 0.0000000
89.9929252; -2.1856833; 88.5609014; -0.0437925; 0.0000003; 34.9999968; 0.0000000
91.9927679; -2.0981339; 90.5588266; -0.0437918; 0.0000003; 34.9999968; 0.0000000
93.9926107; -2.0105857; 92.5567522; -0.0437912; 0.0000003; 34.9999968; 0.0000000
95.9924535; -1.9230388; 94.5546780; -0.0437906; 0.0000003; 34.9999968; 0.0000000
97.9922963; -1.8354932; 96.5526034; -0.0437899; 0.0000003; 34.9999968; 0.0000000
99.9921391; -1.7479488; 98.5505291; -0.0437893; 0.0000003; 34.9999968; 0.0000000
101.9919819; -1.6604057; 100.5484552; -0.0437887; 0.0000003; 34.9999968; 0.0000000
103.9918246; -1.5728640; 102.5463807; -0.0437880; 0.0000003; 34.9999968; 0.0000000
105.9916674; -1.4853234; 104.5443066; -0.0437874; 0.0000003; 34.9999968; 0.0000000
107.9915102; -1.3977842; 106.5422328; -0.0437867; 0.0000003; 34.9999968; 0.0000000
109.9913530; -1.3102462; 108.5401585; -0.0437861; 0.0000003; 34.9999968; 0.0000000
111.9911958; -1.2227096; 110.5380845; -0.0437854; 0.0000003; 34.9999968; 0.0000000
113.9910385; -1.1351742; 112.5360109; -0.0437848; 0.0000003; 34.9999968; 0.0000000
115.9908813; -1.0476401; 114.5339368; -0.0437841; 0.0000003; 34.9999968; 0.0000000
117.9907241; -0.9601073; 116.5318630; -0.0437835; 0.0000003; 34.9999968; 0.0000000
119.9905669; -0.8725759; 118.5297896; -0.0437828; 0.0000003; 34.9999968; 0.0000000
121.9904097; -0.7850457; 120.5277156; -0.0437822; 0.0000003; 34.9999968; 0.0000000
123.9902524; -0.6975168; 122.5256419; -0.0437815; 0.0000003; 34.9999968; 0.0000000
125.9900952; -0.6099893; 124.5235687; -0.0437809; 0.0000003; 34.9999968; 0.0000000
127.9899380; -0.5224631; 126.5214949; -0.0437802; 0.0000003; 34.9999968; 0.0000000
129.9897808; -0.4349381; 128.5194214; -0.0437796; 0.0000003; 34.9999968; 0.0000000
131.9896236; -0.3474145; 130.5173484; -0.0437789; 0.0000003; 34.9999968; 0.0000000
133.9894664; -0.2598923; 132.5152747; -0.0437782; 0.0000003; 34.9999968; 0.0000000
135.9893091; -0.1723713; 134.5132015; -0.0437776; 0.0000003; 34.9999968; 0.0000000
137.9891519; -0.0848517; 136.5111286; -0.0437769; 0.0000003; 34.9999968; 0.0000000
139.9889947; 0.0026666; 138.5090551; -0.0437762; 0.0000003; 34.9999968; 0.0000000
141.9888375; 0.0901835; 140.5069820; -0.0437756; 0.0000003; 34.9999968; 0.0000000
143.9886803; 0.1776991; 142.5049093; -0.0437749; 0.0000003; 34.9999968; 0.0000000
145.9885230; 0.2652134; 144.5028360; -0.0437742; 0.0000003; 34.9999968; 0.0000000
147.9883658; 0.3527263; 146.5007631; -0.0437735; 0.0000003; 34.9999968; 0.0000000
