# x_m,y_m,w_tr_right_m,w_tr_left_m
# to
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;-8.157367000000000701e+00;-1.041683000000000137e+00;-1.324189834033993263e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.999639270050975526e+00;-7.669226000000000099e+00;-2.980825999999999532e+00;-1.323375595882912981e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
3.999263178078682923e+00;-7.179510000000000502e+00;-4.919556000000000040e+00;-1.322580175684141546e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
5.998891360370830483e+00;-6.688250999999999280e+00;-6.857899999999999885e+00;-1.321802462233031106e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
7.998522271710470477e+00;-6.195484000000000435e+00;-8.795863999999999905e+00;-1.321044114702516703e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
9.998138988500217650e+00;-5.701251000000000957e+00;-1.073344000000000165e+01;-1.320303075670725690e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.199777715256290378e+01;-5.205576999999999899e+00;-1.267066999999999943e+01;-1.319580618275389750e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.399740149154860447e+01;-4.708506999999999998e+00;-1.460752800000000029e+01;-1.318876765646519678e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.599702928328310492e+01;-4.210072999999999510e+00;-1.654403899999999794e+01;-1.318189770006721107e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.799666004831599153e+01;-3.710307999999999939e+00;-1.848020999999999958e+01;-1.317519203159168928e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
1.999627796455123985e+01;-3.209248000000000101e+00;-2.041603299999999876e+01;-1.316865019424122041e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
2.199591468324041443e+01;-2.706916999999999796e+00;-2.235154599999999903e+01;-1.316226952473434464e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
2.399553994756620767e+01;-2.203354000000000035e+00;-2.428672699999999907e+01;-1.315604468587989739e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
2.599516710806013364e+01;-1.698585999999999929e+00;-2.622159599999999813e+01;-1.314998607166498745e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
2.799479754987607549e+01;-1.192644999999999955e+00;-2.815616200000000191e+01;-1.314408791297023260e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
2.999441635999389177e+01;-6.855659999999998977e-01;-3.009041799999999967e+01;-1.313835152512937476e+00;0.000000000000000000e+00;8.000000000000000000e+00;0.000000000000000000e+00
