# 387e154c-ae1a-41b0-a7f4-940bba4acd90
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.2855707; -0.4592193; -2.9098439; -0.0000353; 34.9999931; 0.0000432
1.9997802; 0.1736911; -2.4055822; -2.9098932; -0.0000140; 34.9999956; 0.0000216
3.9995604; 0.6328884; -4.3519223; -2.9099045; -0.0000017; 34.9999968; 0.0000000
5.9993406; 1.0920722; -6.2982422; -2.9099047; 0.0000016; 34.9999968; -0.0000000
7.9991208; 1.5512709; -8.2446070; -2.9099013; 0.0000018; 34.9999968; -0.0000000
9.9989010; 2.0104710; -10.1909462; -2.9098974; 0.0000020; 34.9999968; -0.0000000
11.9986811; 2.4696768; -12.1372740; -2.9098932; 0.0000022; 34.9999968; -0.0000000
13.9984613; 2.9288966; -14.0836233; -2.9098887; 0.0000023; 34.9999968; -0.0000000
15.9982415; 3.3881224; -16.0299577; -2.9098841; 0.0000023; 34.9999968; -0.0000000
17.9980217; 3.8473566; -17.9762881; -2.9098795; 0.0000022; 34.9999968; -0.0000000
19.9978019; 4.3066010; -19.9226236; -2.9098753; 0.0000020; 34.9999968; -0.0000000
21.9975821; 4.7658521; -21.8689529; -2.9098717; 0.0000016; 34.9999968; 0.0000000
23.9973623; 5.2251104; -23.8152847; -2.9098689; 0.0000012; 34.9999968; 0.0000000
25.9971425; 5.6843719; -25.7616098; -2.9098672; 0.0000005; 34.9999968; 0.0000000
27.9969227; 6.1436359; -27.7079364; -2.9098668; -0.0000002; 34.9999968; 0.0000000
29.9967029; 6.6029013; -29.6542726; -2.9098681; -0.0000011; 34.9999968; 0.0000000
31.9964831; 7.0621582; -31.6005927; -2.9098713; -0.0000021; 34.9999968; 0.0000000
33.9962632; 7.5214086; -33.5469223; -2.9098767; -0.0000033; 34.9999968; 0.0000000
35.9960434; 7.9806500; -35.4932704; -2.9098844; -0.0000045; 34.9999968; 0.0000000
37.9958236; 8.4398670; -37.4395931; -2.9098946; -0.0000057; 34.9999968; 0.0000000
39.9956038; 8.8990649; -39.3859344; -2.9099073; -0.0000070; 34.9999968; 0.0000000
41.9953840; 9.3582408; -41.3323054; -2.9099227; -0.0000083; 34.9999968; 0.0000000
43.9951642; 9.8173737; -43.2786392; -2.9099406; -0.0000096; 34.9999968; 0.0000000
45.9949444; 10.2764744; -45.2250023; -2.9099609; -0.0000107; 34.9999968; 0.0000000
47.9947246; 10.7355413; -47.1714087; -2.9099833; -0.0000117; 34.9999968; 0.0000000
49.9945048; 11.1945475; -49.1177606; -2.9100074; -0.0000124; 34.9999968; 0.0000000
51.9942850; 11.6535125; -51.0641542; -2.9100329; -0.0000129; 34.9999968; 0.0000000
53.9940652; 12.1124385; -53.0106070; -2.9100589; -0.0000131; 34.9999968; 0.0000000
