# 28ce8a1c-236f-4463-9afd-61fc13209887
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.9994197; -0.8182712; 1.6725180; 0.0000001; 34.9999931; 0.0000433
1.9997151; -0.9899577; -1.0213350; 1.6725182; 0.0000001; 34.9999956; 0.0000216
3.9994303; -2.9793359; -1.2243993; 1.6725183; 0.0000000; 34.9999968; 0.0000000
5.9991454; -4.9687148; -1.4274637; 1.6725184; 0.0000000; 34.9999968; -0.0000000
7.9988606; -6.9580922; -1.6305282; 1.6725184; 0.0000000; 34.9999968; -0.0000000
9.9985757; -8.9474704; -1.8335929; 1.6725185; 0.0000000; 34.9999968; 0.0000000
11.9982908; -10.9368493; -2.0366577; 1.6725185; 0.0000000; 34.9999968; 0.0000000
13.9980060; -12.9262267; -2.2397224; 1.6725185; 0.0000000; 34.9999968; 0.0000000
15.9977211; -14.9156048; -2.4427872; 1.6725185; 0.0000000; 34.9999968; 0.0000000
17.9974363; -16.9049836; -2.6458521; 1.6725185; -0.0000000; 34.9999968; 0.0000000
19.9971514; -18.8943610; -2.8489169; 1.6725185; -0.0000000; 34.9999968; 0.0000000
21.9968665; -20.8837392; -3.0519817; 1.6725185; -0.0000000; 34.9999968; 0.0000000
23.9965817; -22.8731180; -3.2550465; 1.6725185; -0.0000000; 34.9999968; 0.0000000
25.9962968; -24.8624955; -3.4581110; 1.6725184; -0.0000000; 34.9999968; 0.0000000
27.9960119; -26.8518736; -3.6611756; 1.6725184; -0.0000000; 34.9999968; 0.0000000
29.9957271; -28.8412525; -3.8642402; 1.6725184; -0.0000000; 34.9999968; 0.0000000
31.9954422; -30.8306300; -4.0673046; 1.6725183; -0.0000000; 34.9999968; 0.0000000
33.9951574; -32.8200081; -4.2703689; 1.6725183; -0.0000000; 34.9999968; 0.0000000
35.9948725; -34.8093870; -4.4734332; 1.6725182; -0.0000000; 34.9999968; 0.0000000
37.9945876; -36.7987645; -4.6764972; 1.6725182; -0.0000000; 34.9999968; 0.0000000
39.9943028; -38.7881427; -4.8795613; 1.6725181; -0.0000000; 34.9999968; 0.0000000
41.9940179; -40.7775216; -5.0826253; 1.6725181; -0.0000000; 34.9999968; 0.0000000
43.9937331; -42.7668992; -5.2856891; 1.6725180; -0.0000000; 34.9999968; 0.0000000
45.9934482; -44.7562774; -5.4887529; 1.6725180; -0.0000000; 34.9999968; 0.0000000
47.9931633; -46.7456563; -5.6918167; 1.6725180; -0.0000000; 34.9999968; 0.0000000
49.9928785; -48.7350339; -5.8948803; 1.6725179; -0.0000000; 34.9999968; 0.0000000
51.9925936; -50.7244122; -6.0979439; 1.6725179; -0.0000000; 34.9999968; 0.0000000
53.9923088; -52.7137910; -6.3010076; 1.6725179; -0.0000000; 34.9999968; 0.0000000
55.9920239; -54.7031687; -6.5040710; 1.6725179; -0.0000000; 34.9999968; 0.0000000
57.9917390; -56.6925469; -6.7071345; 1.6725179; -0.0000000; 34.9999968; 0.0000000
59.9914542; -58.6819258; -6.9101981; 1.6725178; -0.0000000; 34.9999968; 0.0000000
61.9911693; -60.6713035; -7.1132614; 1.6725178; -0.0000000; 34.9999968; 0.0000000
63.9908845; -62.6606818; -7.3163249; 1.6725178; -0.0000000; 34.9999968; 0.0000000
65.9905996; -64.6500606; -7.5193883; 1.6725178; -0.0000000; 34.9999968; 0.0000000
67.9903147; -66.6394383; -7.7224517; 1.6725178; -0.0000000; 34.9999968; 0.0000000
69.9900299; -68.6288166; -7.9255150; 1.6725178; -0.0000000; 34.9999968; 0.0000000
71.9897450; -70.6181954; -8.1285785; 1.6725178; -0.0000000; 34.9999968; 0.0000000
73.9894601; -72.6075731; -8.3316418; 1.6725178; -0.0000000; 34.9999968; 0.0000000
75.9891753; -74.5969514; -8.5347052; 1.6725178; -0.0000000; 34.9999968; 0.0000000
77.9888904; -76.5863302; -8.7377686; 1.6725178; -0.0000000; 34.9999968; 0.0000000
79.9886056; -78.5757080; -8.9408319; 1.6725178; -0.0000000; 34.9999968; 0.0000000
81.9883207; -80.5650863; -9.1438953; 1.6725178; -0.0000000; 34.9999968; 0.0000000
83.9880358; -82.5544650; -9.3469587; 1.6725178; -0.0000000; 34.9999968; 0.0000000
85.9877510; -84.5438428; -9.5500220; 1.6725178; -0.0000000; 34.9999968; 0.0000000
87.9874661; -86.5332211; -9.7530854; 1.6725178; -0.0000000; 34.9999968; 0.0000000
89.9871813; -88.5225998; -9.9561488; 1.6725178; -0.0000000; 34.9999968; 0.0000000
91.9868964; -90.5119777; -10.1592120; 1.6725178; -0.0000000; 34.9999968; 0.0000000
93.9866115; -92.5013559; -10.3622754; 1.6725178; -0.0000000; 34.9999968; 0.0000000
95.9863267; -94.4907347; -10.5653388; 1.6725178; -0.0000000; 34.9999968; 0.0000000
97.9860418; -96.4801125; -10.7684020; 1.6725178; -0.0000000; 34.9999968; 0.0000000
99.9857570; -98.4694908; -10.9714653; 1.6725178; -0.0000000; 34.9999968; 0.0000000
101.9854721; -100.4588695; -11.1745287; 1.6725178; -0.0000000; 34.9999968; 0.0000000
103.9851872; -102.4482474; -11.3775919; 1.6725178; -0.0000000; 34.9999968; 0.0000000
105.9849024; -104.4376257; -11.5806552; 1.6725178; -0.0000000; 34.9999968; 0.0000000
107.9846175; -106.4270043; -11.7837186; 1.6725178; -0.0000000; 34.9999968; 0.0000000
109.9843327; -108.4163822; -11.9867818; 1.6725178; -0.0000000; 34.9999968; 0.0000000
111.9840478; -110.4057605; -12.1898451; 1.6725178; -0.0000000; 34.9999968; 0.0000000
113.9837629; -112.3951392; -12.3929084; 1.6725178; 0.0000000; 34.9999968; 0.0000000
115.9834781; -114.3845171; -12.5959716; 1.6725178; 0.0000000; 34.9999968; 0.0000000
117.9831932; -116.3738954; -12.7990349; 1.6725178; 0.0000000; 34.9999968; 0.0000000
119.9829083; -118.3632740; -13.0020982; 1.6725178; 0.0000000; 34.9999968; 0.0000000
121.9826235; -120.3526520; -13.2051615; 1.6725178; 0.0000000; 34.9999968; 0.0000000
123.9823386; -122.3420303; -13.4082248; 1.6725178; 0.0000000; 34.9999968; 0.0000000
125.9820538; -124.3314088; -13.6112881; 1.6725178; 0.0000000; 34.9999968; 0.0000000
127.9817689; -126.3207868; -13.8143514; 1.6725178; 0.0000000; 34.9999968; 0.0000000
129.9814840; -128.3101651; -14.0174147; 1.6725178; 0.0000000; 34.9999968; 0.0000000
131.9811992; -130.2995437; -14.2204781; 1.6725178; 0.0000000; 34.9999968; 0.0000000
133.9809143; -132.2889217; -14.4235414; 1.6725178; 0.0000000; 34.9999968; 0.0000000
135.9806295; -134.2783000; -14.6266048; 1.6725178; 0.0000000; 34.9999968; 0.0000000
137.9803446; -136.2676785; -14.8296682; 1.6725178; 0.0000000; 34.9999968; 0.0000000
139.9800597; -138.2570565; -15.0327315; 1.6725178; 0.0000000; 34.9999968; 0.0000000
141.9797749; -140.2464348; -15.2357949; 1.6725178; 0.0000000; 34.9999968; 0.0000000
143.9794900; -142.2358133; -15.4388583; 1.6725178; -0.0000000; 34.9999968; 0.0000000
145.9792052; -144.2251913; -15.6419217; 1.6725178; -0.0000000; 34.9999968; 0.0000000
147.9789203; -146.2145696; -15.8449851; 1.6725178; -0.0000000; 34.9999968; 0.0000000
149.9786354; -148.2039481; -16.0480484; 1.6725178; -0.0000000; 34.9999968; 0.0000000
151.9783506; -150.1933262; -16.2511118; 1.6725178; -0.0000000; 34.9999968; 0.0000000
153.9780657; -152.1827045; -16.4541751; 1.6725178; -0.0000000; 34.9999968; 0.0000000
155.9777809; -154.1720829; -16.6572384; 1.6725178; -0.0000000; 34.9999968; 0.0000000
157.9774960; -156.1614610; -16.8603017; 1.6725178; -0.0000000; 34.9999968; 0.0000000
159.9772111; -158.1508393; -17.0633649; 1.6725177; -0.0000000; 34.9999968; 0.0000000
161.9769263; -160.1402178; -17.2664282; 1.6725177; -0.0000000; 34.9999968; 0.0000000
163.9766414; -162.1295959; -17.4694913; 1.6725177; -0.0000000; 34.9999968; 0.0000000
165.9763566; -164.1189742; -17.6725544; 1.6725177; -0.0000000; 34.9999968; 0.0000000
167.9760717; -166.1083527; -17.8756175; 1.6725176; -0.0000000; 34.9999968; 0.0000000
169.9757868; -168.0977309; -18.0786805; 1.6725176; -0.0000000; 34.9999968; 0.0000000
171.9755020; -170.0871092; -18.2817435; 1.6725176; -0.0000000; 34.9999968; 0.0000000
173.9752171; -172.0764876; -18.4848064; 1.6725176; -0.0000000; 34.9999968; 0.0000000
175.9749322; -174.0658658; -18.6878693; 1.6725176; -0.0000000; 34.9999968; 0.0000000
177.9746474; -176.0552442; -18.8909321; 1.6725175; -0.0000000; 34.9999968; 0.0000000
179.9743625; -178.0446226; -19.0939950; 1.6725175; -0.0000000; 34.9999968; 0.0000000
181.9740777; -180.0340008; -19.2970578; 1.6725175; 0.0000000; 34.9999968; 0.0000000
183.9737928; -182.0233792; -19.5001206; 1.6725175; 0.0000000; 34.9999968; 0.0000000
185.9735079; -184.0127576; -19.7031835; 1.6725176; 0.0000000; 34.9999968; 0.0000000
187.9732231; -186.0021358; -19.9062464; 1.6725176; 0.0000000; 34.9999968; -0.0000000
189.9729382; -187.9915142; -20.1093093; 1.6725176; 0.0000000; 34.9999968; -0.0000000
191.9726534; -189.9808925; -20.3123724; 1.6725177; 0.0000000; 34.9999968; -0.0000000
193.9723685; -191.9702708; -20.5154355; 1.6725177; 0.0000000; 34.9999968; -0.0000000
195.9720836; -193.9596491; -20.7184988; 1.6725178; 0.0000000; 34.9999968; -0.0000000
197.9717988; -195.9490273; -20.9215623; 1.6725179; 0.0000000; 34.9999968; -0.0000000
199.9715139; -197.9384056; -21.1246259; 1.6725180; 0.0000001; 34.9999968; -0.0000000
201.9712291; -199.9277838; -21.3276898; 1.6725181; 0.0000001; 34.9999968; -0.0000000
203.9709442; -201.9171620; -21.5307538; 1.6725182; 0.0000001; 34.9999968; -0.0000000
205.9706593; -203.9065402; -21.7338181; 1.6725183; 0.0000001; 34.9999968; -0.0000000
207.9703745; -205.8959184; -21.9368827; 1.6725185; 0.0000001; 34.9999968; -0.0000000
209.9700896; -207.8852965; -22.1399475; 1.6725186; 0.0000001; 34.9999968; -0.0000000
211.9698048; -209.8746746; -22.3430126; 1.6725187; 0.0000001; 34.9999968; -0.0000000
213.9695199; -211.8640527; -22.5460780; 1.6725189; 0.0000001; 34.9999968; -0.0000000
215.9692350; -213.8534307; -22.7491436; 1.6725190; 0.0000001; 34.9999968; -0.0000000
217.9689502; -215.8428088; -22.9522094; 1.6725191; 0.0000000; 34.9999968; -0.0000000
219.9686653; -217.8321868; -23.1552755; 1.6725192; 0.0000000; 34.9999968; -0.0000000
221.9683804; -219.8215647; -23.3583416; 1.6725192; 0.0000000; 34.9999968; -0.0000000
223.9680956; -221.8109428; -23.5614079; 1.6725193; 0.0000000; 34.9999968; -0.0000000
225.9678107; -223.8003207; -23.7644742; 1.6725193; -0.0000000; 34.9999968; -0.0000000
227.9675259; -225.7896986; -23.9675404; 1.6725192; -0.0000000; 34.9999968; -0.0000000
229.9672410; -227.7790767; -24.1706065; 1.6725191; -0.0000001; 34.9999968; -0.0000000
231.9669561; -229.7684548; -24.3736724; 1.6725190; -0.0000001; 34.9999968; -0.0000000
233.9666713; -231.7578326; -24.5767380; 1.6725188; -0.0000001; 34.9999968; -0.0000000
235.9663864; -233.7472109; -24.7798032; 1.6725186; -0.0000001; 34.9999968; -0.0000000
237.9661016; -235.7365891; -24.9828678; 1.6725183; -0.0000002; 34.9999968; -0.0000000
239.9658167; -237.7259671; -25.1859319; 1.6725180; -0.0000002; 34.9999968; -0.0000000
241.9655318; -239.7153456; -25.3889952; 1.6725176; -0.0000002; 34.9999968; -0.0000000
243.9652470; -241.7047239; -25.5920577; 1.6725172; -0.0000002; 34.9999968; -0.0000000
245.9649621; -243.6941022; -25.7951194; 1.6725167; -0.0000002; 34.9999968; -0.0000000
247.9646773; -245.6834809; -25.9981801; 1.6725162; -0.0000002; 34.9999968; -0.0000000
249.9643924; -247.6728596; -26.2012398; 1.6725157; -0.0000003; 34.9999968; -0.0000000
251.9641075; -249.6622381; -26.4042985; 1.6725152; -0.0000003; 34.9999968; -0.0000000
253.9638227; -251.6516172; -26.6073563; 1.6725147; -0.0000002; 34.9999968; -0.0000000
255.9635378; -253.6409961; -26.8104131; 1.6725143; -0.0000002; 34.9999968; -0.0000000
257.9632530; -255.6303749; -27.0134690; 1.6725139; -0.0000002; 34.9999968; -0.0000000
259.9629681; -257.6197543; -27.2165242; 1.6725135; -0.0000001; 34.9999968; -0.0000000
261.9626832; -259.6091335; -27.4195788; 1.6725133; -0.0000001; 34.9999968; -0.0000000
263.9623984; -261.5985124; -27.6226330; 1.6725131; -0.0000000; 34.9999968; -0.0000000
265.9621135; -263.5878919; -27.8256871; 1.6725131; 0.0000000; 34.9999968; -0.0000000
267.9618286; -265.5772711; -28.0287413; 1.6725133; 0.0000001; 34.9999968; -0.0000000
269.9615438; -267.5666500; -28.2317960; 1.6725136; 0.0000002; 34.9999968; -0.0000000
271.9612589; -269.5560294; -28.4348516; 1.6725141; 0.0000003; 34.9999968; -0.0000000
273.9609741; -271.5454083; -28.6379083; 1.6725149; 0.0000004; 34.9999968; -0.0000000
275.9606892; -273.5347868; -28.8409667; 1.6725158; 0.0000005; 34.9999968; -0.0000000
277.9604043; -275.5241657; -29.0440272; 1.6725169; 0.0000006; 34.9999968; -0.0000000
279.9601195; -277.5135440; -29.2470901; 1.6725183; 0.0000007; 34.9999968; -0.0000000
281.9598346; -279.5029217; -29.4501559; 1.6725199; 0.0000008; 34.9999968; -0.0000000
283.9595498; -281.4922997; -29.6532252; 1.6725216; 0.0000009; 34.9999968; -0.0000000
285.9592649; -283.4816770; -29.8562980; 1.6725236; 0.0000010; 34.9999968; -0.0000000
287.9589800; -285.4710535; -30.0593749; 1.6725256; 0.0000011; 34.9999968; -0.0000000
289.9586952; -287.4604304; -30.2624559; 1.6725278; 0.0000011; 34.9999968; -0.0000000
291.9584103; -289.4498064; -30.4655413; 1.6725300; 0.0000011; 34.9999968; -0.0000000
293.9581255; -291.4391816; -30.6686311; 1.6725322; 0.0000011; 34.9999968; -0.0000000
295.9578406; -293.4285572; -30.8717251; 1.6725343; 0.0000010; 34.9999968; -0.0000000
297.9575557; -295.4179319; -31.0748232; 1.6725362; 0.0000009; 34.9999968; -0.0000000
299.9572709; -297.4073058; -31.2779249; 1.6725379; 0.0000008; 34.9999968; -0.0000000
301.9569860; -299.3966803; -31.4810297; 1.6725393; 0.0000006; 34.9999968; -0.0000000
303.9567012; -301.3860541; -31.6841368; 1.6725402; 0.0000004; 34.9999968; -0.0000000
305.9564163; -303.3754274; -31.8872453; 1.6725407; 0.0000001; 34.9999968; -0.0000000
307.9561314; -305.3648015; -32.0903541; 1.6725405; -0.0000002; 34.9999968; -0.0000000
309.9558466; -307.3541752; -32.2934620; 1.6725397; -0.0000006; 34.9999968; -0.0000000
311.9555617; -309.3435487; -32.4965675; 1.6725381; -0.0000010; 34.9999968; -0.0000000
313.9552768; -311.3329236; -32.6996690; 1.6725357; -0.0000014; 34.9999968; -0.0000000
315.9549920; -313.3222985; -32.9027650; 1.6725325; -0.0000019; 34.9999968; -0.0000000
317.9547071; -315.3116737; -33.1058534; 1.6725283; -0.0000023; 34.9999968; -0.0000000
319.9544223; -317.3010509; -33.3089328; 1.6725232; -0.0000028; 34.9999968; -0.0000000
321.9541374; -319.2904287; -33.5120011; 1.6725172; -0.0000032; 34.9999968; -0.0000000
323.9538525; -321.2798072; -33.7150566; 1.6725104; -0.0000036; 34.9999968; -0.0000000
325.9535677; -323.2691883; -33.9180979; 1.6725029; -0.0000040; 34.9999968; -0.0000000
327.9532828; -325.2585705; -34.1211235; 1.6724946; -0.0000042; 34.9999968; -0.0000000
329.9529980; -327.2479537; -34.3241321; 1.6724859; -0.0000045; 34.9999968; -0.0000000
331.9527131; -329.2373400; -34.5271232; 1.6724769; -0.0000045; 34.9999968; -0.0000000
333.9524282; -331.2267275; -34.7300961; 1.6724678; -0.0000045; 34.9999968; -0.0000000
335.9521434; -333.2161162; -34.9330511; 1.6724589; -0.0000044; 34.9999968; -0.0000000
337.9518585; -335.2055079; -35.1359888; 1.6724505; -0.0000040; 34.9999968; -0.0000000
339.9515737; -337.1949007; -35.3389106; 1.6724429; -0.0000035; 34.9999968; -0.0000000
341.9512888; -339.1842942; -35.5418182; 1.6724364; -0.0000029; 34.9999968; -0.0000000
343.9510039; -341.1736902; -35.7447146; 1.6724316; -0.0000019; 34.9999968; -0.0000000
345.9507191; -343.1630858; -35.9476033; 1.6724288; -0.0000008; 34.9999968; -0.0000000
347.9504342; -345.1524820; -36.1504889; 1.6724285; 0.0000005; 34.9999968; 0.0000000
349.9501494; -347.1418777; -36.3533764; 1.6724308; 0.0000018; 34.9999968; 0.0000000
351.9498645; -349.1312731; -36.5562711; 1.6724358; 0.0000033; 34.9999968; 0.0000000
353.9495796; -351.1206677; -36.7591790; 1.6724440; 0.0000050; 34.9999968; 0.0000000
355.9492948; -353.1100593; -36.9621066; 1.6724558; 0.0000068; 34.9999968; 0.0000000
357.9490099; -355.0994486; -37.1650614; 1.6724713; 0.0000087; 34.9999968; 0.0000000
359.9487250; -357.0888350; -37.3680510; 1.6724906; 0.0000106; 34.9999968; 0.0000000
361.9484402; -359.0782159; -37.5710826; 1.6725138; 0.0000125; 34.9999968; 0.0000000
363.9481553; -361.0675923; -37.7741640; 1.6725406; 0.0000143; 34.9999968; 0.0000000
365.9478705; -363.0569636; -37.9773023; 1.6725708; 0.0000160; 34.9999968; 0.0000000
367.9475856; -365.0463270; -38.1805036; 1.6726040; 0.0000173; 34.9999968; 0.0000000
369.9473007; -367.0356841; -38.3837737; 1.6726398; 0.0000183; 34.9999968; 0.0000000
371.9470159; -369.0250346; -38.5871169; 1.6726773; 0.0000191; 34.9999968; 0.0000000
373.9467310; -371.0143757; -38.7905355; 1.6727156; 0.0000192; 34.9999968; 0.0000000
375.9464462; -373.0037099; -38.9940305; 1.6727539; 0.0000189; 34.9999968; 0.0000000
377.9461613; -374.9930372; -39.1976006; 1.6727908; 0.0000180; 34.9999968; 0.0000000
379.9458764; -376.9823556; -39.4012417; 1.6728251; 0.0000162; 34.9999968; 0.0000000
381.9455916; -378.9716683; -39.6049472; 1.6728553; 0.0000138; 34.9999968; 0.0000000
383.9453067; -380.9609761; -39.8087075; 1.6728798; 0.0000108; 34.9999968; 0.0000000
385.9450219; -382.9502781; -40.0125096; 1.6728971; 0.0000065; 34.9999968; 0.0000000
387.9447370; -384.9395783; -40.2163377; 1.6729057; 0.0000017; 34.9999968; 0.0000000
389.9444521; -386.9288783; -40.4201724; 1.6729036; -0.0000038; 34.9999968; 0.0000000
391.9441673; -388.9181788; -40.6239913; 1.6728894; -0.0000104; 34.9999968; 0.0000000
393.9438824; -390.9074843; -40.8277689; 1.6728619; -0.0000174; 34.9999968; 0.0000000
395.9435976; -392.8967969; -41.0314770; 1.6728195; -0.0000250; 34.9999968; 0.0000000
397.9433127; -394.8861194; -41.2350854; 1.6727614; -0.0000331; 34.9999968; 0.0000000
399.9430278; -396.8754556; -41.4385620; 1.6726869; -0.0000414; 34.9999968; 0.0000000
401.9427430; -398.8648084; -41.6418737; 1.6725956; -0.0000498; 34.9999968; 0.0000000
403.9424581; -400.8541819; -41.8449873; 1.6724878; -0.0000579; 34.9999968; -0.0000000
405.9421733; -402.8435787; -42.0478704; 1.6723641; -0.0000656; 34.9999968; -0.0000000
407.9418884; -404.8330015; -42.2504928; 1.6722258; -0.0000727; 34.9999968; -0.0000000
409.9416035; -406.8224546; -42.4528271; 1.6720750; -0.0000781; 34.9999968; -0.0000000
411.9413187; -408.8119388; -42.6548508; 1.6719141; -0.0000822; 34.9999968; -0.0000000
413.9410338; -410.8014555; -42.8565476; 1.6717468; -0.0000850; 34.9999968; -0.0000000
415.9407489; -412.7910074; -43.0579084; 1.6715774; -0.0000844; 34.9999968; -0.0000000
417.9404641; -414.7805925; -43.2589338; 1.6714104; -0.0000815; 34.9999968; -0.0000000
419.9401792; -416.7702100; -43.4596352; 1.6712525; -0.0000764; 34.9999968; -0.0000000
421.9398944; -418.7598585; -43.6600359; 1.6711099; -0.0000661; 34.9999968; 0.0000000
423.9396095; -420.7495329; -43.8601740; 1.6709895; -0.0000528; 34.9999968; 0.0000000
425.9393246; -422.7392286; -44.0601024; 1.6709002; -0.0000364; 34.9999968; 0.0000000
427.9390398; -424.7289381; -44.2598897; 1.6708498; -0.0000138; 34.9999968; 0.0000000
429.9387549; -426.7186529; -44.4596227; 1.6708467; 0.0000122; 34.9999968; 0.0000000
431.9384701; -428.7083643; -44.6594052; 1.6709006; 0.0000417; 34.9999968; 0.0000000
