# ce793e96-8315-46e0-a436-932a5dead5da
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.8210982; 2.5861086; -0.6307989; 0.0000735; 28.9069755; 1.6412525
1.9993748; 0.3579969; 4.2008017; -0.6306565; 0.0000689; 29.0202721; 1.6398796
3.9987497; 1.5368697; 5.8156578; -0.6305225; 0.0000659; 29.1330338; 1.6384163
5.9981245; 2.7155292; 7.4306689; -0.6303922; 0.0000644; 29.2452608; 1.6293087
7.9974994; 3.8939802; 9.0458323; -0.6302640; 0.0000639; 29.3564384; 1.6278896
9.9968742; 5.0722250; 10.6611463; -0.6301367; 0.0000633; 29.4671003; 1.6263902
11.9962490; 6.2502652; 12.2766093; -0.6300109; 0.0000626; 29.5772467; 1.6174450
13.9956239; 7.4281038; 13.8922194; -0.6298873; 0.0000612; 29.6863821; 1.6159854
15.9949987; 8.6057449; 15.5079734; -0.6297666; 0.0000594; 29.7950198; 1.6144551
17.9943735; 9.7831941; 17.1238674; -0.6296499; 0.0000573; 29.9031604; 1.6056668
19.9937484; 10.9604584; 18.7398959; -0.6295379; 0.0000547; 30.0103260; 1.6041700
21.9931232; 12.1375459; 20.3560533; -0.6294311; 0.0000520; 30.1170108; 1.6026112
23.9924981; 13.3144653; 21.9723333; -0.6293299; 0.0000492; 30.2232159; 1.5939731
25.9918729; 14.4912256; 23.5887288; -0.6292343; 0.0000464; 30.3284797; 1.5924415
27.9912477; 15.6678361; 25.2052335; -0.6291445; 0.0000436; 30.4332787; 1.5908562
29.9906226; 16.8443058; 26.8218408; -0.6290601; 0.0000408; 30.5376143; 1.5823618
31.9899974; 18.0206433; 28.4385440; -0.6289809; 0.0000383; 30.6410404; 1.5807980
33.9893723; 19.1968569; 30.0553375; -0.6289068; 0.0000359; 30.7440169; 1.5791884
35.9887471; 20.3729545; 31.6722156; -0.6288372; 0.0000337; 30.8465452; 1.5708322
37.9881219; 21.5489429; 33.2891727; -0.6287720; 0.0000316; 30.9481941; 1.5692388
39.9874968; 22.7248293; 34.9062042; -0.6287107; 0.0000297; 31.0494076; 1.5676069
41.9868716; 23.9006197; 36.5233058; -0.6286532; 0.0000279; 31.1501875; 1.5593839
43.9862465; 25.0763198; 38.1404725; -0.6285991; 0.0000262; 31.2501162; 1.5577632
45.9856213; 26.2519351; 39.7577011; -0.6285482; 0.0000247; 31.3496231; 1.5561110
47.9849961; 27.4274706; 41.3749880; -0.6285003; 0.0000232; 31.4487101; 1.5480167
49.9843710; 28.6029307; 42.9923291; -0.6284552; 0.0000219; 31.5469729; 1.5463710
51.9837458; 29.7783201; 44.6097220; -0.6284127; 0.0000206; 31.6448266; 1.5447003
53.9831206; 30.9536428; 46.2271636; -0.6283726; 0.0000194; 31.7422734; 1.5367303
55.9824955; 32.1289022; 47.8446505; -0.6283348; 0.0000183; 31.8389215; 1.5350617
57.9818703; 33.3041025; 49.4621807; -0.6282992; 0.0000173; 31.9351726; 1.5333742
59.9812452; 34.4792471; 51.0797517; -0.6282657; 0.0000163; 32.0310291; 1.5255243
61.9806200; 35.6543387; 52.6973605; -0.6282341; 0.0000153; 32.1261111; 1.5238347
63.9799948; 36.8293809; 54.3150056; -0.6282043; 0.0000144; 32.2208077; 1.5221319
65.9793697; 38.0043765; 55.9326849; -0.6281763; 0.0000136; 32.3151215; 1.5143982
67.9787445; 39.1793278; 57.5503956; -0.6281500; 0.0000128; 32.4086836; 1.5126894
69.9781194; 40.3542378; 59.1681367; -0.6281251; 0.0000121; 32.5018713; 1.5109728
71.9774942; 41.5291091; 60.7859063; -0.6281017; 0.0000113; 32.5946873; 1.5033516
73.9768690; 42.7039433; 62.4037020; -0.6280797; 0.0000107; 32.6867736; 1.5016253
75.9762439; 43.8787430; 64.0215232; -0.6280589; 0.0000101; 32.7784959; 1.4998961
77.9756187; 45.0535103; 65.6393683; -0.6280393; 0.0000095; 32.8698570; 1.4923840
