# 2add268f-2226-44f7-9771-386b273e79c2
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.5462926; -2.1776168; 2.5711821; 0.0000712; 22.7469409; 1.8333784
1.9999141; 2.4665025; -3.8609778; 2.5713212; 0.0000679; 22.9075647; 1.8333409
3.9998281; 1.3869382; -5.5444896; 2.5714535; 0.0000641; 23.0670667; 1.8330257
5.9997422; 0.3075929; -7.2281346; 2.5715772; 0.0000597; 23.2254463; 1.8201458
7.9996563; -0.7715533; -8.9119113; 2.5716924; 0.0000555; 23.3816515; 1.8199414
9.9995703; -1.8505122; -10.5958071; 2.5717992; 0.0000515; 23.5368026; 1.8194749
11.9994844; -2.9292969; -12.2798126; 2.5718983; 0.0000477; 23.6908984; 1.8069770
13.9993985; -4.0079220; -13.9639233; 2.5719904; 0.0000444; 23.8429500; 1.8066296
15.9993125; -5.0863970; -15.6481287; 2.5720759; 0.0000412; 23.9940091; 1.8060341
17.9992266; -6.1647326; -17.3324220; 2.5721554; 0.0000383; 24.1440738; 1.7938916
19.9991406; -7.2429401; -19.0168000; 2.5722294; 0.0000357; 24.2922118; 1.7934151
21.9990547; -8.3210269; -20.7012540; 2.5722982; 0.0000332; 24.4394130; 1.7927030
23.9989688; -9.3990011; -22.3857787; 2.5723624; 0.0000309; 24.5856749; 1.7808905
25.9988828; -10.4768721; -24.0703720; 2.5724222; 0.0000289; 24.7301166; 1.7802971
27.9987969; -11.5546451; -25.7550267; 2.5724780; 0.0000270; 24.8736718; 1.7794795
29.9987110; -12.6323268; -27.4397387; 2.5725301; 0.0000251; 25.0163379; 1.7679745
31.9986250; -13.7099247; -29.1245066; 2.5725788; 0.0000235; 25.1572804; 1.7672751
33.9985391; -14.7874428; -30.8093244; 2.5726242; 0.0000220; 25.2973823; 1.7663617
35.9984532; -15.8648863; -32.4941887; 2.5726667; 0.0000205; 25.4366408; 1.7551441
37.9983672; -16.9422617; -34.1790990; 2.5727065; 0.0000192; 25.5742638; 1.7543483
39.9982813; -18.0195716; -35.8640498; 2.5727437; 0.0000180; 25.7110883; 1.7533479
41.9981954; -19.0968204; -37.5490387; 2.5727785; 0.0000168; 25.8471111; 1.7423997
43.9981094; -20.1740135; -39.2340655; 2.5728111; 0.0000158; 25.9815791; 1.7415162
45.9980235; -21.2511528; -40.9191254; 2.5728417; 0.0000148; 26.1152870; 1.7404366
47.9979376; -22.3282418; -42.6042164; 2.5728703; 0.0000138; 26.2482316; 1.7297416
49.9978516; -23.4052852; -44.2893389; 2.5728971; 0.0000130; 26.3796955; 1.7287779
51.9977657; -24.4822842; -45.9744885; 2.5729223; 0.0000122; 26.5104347; 1.7276262
53.9976797; -25.5592416; -47.6596637; 2.5729459; 0.0000114; 26.6404459; 1.7171697
55.9975938; -26.6361615; -49.3448650; 2.5729681; 0.0000107; 26.7690444; 1.7161327
57.9975079; -27.7130447; -51.0300887; 2.5729889; 0.0000101; 26.8969510; 1.7149154
59.9974219; -28.7898933; -52.7153333; 2.5730084; 0.0000095; 27.0241622; 1.7046842
61.9973360; -29.8667111; -54.4005999; 2.5730268; 0.0000089; 27.1500237; 1.7035801
63.9972501; -30.9434984; -56.0858849; 2.5730440; 0.0000084; 27.2752234; 1.7023028
65.9971641; -32.0202570; -57.7711871; 2.5730602; 0.0000079; 27.3997579; 1.6922848
67.9970782; -33.0969901; -59.4565077; 2.5730755; 0.0000074; 27.5230009; 1.6911193
69.9969923; -34.1736978; -61.1418436; 2.5730898; 0.0000070; 27.6456103; 1.6897873
71.9969063; -35.2503815; -62.8271936; 2.5731033; 0.0000065; 27.7675823; 1.6799714
73.9968204; -36.3270441; -64.5125593; 2.5731160; 0.0000062; 27.8883170; 1.6787497
75.9967345; -37.4036855; -66.1979374; 2.5731280; 0.0000058; 28.0084440; 1.6773677
77.9966485; -38.4803069; -67.8833274; 2.5731392; 0.0000055; 28.1279597; 1.6677439
79.9965626; -39.5569107; -69.5687305; 2.5731498; 0.0000051; 28.2462883; 1.6664705
81.9964767; -40.6334968; -71.2541441; 2.5731598; 0.0000048; 28.3640336; 1.6650429
83.9963907; -41.7100660; -72.9395673; 2.5731692; 0.0000046; 28.4811918; 1.6556019
