# 6f2f346c-b573-4b1e-90ed-052862a023a4
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.6557189; 3.2619714; 0.5855881; -0.0000022; 27.6847684; 1.6831716
1.9995587; 0.5505884; 4.9283772; 0.5855849; -0.0000010; 27.8060714; 1.6819624
3.9991174; -0.5545401; 6.5947872; 0.5855840; -0.0000002; 27.9267608; 1.6806413
5.9986761; -1.6596707; 8.2612021; 0.5855837; -0.0000000; 28.0468367; 1.6709258
7.9982348; -2.7647965; 9.9276103; 0.5855837; -0.0000000; 28.1657111; 1.6696661
9.9977935; -3.8699244; 11.5940218; 0.5855836; -0.0000000; 28.2839967; 1.6682989
11.9973522; -4.9750544; 13.2604366; 0.5855836; -0.0000000; 28.4016935; 1.6587695
13.9969109; -6.0801800; 14.9268451; 0.5855836; -0.0000000; 28.5182364; 1.6574616
15.9964696; -7.1853077; 16.5932568; 0.5855835; -0.0000000; 28.6342137; 1.6560491
17.9960284; -8.2904374; 18.2596716; 0.5855835; -0.0000000; 28.7496248; 1.6466979
19.9955871; -9.3955630; 19.9260803; 0.5855834; -0.0000000; 28.8639267; 1.6453457
21.9951458; -10.5006905; 21.5924922; 0.5855834; -0.0000000; 28.9776844; 1.6438904
23.9947045; -11.6058199; 23.2589070; 0.5855834; -0.0000000; 29.0908973; 1.6347106
25.9942632; -12.7109453; 24.9253160; 0.5855833; -0.0000000; 29.2030427; 1.6333177
27.9938219; -13.8160726; 26.5917280; 0.5855833; -0.0000000; 29.3146642; 1.6318221
29.9933806; -14.9212017; 28.2581427; 0.5855832; -0.0000000; 29.4257605; 1.6228074
31.9929393; -16.0263271; 29.9245520; 0.5855832; -0.0000000; 29.5358288; 1.6213771
33.9924980; -17.1314542; 31.5909642; 0.5855831; -0.0000000; 29.6453918; 1.6198434
35.9920567; -18.2365829; 33.2573789; 0.5855831; -0.0000000; 29.7544484; 1.6109879
37.9916154; -19.3417081; 34.9237886; 0.5855830; -0.0000000; 29.8625138; 1.6095233
39.9911741; -20.4468350; 36.5902009; 0.5855830; -0.0000000; 29.9700918; 1.6079535
41.9907328; -21.5519633; 38.2566157; 0.5855829; -0.0000000; 30.0771807; 1.5992517
43.9902915; -22.6570883; 39.9230257; 0.5855828; -0.0000000; 30.1833132; 1.5977555
45.9898502; -23.7622148; 41.5894383; 0.5855827; -0.0000000; 30.2889750; 1.5961518
47.9894089; -24.8673425; 43.2558532; 0.5855826; -0.0000001; 30.3941640; 1.5875984
