# 4a09c3f4-dc3f-4201-817a-67fa3431b2b8
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.2624092; -4.4511997; 1.8342059; -0.0000007; 34.9999931; 0.0000433
1.9992787; -2.1927292; -4.9717589; 1.8342048; -0.0000005; 34.9999956; 0.0000216
3.9985575; -4.1230492; -5.4923162; 1.8342041; -0.0000002; 34.9999968; 0.0000000
5.9978362; -6.0533691; -6.0128725; 1.8342038; -0.0000000; 34.9999968; -0.0000000
7.9971149; -7.9836898; -6.5334290; 1.8342040; 0.0000002; 34.9999968; -0.0000000
9.9963937; -9.9140099; -7.0539860; 1.8342045; 0.0000003; 34.9999968; -0.0000000
11.9956724; -11.8443294; -7.5745443; 1.8342054; 0.0000005; 34.9999968; -0.0000000
13.9949511; -13.7746490; -8.0951045; 1.8342064; 0.0000006; 34.9999968; -0.0000000
15.9942299; -15.7049676; -8.6156670; 1.8342077; 0.0000007; 34.9999968; -0.0000000
17.9935086; -17.6352853; -9.1362319; 1.8342090; 0.0000007; 34.9999968; -0.0000000
19.9927873; -19.5656029; -9.6567996; 1.8342105; 0.0000007; 34.9999968; -0.0000000
21.9920660; -21.4959194; -10.1773702; 1.8342120; 0.0000007; 34.9999968; -0.0000000
23.9913448; -23.4262348; -10.6979435; 1.8342134; 0.0000007; 34.9999968; -0.0000000
25.9906235; -25.3565500; -11.2185198; 1.8342149; 0.0000007; 34.9999968; -0.0000000
27.9899022; -27.2868643; -11.7390987; 1.8342162; 0.0000007; 34.9999968; -0.0000000
29.9891810; -29.2171776; -12.2596800; 1.8342175; 0.0000006; 34.9999968; -0.0000000
31.9884597; -31.1474908; -12.7802638; 1.8342186; 0.0000005; 34.9999968; -0.0000000
33.9877384; -33.0778031; -13.3008496; 1.8342196; 0.0000005; 34.9999968; -0.0000000
35.9870172; -35.0081148; -13.8214370; 1.8342204; 0.0000004; 34.9999968; -0.0000000
37.9862959; -36.9384266; -14.3420261; 1.8342211; 0.0000003; 34.9999968; -0.0000000
39.9855746; -38.8687377; -14.8626163; 1.8342216; 0.0000002; 34.9999968; -0.0000000
41.9848534; -40.7990485; -15.3832073; 1.8342220; 0.0000001; 34.9999968; -0.0000000
43.9841321; -42.7293595; -15.9037989; 1.8342222; 0.0000001; 34.9999968; -0.0000000
45.9834108; -44.6596702; -16.4243908; 1.8342223; 0.0000000; 34.9999968; -0.0000000
47.9826896; -46.5899807; -16.9449826; 1.8342222; -0.0000001; 34.9999968; -0.0000000
49.9819683; -48.5202918; -17.4655744; 1.8342221; -0.0000001; 34.9999968; -0.0000000
51.9812470; -50.4506027; -17.9861656; 1.8342218; -0.0000002; 34.9999968; -0.0000000
53.9805258; -52.3809136; -18.5067561; 1.8342214; -0.0000002; 34.9999968; -0.0000000
