# 10ed2735-ef91-498e-810b-29622bada7c4
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.8609430; -1.8885025; -1.4722109; -0.0000317; 26.6233119; 1.7179325
1.9996721; 3.8509152; -1.6917440; -1.4722716; -0.0000290; 26.7520343; 1.7169137
3.9993442; 5.8408961; -1.4951013; -1.4723272; -0.0000268; 26.8800645; 1.7157231
5.9990163; 7.8308820; -1.2985658; -1.4723789; -0.0000250; 27.0073997; 1.7054615
7.9986884; 9.8208866; -1.1021291; -1.4724273; -0.0000235; 27.1333810; 1.7043721
9.9983605; 11.8108961; -0.9057861; -1.4724728; -0.0000220; 27.2587002; 1.7030855
11.9980326; 13.8009101; -0.7095312; -1.4725154; -0.0000207; 27.3833519; 1.6930705
13.9977047; 15.7909405; -0.5133578; -1.4725555; -0.0000194; 27.5067107; 1.6919183
15.9973768; 17.7809744; -0.3172620; -1.4725931; -0.0000182; 27.6294353; 1.6905460
17.9970489; 19.7710113; -0.1212392; -1.4726284; -0.0000171; 27.7515183; 1.6807641
19.9967210; 21.7610632; 0.0747163; -1.4726616; -0.0000161; 27.8723649; 1.6795543
21.9963931; 23.7511171; 0.2706073; -1.4726928; -0.0000151; 27.9926033; 1.6781038
23.9960652; 25.7411732; 0.4664377; -1.4727221; -0.0000142; 28.1122243; 1.6685421
25.9957373; 27.7312427; 0.6622124; -1.4727497; -0.0000134; 28.2306611; 1.6672795
27.9954094; 29.7213133; 0.8579335; -1.4727756; -0.0000126; 28.3485141; 1.6657577
29.9950815; 31.7113852; 1.0536043; -1.4727999; -0.0000118; 28.4657723; 1.6564044
31.9947535; 33.7014693; 1.2492288; -1.4728228; -0.0000111; 28.5818950; 1.6550934
33.9944256; 35.6915539; 1.4448087; -1.4728444; -0.0000104; 28.6974565; 1.6535065
35.9940977; 37.6816390; 1.6403468; -1.4728646; -0.0000098; 28.8124444; 1.6443510
37.9937698; 39.6717352; 1.8358465; -1.4728836; -0.0000092; 28.9263423; 1.6429954
39.9934419; 41.6618312; 2.0313090; -1.4729015; -0.0000087; 29.0397001; 1.6413492
41.9931140; 43.6519274; 2.2267367; -1.4729184; -0.0000082; 29.1525042; 1.6323814
43.9927861; 45.6420336; 2.4221325; -1.4729342; -0.0000077; 29.2642608; 1.6309850
45.9924582; 47.6321393; 2.6174974; -1.4729492; -0.0000072; 29.3754971; 1.6292847
47.9921303; 49.6222446; 2.8128331; -1.4729632; -0.0000068; 29.4861984; 1.6204955
49.9918024; 51.6123592; 3.0081425; -1.4729764; -0.0000064; 29.5958919; 1.6190616
51.9914745; 53.6024728; 3.2034260; -1.4729888; -0.0000060; 29.7050838; 1.6173119
53.9911466; 55.5925858; 3.3986853; -1.4730005; -0.0000057; 29.8137584; 1.6086930
55.9908187; 57.5827072; 3.5939227; -1.4730114; -0.0000053; 29.9214623; 1.6072246
57.9904908; 59.5728275; 3.7891386; -1.4730218; -0.0000050; 30.0286821; 1.6054300
59.9901629; 61.5629469; 3.9843342; -1.4730315; -0.0000047; 30.1354014; 1.5969735
61.9898350; 63.5530740; 4.1795118; -1.4730406; -0.0000044; 30.2411849; 1.5954735
63.9895071; 65.5431998; 4.3746714; -1.4730491; -0.0000042; 30.3465008; 1.5936380
65.9891792; 67.5333246; 4.5698142; -1.4730572; -0.0000039; 30.4513320; 1.5853368
67.9888513; 69.5234564; 4.7649421; -1.4730648; -0.0000037; 30.5552602; 1.5838077
69.9885234; 71.5135867; 4.9600551; -1.4730718; -0.0000034; 30.6587364; 1.5819349
71.9881955; 73.5037160; 5.1551542; -1.4730785; -0.0000032; 30.7617428; 1.5737823
