# dc60b841-1ddc-43c5-a144-3e325d167f12
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -4.8719256; -0.6222542; -0.3701164; 0.0000002; 34.9999931; 0.0000433
1.9999285; -4.1485037; 1.2422499; -0.3701163; -0.0000000; 34.9999956; 0.0000216
3.9998569; -3.4250818; 3.1067535; -0.3701165; -0.0000001; 34.9999968; 0.0000000
5.9997854; -2.7016594; 4.9712571; -0.3701168; -0.0000002; 34.9999968; -0.0000000
7.9997139; -1.9782362; 6.8357606; -0.3701172; -0.0000002; 34.9999968; -0.0000000
9.9996423; -1.2548124; 8.7002637; -0.3701175; -0.0000002; 34.9999968; -0.0000000
11.9995708; -0.5313880; 10.5647665; -0.3701179; -0.0000002; 34.9999968; -0.0000000
13.9994993; 0.1920372; 12.4292692; -0.3701182; -0.0000001; 34.9999968; -0.0000000
15.9994277; 0.9154627; 14.2937717; -0.3701184; -0.0000001; 34.9999968; -0.0000000
17.9993562; 1.6388886; 16.1582738; -0.3701185; -0.0000000; 34.9999968; -0.0000000
19.9992847; 2.3623147; 18.0227762; -0.3701185; 0.0000000; 34.9999968; -0.0000000
21.9992131; 3.0857406; 19.8872785; -0.3701184; 0.0000001; 34.9999968; -0.0000000
23.9991416; 3.8091661; 21.7517808; -0.3701181; 0.0000002; 34.9999968; -0.0000000
25.9990701; 4.5325909; 23.6162837; -0.3701176; 0.0000003; 34.9999968; -0.0000000
27.9989985; 5.2560144; 25.4807869; -0.3701168; 0.0000004; 34.9999968; -0.0000000
29.9989270; 5.9794363; 27.3452906; -0.3701158; 0.0000006; 34.9999968; -0.0000000
31.9988555; 6.7028562; 29.2097954; -0.3701146; 0.0000007; 34.9999968; -0.0000000
33.9987839; 7.4262734; 31.0743011; -0.3701131; 0.0000008; 34.9999968; -0.0000000
35.9987124; 8.1496875; 32.9388078; -0.3701113; 0.0000010; 34.9999968; -0.0000000
37.9986409; 8.8730982; 34.8033162; -0.3701092; 0.0000011; 34.9999968; -0.0000000
39.9985693; 9.5965047; 36.6678260; -0.3701069; 0.0000012; 34.9999968; -0.0000000
41.9984978; 10.3199066; 38.5323374; -0.3701044; 0.0000013; 34.9999968; -0.0000000
43.9984263; 11.0433038; 40.3968511; -0.3701017; 0.0000014; 34.9999968; -0.0000000
45.9983547; 11.7666957; 42.2613666; -0.3700988; 0.0000015; 34.9999968; -0.0000000
47.9982832; 12.4900820; 44.1258840; -0.3700958; 0.0000015; 34.9999968; -0.0000000
49.9982117; 13.2134630; 45.9904040; -0.3700929; 0.0000015; 34.9999968; -0.0000000
51.9981401; 13.9368384; 47.8549259; -0.3700899; 0.0000014; 34.9999968; -0.0000000
53.9980686; 14.6602084; 49.7194497; -0.3700872; 0.0000013; 34.9999968; -0.0000000
55.9979970; 15.3835736; 51.5839757; -0.3700847; 0.0000012; 34.9999968; -0.0000000
57.9979255; 16.1069344; 53.4485033; -0.3700825; 0.0000010; 34.9999968; -0.0000000
59.9978540; 16.8302914; 55.3130321; -0.3700808; 0.0000007; 34.9999968; -0.0000000
61.9977824; 17.5536460; 57.1775623; -0.3700797; 0.0000004; 34.9999968; -0.0000000
63.9977109; 18.2769990; 59.0420929; -0.3700792; 0.0000000; 34.9999968; -0.0000000
65.9976394; 19.0003519; 60.9066233; -0.3700796; -0.0000004; 34.9999968; -0.0000000
67.9975678; 19.7237064; 62.7711536; -0.3700809; -0.0000009; 34.9999968; -0.0000000
69.9974963; 20.4470641; 64.6356823; -0.3700831; -0.0000014; 34.9999968; -0.0000000
71.9974248; 21.1704269; 66.5002088; -0.3700864; -0.0000019; 34.9999968; -0.0000000
73.9973532; 21.8937970; 68.3647331; -0.3700908; -0.0000025; 34.9999968; -0.0000000
75.9972817; 22.6171764; 70.2292534; -0.3700964; -0.0000031; 34.9999968; -0.0000000
77.9972102; 23.3405671; 72.0937691; -0.3701031; -0.0000036; 34.9999968; -0.0000000
79.9971386; 24.0639715; 73.9582801; -0.3701108; -0.0000041; 34.9999968; -0.0000000
81.9970671; 24.7873912; 75.8227848; -0.3701196; -0.0000046; 34.9999968; -0.0000000
83.9969956; 25.5108280; 77.6872825; -0.3701293; -0.0000050; 34.9999968; -0.0000000
85.9969240; 26.2342838; 79.5517736; -0.3701397; -0.0000053; 34.9999968; -0.0000000
87.9968525; 26.9577594; 81.4162566; -0.3701506; -0.0000055; 34.9999968; -0.0000000
89.9967810; 27.6812554; 83.2807313; -0.3701617; -0.0000056; 34.9999968; -0.0000000
91.9967094; 28.4047724; 85.1451986; -0.3701728; -0.0000055; 34.9999968; -0.0000000
93.9966379; 29.1283097; 87.0096577; -0.3701835; -0.0000052; 34.9999968; -0.0000000
95.9965664; 29.8518660; 88.8741091; -0.3701933; -0.0000047; 34.9999968; -0.0000000
97.9964948; 30.5754399; 90.7385543; -0.3702020; -0.0000039; 34.9999968; -0.0000000
99.9964233; 31.2990283; 92.6029936; -0.3702089; -0.0000030; 34.9999968; -0.0000000
101.9963518; 32.0226275; 94.4674282; -0.3702137; -0.0000018; 34.9999968; -0.0000000
103.9962802; 32.7462335; 96.3318610; -0.3702158; -0.0000003; 34.9999968; -0.0000000
105.9962087; 33.4698406; 98.1962930; -0.3702149; 0.0000013; 34.9999968; -0.0000000
107.9961372; 34.1934425; 100.0607266; -0.3702104; 0.0000032; 34.9999968; -0.0000000
109.9960656; 34.9170327; 101.9251655; -0.3702020; 0.0000053; 34.9999968; -0.0000000
111.9959941; 35.6406031; 103.7896117; -0.3701892; 0.0000075; 34.9999968; -0.0000000
113.9959226; 36.3641454; 105.6540686; -0.3701719; 0.0000098; 34.9999968; -0.0000000
115.9958510; 37.0876512; 107.5185402; -0.3701499; 0.0000122; 34.9999968; -0.0000000
117.9957795; 37.8111113; 109.3830292; -0.3701230; 0.0000146; 34.9999968; -0.0000000
119.9957080; 38.5345170; 111.2475390; -0.3700915; 0.0000169; 34.9999968; -0.0000000
121.9956364; 39.2578598; 113.1120739; -0.3700555; 0.0000191; 34.9999968; -0.0000000
123.9955649; 39.9811314; 114.9766360; -0.3700154; 0.0000209; 34.9999968; -0.0000000
125.9954934; 40.7043250; 116.8412282; -0.3699719; 0.0000226; 34.9999968; -0.0000000
127.9954218; 41.4274348; 118.7058533; -0.3699257; 0.0000236; 34.9999968; -0.0000000
129.9953503; 42.1504567; 120.5705123; -0.3698777; 0.0000241; 34.9999968; -0.0000000
131.9952788; 42.8733885; 122.4352060; -0.3698293; 0.0000242; 34.9999968; -0.0000000
133.9952072; 43.5962307; 124.2999349; -0.3697819; 0.0000232; 34.9999968; -0.0000000
135.9951357; 44.3189864; 126.1646972; -0.3697368; 0.0000215; 34.9999968; -0.0000000
137.9950642; 45.0416617; 128.0294903; -0.3696960; 0.0000192; 34.9999968; 0.0000000
139.9949926; 45.7642665; 129.8943112; -0.3696614; 0.0000154; 34.9999968; 0.0000000
141.9949211; 46.4868139; 131.7591542; -0.3696348; 0.0000108; 34.9999968; 0.0000000
143.9948496; 47.2093210; 133.6240124; -0.3696186; 0.0000054; 34.9999968; 0.0000000
145.9947780; 47.9318091; 135.4888787; -0.3696146; -0.0000015; 34.9999968; 0.0000000
147.9947065; 48.6543027; 137.3537426; -0.3696249; -0.0000091; 34.9999968; 0.0000000
149.9946350; 49.3768303; 139.2185926; -0.3696516; -0.0000175; 34.9999968; 0.0000000
151.9945634; 50.0994244; 141.0834181; -0.3696962; -0.0000271; 34.9999968; 0.0000000
153.9944919; 50.8221195; 142.9482038; -0.3697603; -0.0000372; 34.9999968; 0.0000000
155.9944204; 51.5449530; 144.8129352; -0.3698450; -0.0000476; 34.9999968; 0.0000000
157.9943488; 52.2679647; 146.6775989; -0.3699510; -0.0000584; 34.9999968; 0.0000000
159.9942773; 52.9911939; 148.5421776; -0.3700785; -0.0000690; 34.9999968; 0.0000000
161.9942058; 53.7146801; 150.4066557; -0.3702269; -0.0000794; 34.9999968; -0.0000000
163.9941342; 54.4384623; 152.2710206; -0.3703950; -0.0000887; 34.9999968; -0.0000000
165.9940627; 55.1625748; 154.1352564; -0.3705812; -0.0000969; 34.9999968; -0.0000000
167.9939911; 55.8870480; 155.9993511; -0.3707821; -0.0001040; 34.9999968; -0.0000000
169.9939196; 56.6119075; 157.8632974; -0.3709939; -0.0001078; 34.9999968; -0.0000000
171.9938481; 57.3371683; 159.7270867; -0.3712123; -0.0001095; 34.9999968; -0.0000000
