# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.00000;-57.64617;77.01338;2.61625;-0.04204;3.00000;0.00000
1.10330;-58.58746;77.58892;2.56910;-0.04338;3.00000;0.00000
2.20970;-59.50267;78.21062;2.52048;-0.04448;3.00000;0.00000
3.31888;-60.38837;78.87831;2.47060;-0.04543;3.00000;0.00000
4.43034;-61.24103;79.59128;2.41961;-0.04630;3.00000;0.00000
5.54339;-62.05701;80.34827;2.36760;-0.04715;3.00000;0.00000
6.65716;-62.83266;81.14756;2.31460;-0.04803;3.00000;0.00000
7.77066;-63.56428;81.98698;2.26059;-0.04898;3.00000;0.00000
8.88281;-64.24822;82.86396;2.20552;-0.05006;3.00000;0.00000
9.99243;-64.88090;83.77554;2.14929;-0.05129;3.00000;0.00000
11.09838;-65.45885;84.71845;2.09180;-0.05269;3.00000;0.00000
12.19951;-65.97873;85.68913;2.03291;-0.05428;3.00000;0.00000
13.29480;-66.43739;86.68376;1.97251;-0.05604;3.00000;0.00000
14.38336;-66.83190;87.69832;1.91045;-0.05798;3.00000;0.00000
15.46448;-67.15959;88.72858;1.84665;-0.06005;3.00000;0.00000
16.53771;-67.41808;89.77022;1.78104;-0.06221;3.00000;0.00000
17.60287;-67.60533;90.81879;1.71359;-0.06440;3.00000;0.00000
18.66007;-67.71967;91.86979;1.64436;-0.06653;3.00000;0.00000
19.70974;-67.75984;92.91869;1.57346;-0.06850;3.00000;0.00000
20.75262;-67.72505;93.96099;1.50109;-0.07019;3.00000;0.00000
21.78974;-67.61495;94.99225;1.42756;-0.07150;3.00000;0.00000
22.82233;-67.42976;96.00810;1.35325;-0.07231;3.00000;0.00000
23.85180;-67.17025;97.00432;1.27863;-0.07255;3.00000;0.00000
24.87960;-66.83775;97.97685;1.20416;-0.07224;3.00000;0.00000
25.90714;-66.43415;98.92182;1.13027;-0.07145;3.00000;0.00000
26.93571;-65.96184;99.83553;1.05734;-0.07027;3.00000;0.00000
27.96639;-65.42361;100.71452;0.98564;-0.06879;3.00000;0.00000
29.00003;-64.82267;101.55552;0.91538;-0.06711;3.00000;0.00000
30.03722;-64.16252;102.35549;0.84667;-0.06533;3.00000;0.00000
31.07829;-63.44695;103.11165;0.77958;-0.06353;3.00000;0.00000
32.12333;-62.67995;103.82146;0.71411;-0.06176;3.00000;0.00000
33.17223;-61.86568;104.48263;0.65020;-0.06008;3.00000;0.00000
34.22471;-61.00839;105.09318;0.58779;-0.05851;3.00000;0.00000
35.28035;-60.11240;105.65139;0.52679;-0.05706;3.00000;0.00000
36.33871;-59.18201;106.15584;0.46710;-0.05573;3.00000;0.00000
37.39928;-58.22144;106.60544;0.40865;-0.05450;3.00000;0.00000
38.46164;-57.23483;106.99939;0.35137;-0.05332;3.00000;0.00000
39.52543;-56.22613;107.33727;0.29526;-0.05217;3.00000;0.00000
40.59044;-55.19905;107.61896;0.24032;-0.05097;3.00000;0.00000
41.65663;-54.15703;107.84473;0.18664;-0.04969;3.00000;0.00000
42.72415;-53.10321;108.01520;0.13435;-0.04826;3.00000;0.00000
43.79332;-52.04037;108.13132;0.08358;-0.04666;3.00000;0.00000
44.86454;-50.97100;108.19437;0.03453;-0.04488;3.00000;0.00000
45.93829;-49.89731;108.20594;-0.01263;-0.04293;3.00000;0.00000
47.01506;-48.82122;108.16786;-0.05773;-0.04080;3.00000;0.00000
48.09529;-47.74439;108.08222;-0.10059;-0.03853;3.00000;0.00000
49.17938;-46.66823;107.95132;-0.14107;-0.03613;3.00000;0.00000
50.26761;-45.59395;107.77764;-0.17904;-0.03364;3.00000;0.00000
51.36018;-44.52250;107.56384;-0.21441;-0.03108;3.00000;0.00000
52.45714;-43.45468;107.31271;-0.24708;-0.02849;3.00000;0.00000
53.55840;-42.39108;107.02716;-0.27702;-0.02588;3.00000;0.00000
54.66378;-41.33212;106.71018;-0.30419;-0.02329;3.00000;0.00000
55.77294;-40.27810;106.36482;-0.32859;-0.02072;3.00000;0.00000
56.88545;-39.22914;105.99418;-0.35024;-0.01820;3.00000;0.00000
58.00077;-38.18529;105.60136;-0.36915;-0.01574;3.00000;0.00000
59.11829;-37.14646;105.18945;-0.38540;-0.01335;3.00000;0.00000
60.23733;-36.11249;104.76149;-0.39903;-0.01104;3.00000;0.00000
61.35719;-35.08313;104.32046;-0.41014;-0.00881;3.00000;0.00000
62.47714;-34.05809;103.86924;-0.41881;-0.00669;3.00000;0.00000
63.59646;-33.03705;103.41061;-0.42515;-0.00467;3.00000;0.00000
64.71445;-32.01963;102.94719;-0.42931;-0.00277;3.00000;0.00000
65.83045;-31.00546;102.48144;-0.43139;-0.00099;3.00000;0.00000
66.94385;-29.99418;102.01565;-0.43155;0.00069;3.00000;0.00000
68.05412;-28.98538;101.55193;-0.42990;0.00227;3.00000;0.00000
69.16079;-27.97870;101.09224;-0.42655;0.00377;3.00000;0.00000
70.26348;-26.97374;100.63838;-0.42161;0.00517;3.00000;0.00000
71.36191;-25.97013;100.19196;-0.41520;0.00649;3.00000;0.00000
72.45585;-24.96747;99.75447;-0.40743;0.00771;3.00000;0.00000
73.54521;-23.96539;99.32723;-0.39840;0.00885;3.00000;0.00000
74.62996;-22.96351;98.91140;-0.38822;0.00990;3.00000;0.00000
75.71015;-21.96145;98.50803;-0.37701;0.01085;3.00000;0.00000
76.78594;-20.95887;98.11799;-0.36488;0.01169;3.00000;0.00000
77.85754;-19.95539;97.74202;-0.35194;0.01243;3.00000;0.00000
78.92524;-18.95067;97.38074;-0.33832;0.01306;3.00000;0.00000
79.98939;-17.94438;97.03462;-0.32415;0.01356;3.00000;0.00000
81.05040;-16.93619;96.70400;-0.30954;0.01395;3.00000;0.00000
82.10873;-15.92580;96.38911;-0.29464;0.01421;3.00000;0.00000
83.16486;-14.91290;96.09004;-0.27955;0.01433;3.00000;0.00000
84.21930;-13.89722;95.80677;-0.26443;0.01433;3.00000;0.00000
85.27259;-12.87849;95.53915;-0.24939;0.01420;3.00000;0.00000
86.32526;-11.85648;95.28693;-0.23456;0.01395;3.00000;0.00000
87.37786;-10.83096;95.04976;-0.22006;0.01357;3.00000;0.00000
88.43089;-9.80173;94.82715;-0.20603;0.01307;3.00000;0.00000
89.48486;-8.76860;94.61854;-0.19256;0.01247;3.00000;0.00000
90.54026;-7.73143;94.42326;-0.17977;0.01176;3.00000;0.00000
91.59751;-6.69009;94.24055;-0.16774;0.01097;3.00000;0.00000
92.65701;-5.64447;94.06957;-0.15658;0.01009;3.00000;0.00000
93.71913;-4.59450;93.90940;-0.14636;0.00915;3.00000;0.00000
94.78416;-3.54014;93.75903;-0.13714;0.00815;3.00000;0.00000
95.85236;-2.48137;93.61740;-0.12900;0.00709;3.00000;0.00000
96.92392;-1.41822;93.48338;-0.12198;0.00600;3.00000;0.00000
97.99899;-0.35075;93.35580;-0.11613;0.00488;3.00000;0.00000
99.07766;0.72096;93.23341;-0.11149;0.00373;3.00000;0.00000
100.15998;1.79677;93.11493;-0.10809;0.00256;3.00000;0.00000
101.24593;2.87653;92.99905;-0.10596;0.00137;3.00000;0.00000
