# a996faa6-5870-4433-86f7-1b9eb1eaf4e1
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -57.1446063; 77.6426195; 1.0402006; -0.0311972; 9.5796822; -1.4375892
1.9946594; -58.8223466; 78.7047628; 0.9697989; -0.0397068; 9.2755221; -1.0939275
3.9893188; -60.4214507; 79.9036645; 0.8830768; -0.0460029; 9.0372167; -0.7973399
5.9839782; -61.9030318; 81.2441530; 0.7857167; -0.0516205; 8.8594832; -0.7044691
7.9786375; -63.2394368; 82.7275465; 0.6798804; -0.0547414; 8.6994304; -0.6317296
9.9732969; -64.4067247; 84.3496862; 0.5667051; -0.0575998; 8.5533572; -0.5606294
11.9679563; -65.3745266; 86.0852710; 0.4496700; -0.0603989; 8.4216026; -0.5440717
13.9626157; -66.1337787; 87.9379432; 0.3278376; -0.0615168; 8.2917377; -0.5696621
15.9572751; -66.6576629; 89.8640481; 0.2023709; -0.0642579; 8.1535484; -0.4302058
17.9519345; -66.9296321; 91.8295046; 0.0714152; -0.0680975; 8.0476160; -0.3431624
19.9465939; -66.9341272; 93.8196602; -0.0678443; -0.0709275; 7.9621064; -0.1781951
21.9412532; -66.6586542; 95.7817450; -0.2124619; -0.0743565; 7.9173393; -0.1672961
23.9359126; -66.0978318; 97.6880251; -0.3598113; -0.0747282; 7.8750787; -0.0386641
25.9305720; -65.2504700; 99.5059558; -0.5139002; -0.0775913; 7.8652794; -0.0386641
27.9252314; -64.1441329; 101.1612571; -0.6630049; -0.0732245; 7.8554680; 0.2428701
29.9198908; -62.8024600; 102.6445335; -0.8052873; -0.0670346; 7.9168973; 0.5592809
31.9145502; -61.2787789; 103.9303848; -0.9325173; -0.0615082; 8.0565757; 0.7670319
33.9092096; -59.6089447; 105.0192873; -1.0523503; -0.0584474; 8.2442918; 0.7849481
35.9038689; -57.8254617; 105.9053380; -1.1665664; -0.0567173; 8.4320671; 0.7229734
37.8985283; -55.9514150; 106.5852786; -1.2783552; -0.0547133; 8.6013910; 0.7058565
39.8931877; -54.0140192; 107.0575835; -1.3838857; -0.0513690; 8.7635503; 0.8068720
41.8878471; -52.0357032; 107.3316052; -1.4795763; -0.0434609; 8.9453163; 1.2723008
43.8825065; -50.0466600; 107.4326317; -1.5580794; -0.0362569; 9.2246570; 1.6615569
45.8771659; -48.0541509; 107.3897301; -1.6245443; -0.0301787; 9.5772009; 1.9746030
