# 765fe308-b111-41ca-be11-a1f8bdab36f3
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -153.9999248; 210.7519782; 1.0654131; -0.0118987; 15.0134916; -1.9417697
1.9985531; -155.7361348; 211.7398995; 1.0414895; -0.0120420; 14.7527446; -1.9256576
3.9971063; -157.4484215; 212.7695289; 1.0172373; -0.0123009; 14.4895277; -1.9100402
5.9956594; -159.1359793; 213.8416628; 0.9922573; -0.0126975; 14.2236346; -1.9072460
7.9942126; -160.7948581; 214.9556818; 0.9664356; -0.0131449; 13.9530755; -1.9053918
9.9927657; -162.4235881; 216.1126675; 0.9397050; -0.0136231; 13.6774362; -1.8962282
11.9913189; -164.0210726; 217.3142039; 0.9119783; -0.0141298; 13.3974936; -1.8939221
13.9898720; -165.5840735; 218.5604619; 0.8831884; -0.0146715; 13.1119269; -1.9063428
15.9884252; -167.1085444; 219.8509389; 0.8532645; -0.0153021; 12.8180643; -1.8998591
17.9869783; -168.5937504; 221.1882241; 0.8220263; -0.0159831; 12.5183399; -1.8927309
19.9855315; -170.0364761; 222.5732562; 0.7893263; -0.0167128; 12.2124276; -1.9154821
21.9840846; -171.4296629; 224.0035565; 0.7547880; -0.0178879; 11.8948309; -1.9036000
23.9826377; -172.7718889; 225.4838333; 0.7178770; -0.0190524; 11.5705709; -1.8849459
25.9811909; -174.0580989; 227.0157309; 0.6786034; -0.0204074; 11.2402750; -1.8409190
27.9797440; -175.2768714; 228.5975731; 0.6326055; -0.0256541; 10.9080444; -0.4701453
29.9782972; -176.4141994; 230.2409206; 0.5769603; -0.0294057; 10.8215623; 0.5169196
31.9768503; -177.4536101; 231.9491321; 0.5153886; -0.0318726; 10.9166109; 0.4540562
33.9754035; -178.3831212; 233.7176616; 0.4527581; -0.0308609; 10.9994229; 0.4373978
35.9739566; -179.2021405; 235.5411818; 0.3916665; -0.0304045; 11.0786114; 0.4247908
37.9725098; -179.9085371; 237.4104393; 0.3309730; -0.0303213; 11.1549794; 0.4096606
39.9710629; -180.5007721; 239.3196223; 0.2707177; -0.0299965; 11.2281353; 0.4039173
41.9696160; -180.9775486; 241.2612176; 0.2109539; -0.0297622; 11.2998019; 0.3990616
43.9681692; -181.3376272; 243.2257056; 0.1516488; -0.0296143; 11.3701633; 0.3876015
45.9667223; -181.5812099; 245.2101773; 0.0926955; -0.0293823; 11.4380898; 0.3845041
47.9652755; -181.7078550; 247.2058491; 0.0341517; -0.0291145; 11.5050772; 0.3840380
49.9638286; -181.7181699; 249.2025513; -0.0237409; -0.0288528; 11.5715964; 0.3862811
51.9623818; -181.6133831; 251.1983172; -0.0810604; -0.0285184; 11.6381205; 0.3930513
53.9609349; -181.3948692; 253.1865120; -0.1377297; -0.0281116; 11.7054225; 0.4019313
55.9594881; -181.0655441; 255.1560594; -0.1935406; -0.0278988; 11.7738472; 0.4146205
57.9580412; -180.6271109; 257.1036968; -0.2493155; -0.0279508; 11.8440179; 0.4379589
59.9565944; -180.0802290; 259.0263554; -0.3047396; -0.0274113; 11.9176898; 0.4541197
61.9551475; -179.4296177; 260.9143701; -0.3587353; -0.0266992; 11.9936022; 0.4711474
63.9537006; -178.6788167; 262.7661411; -0.4114400; -0.0260782; 12.0718565; 0.4984381
65.9522538; -177.8324501; 264.5761574; -0.4632509; -0.0257827; 12.1540952; 0.5261751
67.9508069; -176.8940632; 266.3400985; -0.5144381; -0.0254295; 12.2403108; 0.5520122
69.9493601; -175.8669520; 268.0546102; -0.5649109; -0.0250584; 12.3301119; 0.5834584
71.9479132; -174.7552708; 269.7155587; -0.6146241; -0.0247016; 12.4243231; 0.6294133
73.9464664; -173.5632127; 271.3193993; -0.6635697; -0.0242845; 12.5251601; 0.6639789
75.9450195; -172.2944159; 272.8638696; -0.7117320; -0.0238726; 12.6306623; 0.7000330
