# 4910119a-b0cd-4149-9374-5db8dfb569fb
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -190.9106128; 259.9903375; 1.0724303; -0.0094065; 16.7803900; -2.0152731
1.9979506; -192.6556735; 260.9614399; 1.0534946; -0.0095531; 16.5387018; -1.9968145
3.9959012; -194.3824088; 261.9659748; 1.0342393; -0.0097550; 16.2956921; -1.9786920
5.9938517; -196.0900705; 263.0044934; 1.0144809; -0.0100207; 16.0512593; -1.9707733
7.9918023; -197.7756343; 264.0763958; 0.9941721; -0.0103126; 15.8040473; -1.9616559
9.9897529; -199.4387605; 265.1827943; 0.9732738; -0.0106150; 15.5540775; -1.9489230
11.9877035; -201.0787628; 266.3247119; 0.9517516; -0.0109281; 15.3016869; -1.9446838
13.9856540; -202.6930980; 267.5019247; 0.9295882; -0.0112568; 15.0456259; -1.9452986
15.9836046; -204.2799542; 268.7146921; 0.9067581; -0.0116096; 14.7850478; -1.9361015
17.9815552; -205.8390143; 269.9645401; 0.8831980; -0.0119813; 14.5210594; -1.9326063
19.9795058; -207.3678834; 271.2515147; 0.8588546; -0.0123791; 14.2526721; -1.9425569
21.9774563; -208.8632468; 272.5748657; 0.8336872; -0.0128343; 13.9777108; -1.9344736
23.9754069; -210.3250594; 273.9369197; 0.8075683; -0.0133363; 13.6984099; -1.9286580
25.9733575; -211.7507161; 275.3381161; 0.7803468; -0.0138959; 13.4141606; -1.9419885
27.9713081; -213.1350433; 276.7765831; 0.7518262; -0.0146897; 13.1217267; -1.9273128
29.9692586; -214.4776036; 278.2562059; 0.7215800; -0.0157056; 12.8249117; -1.9120879
31.9672092; -215.7739752; 279.7783857; 0.6889053; -0.0169731; 12.5234918; -1.5339800
33.9651598; -217.0149478; 281.3420886; 0.6515482; -0.0205376; 12.2763274; -0.5486691
35.9631104; -218.1919284; 282.9567637; 0.6072758; -0.0233029; 12.1867053; 0.5470386
37.9610609; -219.2930954; 284.6251486; 0.5588973; -0.0251038; 12.2760620; 0.4786438
39.9590115; -220.3093735; 286.3440270; 0.5092240; -0.0245709; 12.3537165; 0.4626163
