# 48dbb11d-3f26-4568-b1eb-f79d38117184
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -113.5397919; 156.7901790; 1.0681552; -0.0162241; 12.7656358; -1.8654462
1.9953111; -115.2703286; 157.7787095; 1.0352543; -0.0168073; 12.4706522; -1.8440943
3.9906221; -116.9692367; 158.8262555; 1.0010342; -0.0175072; 12.1720205; -1.8238942
5.9859332; -118.6309958; 159.9329118; 0.9652598; -0.0183405; 11.8692717; -1.8241329
7.9812443; -120.2500486; 161.0988701; 0.9277956; -0.0192295; 11.5585547; -1.8276100
9.9765553; -121.8234878; 162.3263743; 0.8884339; -0.0202360; 11.2386336; -1.8206399
11.9718664; -123.3457658; 163.6161676; 0.8469604; -0.0213700; 10.9106095; -1.8241991
13.9671775; -124.8115010; 164.9695598; 0.8030777; -0.0226222; 10.5717411; -1.8495180
15.9624885; -126.2145314; 166.3879916; 0.7561677; -0.0244737; 10.2167011; -1.8440597
17.9577996; -127.5461188; 167.8726273; 0.7053558; -0.0265509; 9.8499765; -1.8337947
19.9531107; -128.7980822; 169.4267223; 0.6502201; -0.0288142; 9.4712225; -1.8677603
21.9484217; -129.9540663; 171.0506443; 0.5841909; -0.0373979; 9.0692078; -0.4182274
23.9437328; -130.9872277; 172.7569526; 0.5030224; -0.0427371; 8.9767222; 0.5461644
25.9390439; -131.8719491; 174.5464704; 0.4141409; -0.0455825; 9.0973116; 0.5003158
27.9343549; -132.5921232; 176.4067306; 0.3252376; -0.0436519; 9.2063918; 0.4877109
29.9296660; -133.1477078; 178.3239754; 0.2391591; -0.0427626; 9.3114939; 0.4821992
31.9249771; -133.5373769; 180.2804084; 0.1541550; -0.0423115; 9.4142548; 0.4786257
33.9202881; -133.7607745; 182.2623557; 0.0705750; -0.0415759; 9.5151568; 0.4847559
35.9155992; -133.8192213; 184.2589097; -0.0117740; -0.0408296; 9.6162719; 0.4955075
37.9109103; -133.7148870; 186.2510719; -0.0926694; -0.0401779; 9.7185425; 0.5089842
39.9062213; -133.4519928; 188.2244334; -0.1720215; -0.0396000; 9.8224861; 0.5395057
41.9015324; -133.0323312; 190.1783430; -0.2510587; -0.0394422; 9.9314750; 0.5662594
43.8968435; -132.4618891; 192.0885652; -0.3289580; -0.0383626; 10.0445967; 0.5958147
45.8921545; -131.7475356; 193.9491445; -0.4036192; -0.0366749; 10.1622633; 0.6337449
47.8874656; -130.8982025; 195.7538315; -0.4758102; -0.0357193; 10.2859434; 0.6841225
49.8827767; -129.9221571; 197.4941283; -0.5461353; -0.0347543; 10.4178071; 0.7270266
51.8780877; -128.8280847; 199.1622332; -0.6145329; -0.0337849; 10.5561354; 0.7726283
53.8733988; -127.6242796; 200.7526099; -0.6810102; -0.0328583; 10.7011804; 0.8321914
55.8687099; -126.3186520; 202.2610272; -0.7455858; -0.0318900; 10.8552394; 0.8941152
57.8640209; -124.9193590; 203.6837961; -0.8082264; -0.0308697; 11.0183619; 0.9474499
