# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.00000;-0.26801;-0.52615;1.38821;0.02989;10.00000;0.00000
1.34531;-0.04914;0.80124;1.42563;0.02583;10.00000;0.00000
2.70720;0.12529;2.15191;1.45828;0.02220;10.00000;0.00000
4.08542;0.26011;3.52352;1.48660;0.01897;10.00000;0.00000
5.47932;0.35991;4.91384;1.51102;0.01613;10.00000;0.00000
6.88795;0.42893;6.32078;1.53193;0.01362;10.00000;0.00000
8.31014;0.47120;7.74234;1.54970;0.01141;10.00000;0.00000
9.74459;0.49041;9.17667;1.56464;0.00947;10.00000;0.00000
11.18992;0.49004;10.62199;1.57705;0.00775;10.00000;0.00000
12.64469;0.47329;12.07667;1.58721;0.00624;10.00000;0.00000
14.10749;0.44311;13.53915;1.59533;0.00490;10.00000;0.00000
15.57690;0.40221;15.00800;1.60164;0.00371;10.00000;0.00000
17.05159;0.35309;16.48188;1.60633;0.00266;10.00000;0.00000
18.53027;0.29801;17.95953;1.60956;0.00173;10.00000;0.00000
20.01173;0.23900;19.43981;1.61151;0.00091;10.00000;0.00000
21.49485;0.17791;20.92167;1.61231;0.00018;10.00000;0.00000
22.97859;0.11639;22.40414;1.61209;-0.00046;10.00000;0.00000
24.46201;0.05586;23.88632;1.61098;-0.00102;10.00000;0.00000
25.94426;-0.00238;25.36743;1.60910;-0.00151;10.00000;0.00000
27.42459;-0.05727;26.84674;1.60656;-0.00192;10.00000;0.00000
28.90232;-0.10787;28.32360;1.60345;-0.00228;10.00000;0.00000
30.37689;-0.15342;29.79746;1.59987;-0.00257;10.00000;0.00000
31.84779;-0.19330;31.26782;1.59591;-0.00280;10.00000;0.00000
33.31460;-0.22705;32.73425;1.59166;-0.00298;10.00000;0.00000
34.77699;-0.25433;34.19639;1.58721;-0.00310;10.00000;0.00000
36.23469;-0.27493;35.65393;1.58263;-0.00317;10.00000;0.00000
37.68748;-0.28875;37.10666;1.57799;-0.00320;10.00000;0.00000
39.13521;-0.29583;38.55437;1.57338;-0.00317;10.00000;0.00000
40.57780;-0.29627;39.99696;1.56885;-0.00310;10.00000;0.00000
42.01520;-0.29030;41.43435;1.56447;-0.00299;10.00000;0.00000
43.44741;-0.27823;42.86651;1.56030;-0.00283;10.00000;0.00000
44.87447;-0.26042;44.29346;1.55639;-0.00264;10.00000;0.00000
46.29648;-0.23734;45.71528;1.55279;-0.00241;10.00000;0.00000
47.71354;-0.20950;47.13207;1.54956;-0.00215;10.00000;0.00000
49.12580;-0.17746;48.54397;1.54673;-0.00186;10.00000;0.00000
50.53345;-0.14184;49.95116;1.54433;-0.00154;10.00000;0.00000
51.93667;-0.10330;51.35386;1.54240;-0.00121;10.00000;0.00000
53.33571;-0.06251;52.75230;1.54096;-0.00085;10.00000;0.00000
54.73081;-0.02019;54.14676;1.54003;-0.00048;10.00000;0.00000
56.12223;0.02296;55.53751;1.53962;-0.00010;10.00000;0.00000
57.51027;0.06620;56.92488;1.53974;0.00028;10.00000;0.00000
58.89524;0.10882;58.30919;1.54039;0.00066;10.00000;0.00000
60.27746;0.15010;59.69079;1.54155;0.00103;10.00000;0.00000
61.65726;0.18936;61.07003;1.54322;0.00139;10.00000;0.00000
63.03499;0.22591;62.44728;1.54538;0.00174;10.00000;0.00000
64.41102;0.25913;63.82291;1.54799;0.00206;10.00000;0.00000
65.78573;0.28843;65.19730;1.55103;0.00236;10.00000;0.00000
67.15948;0.31328;66.57083;1.55445;0.00262;10.00000;0.00000
68.53265;0.33318;67.94386;1.55821;0.00284;10.00000;0.00000
69.90565;0.34772;69.31678;1.56224;0.00303;10.00000;0.00000
71.27883;0.35657;70.68994;1.56649;0.00316;10.00000;0.00000
72.65259;0.35947;72.06369;1.57090;0.00324;10.00000;0.00000
74.02728;0.35625;73.43838;1.57539;0.00327;10.00000;0.00000
75.40326;0.34684;74.81432;1.57987;0.00324;10.00000;0.00000
76.78086;0.33128;76.19183;1.58428;0.00315;10.00000;0.00000
78.16037;0.30973;77.57118;1.58852;0.00300;10.00000;0.00000
79.54210;0.28244;78.95264;1.59253;0.00279;10.00000;0.00000
80.92629;0.24977;80.33644;1.59622;0.00254;10.00000;0.00000
82.31316;0.21216;81.72280;1.59955;0.00225;10.00000;0.00000
83.70291;0.17013;83.11192;1.60246;0.00193;10.00000;0.00000
85.09572;0.12428;84.50397;1.60490;0.00158;10.00000;0.00000
86.49171;0.07526;85.89910;1.60684;0.00120;10.00000;0.00000
87.89101;0.02378;87.29745;1.60825;0.00081;10.00000;0.00000
89.29369;-0.02941;88.69912;1.60910;0.00040;10.00000;0.00000
90.69981;-0.08351;90.10420;1.60937;-0.00001;10.00000;0.00000
92.10940;-0.13772;91.51275;1.60906;-0.00043;10.00000;0.00000
93.52249;-0.19122;92.92483;1.60816;-0.00084;10.00000;0.00000
94.93906;-0.24315;94.34045;1.60668;-0.00125;10.00000;0.00000
96.35909;-0.29270;95.75961;1.60461;-0.00165;10.00000;0.00000
97.78253;-0.33902;97.18230;1.60199;-0.00203;10.00000;0.00000
99.20933;-0.38133;98.60847;1.59882;-0.00240;10.00000;0.00000
100.63941;-0.41883;100.03806;1.59514;-0.00274;10.00000;0.00000
102.07269;-0.45080;101.47098;1.59098;-0.00306;10.00000;0.00000
103.50908;-0.47653;102.90714;1.58638;-0.00335;10.00000;0.00000
104.94847;-0.49540;104.34640;1.58137;-0.00360;10.00000;0.00000
106.39073;-0.50682;105.78862;1.57601;-0.00382;10.00000;0.00000
107.83575;-0.51030;107.23363;1.57036;-0.00400;10.00000;0.00000
109.28336;-0.50542;108.68124;1.56446;-0.00413;10.00000;0.00000
110.73342;-0.49185;110.13124;1.55840;-0.00422;10.00000;0.00000
112.18575;-0.46938;111.58339;1.55223;-0.00426;10.00000;0.00000
113.64015;-0.43787;113.03745;1.54604;-0.00425;10.00000;0.00000
115.09640;-0.39734;114.49314;1.53990;-0.00417;10.00000;0.00000
116.55426;-0.34791;115.95016;1.53390;-0.00404;10.00000;0.00000
118.01346;-0.28985;117.40820;1.52814;-0.00385;10.00000;0.00000
119.47369;-0.22357;118.86693;1.52271;-0.00358;10.00000;0.00000
120.93462;-0.14965;120.32598;1.51771;-0.00325;10.00000;0.00000
122.39586;-0.06879;121.78499;1.51326;-0.00283;10.00000;0.00000
123.85700;0.01808;123.24354;1.50947;-0.00234;10.00000;0.00000
125.31757;0.10989;124.70122;1.50646;-0.00176;10.00000;0.00000
126.77707;0.20536;126.15760;1.50437;-0.00109;10.00000;0.00000
128.23495;0.30303;127.61220;1.50333;-0.00032;10.00000;0.00000
129.69062;0.40120;129.06456;1.50349;0.00056;10.00000;0.00000
131.14345;0.49798;130.51416;1.50501;0.00155;10.00000;0.00000
132.59278;0.59125;131.96049;1.50806;0.00268;10.00000;0.00000
134.03794;0.67864;133.40300;1.51282;0.00394;10.00000;0.00000
135.47823;0.75754;134.84113;1.51949;0.00535;10.00000;0.00000
136.91299;0.82510;136.27430;1.52827;0.00692;10.00000;0.00000
138.34158;0.87820;137.70190;1.53938;0.00866;10.00000;0.00000
139.76341;0.91348;139.12330;1.55303;0.01056;10.00000;0.00000
141.17799;0.92739;140.53780;1.56938;0.01259;10.00000;0.00000
142.58489;0.91622;141.94466;1.58860;0.01475;10.00000;0.00000
143.98383;0.87617;143.34303;1.61080;0.01701;10.00000;0.00000
145.37466;0.80336;144.73195;1.63609;0.01937;10.00000;0.00000
146.75741;0.69392;146.11036;1.66453;0.02178;10.00000;0.00000
148.13227;0.54399;147.47702;1.69616;0.02423;10.00000;0.00000
149.49966;0.34981;148.83056;1.73097;0.02668;10.00000;0.00000
150.86020;0.10774;150.16939;1.76892;0.02910;10.00000;0.00000
152.21471;-0.18569;151.49173;1.80993;0.03144;10.00000;0.00000
153.56423;-0.53375;152.79559;1.85388;0.03366;10.00000;0.00000
154.90996;-0.93941;154.07872;1.90059;0.03573;10.00000;0.00000
156.25326;-1.40536;155.33863;1.94989;0.03762;10.00000;0.00000
157.59560;-1.93394;156.57252;2.00154;0.03929;10.00000;0.00000
158.93847;-2.52705;157.77730;2.05531;0.04075;10.00000;0.00000
160.28334;-3.18618;158.94958;2.11098;0.04199;10.00000;0.00000
161.63162;-3.91232;160.08561;2.16832;0.04303;10.00000;0.00000
162.98450;-4.70591;161.18129;2.22715;0.04391;10.00000;0.00000
164.34297;-5.56681;162.23213;2.28734;0.04468;10.00000;0.00000
165.70768;-6.49425;163.23328;2.34882;0.04540;10.00000;0.00000
167.07892;-7.48678;164.17943;2.41159;0.04615;10.00000;0.00000
168.45659;-8.54224;165.06486;2.47576;0.04702;10.00000;0.00000
169.84013;-9.65767;165.88339;2.54154;0.04808;10.00000;0.00000
171.22866;-10.82937;166.62847;2.60911;0.04923;10.00000;0.00000
172.62130;-12.05290;167.29362;2.67842;0.05023;10.00000;0.00000
174.01763;-13.32330;167.87310;2.74900;0.05073;10.00000;0.00000
175.41791;-14.63525;168.36257;2.81992;0.05037;10.00000;0.00000
176.82314;-15.98318;168.75977;2.88976;0.04875;10.00000;0.00000
178.23486;-17.36146;169.06519;2.95652;0.04553;10.00000;0.00000
179.65472;-18.76456;169.28273;3.01787;0.04063;10.00000;0.00000
181.08393;-20.18718;169.41984;3.07171;0.03454;10.00000;0.00000
182.52263;-21.62431;169.48691;3.11658;0.02776;10.00000;0.00000
183.96969;-23.07134;169.49650;-3.13153;0.02070;10.00000;0.00000
185.42287;-24.52412;169.46250;-3.10656;0.01371;10.00000;0.00000
186.87915;-25.97903;169.39937;-3.09152;0.00702;10.00000;0.00000
188.33526;-27.43305;169.32129;-3.08585;0.00088;10.00000;0.00000
189.78826;-28.88385;169.24137;-3.08856;-0.00445;10.00000;0.00000
191.23600;-30.32987;169.17086;-3.09820;-0.00864;10.00000;0.00000
