# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
3.000000000000000000e+00;1.830000000000000154e-16;3.000000000000000000e+00;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
6.000000000000000000e+00;3.674999999999999566e-16;6.000000000000000000e+00;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
9.000000000000000000e+00;5.504999999999999720e-16;9.000000000000000000e+00;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
1.200000000000000000e+01;7.349999999999999131e-16;1.200000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
1.500000000000000000e+01;9.179999999999999285e-16;1.500000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
1.800000000000000000e+01;1.102500000000000067e-15;1.800000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
2.100000000000000000e+01;1.285500000000000082e-15;2.100000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
2.400000000000000000e+01;1.469999999999999826e-15;2.400000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
2.700000000000000000e+01;1.649999999999999990e-15;2.700000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
3.000000000000000000e+01;1.829999999999999760e-15;3.000000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
3.300000000000000000e+01;2.024999999999999970e-15;3.300000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
3.600000000000000000e+01;2.205000000000000134e-15;3.600000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
3.900000000000000000e+01;2.384999999999999903e-15;3.900000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
4.200000000000000000e+01;2.565000000000000067e-15;4.200000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
4.500000000000000000e+01;2.759999999999999883e-15;4.500000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
4.800000000000000000e+01;2.939999999999999653e-15;4.800000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
5.100000000000000000e+01;3.119999999999999816e-15;5.100000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
5.400000000000000000e+01;3.299999999999999980e-15;5.400000000000000000e+01;1.570796326794896558e+00;0.000000000000000000e+00;1.000000000000000000e+01;0.000000000000000000e+00
